DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VJ518,DAD,HAN,1h29m,13:45,14:09,15:05,Landed 22:38,yellow
02/05,VJ521,HAN,DAD,1h3m,11:45,12:07,13:05,Landed 20:11,green
02/05,VJ530,DAD,HAN,1h4m,07:55,08:07,09:15,Landed 16:11,green
02/05,VJ507,HAN,DAD,1h5m,04:10,04:53,05:30,Landed 12:57,yellow
02/05,VJ524,DAD,HAN,1h4m,02:20,02:45,03:40,Landed 10:49,green
02/05,VJ503,HAN,DAD,58m,00:30,00:37,01:50,Landed 08:35,green
01/05,VJ1500,DAD,HAN,1h1m,22:40,22:39,00:00,Landed 06:40,green
30/04,VJ1523,HAN,DAD,1h1m,07:10,07:38,08:30,Landed 15:38,green
30/04,VJ564,HUI,HAN,1h7m,04:05,04:49,05:20,Landed 12:56,yellow
30/04,VJ563,HAN,HUI,57m,02:20,02:56,03:35,Landed 10:53,yellow
30/04,VJ514,DAD,HAN,1h4m,00:30,00:51,01:50,Landed 08:54,green
29/04,VJ501,HAN,DAD,1h3m,22:40,22:54,00:00,Landed 06:58,green
29/04,VJ1562,HUI,HAN,1h4m,14:00,14:51,15:15,Landed 22:55,yellow
29/04,VJ1561,HAN,HUI,54m,12:15,13:06,13:30,Landed 21:00,yellow
29/04,VJ772,CXR,HAN,1h39m,07:05,07:57,08:55,Landed 16:36,yellow
29/04,VJ731,HPH,CXR,1h28m,04:10,04:10,06:45,Landed 12:39,green
29/04,VJ730,CXR,HPH,1h32m,01:15,01:26,03:40,Landed 09:59,green
27/04,VJ733,HPH,CXR,1h29m,12:40,13:37,14:30,Landed 22:06,yellow
27/04,VJ732,CXR,HPH,1h46m,10:20,10:26,12:10,Landed 19:13,green
22/04,VJ787,HAN,CXR,1h36m,06:10,06:23,07:55,Landed 14:59,green
22/04,VJ506,DAD,HAN,1h7m,03:55,04:15,05:15,Landed 12:22,green
22/04,VJ505,HAN,DAD,1h3m,02:05,02:14,03:25,Landed 10:17,green
21/04,VJ518,DAD,HAN,1h3m,13:45,14:39,15:05,Landed 22:42,yellow
21/04,VJ521,HAN,DAD,1h2m,11:45,12:45,13:05,Landed 20:47,yellow
21/04,VJ512,DAD,HAN,1h7m,09:55,10:43,11:15,Landed 18:50,yellow
21/04,VJ511,HAN,DAD,1h3m,08:05,08:39,09:25,Landed 16:42,yellow
21/04,VJ1428,PXU,HAN,1h20m,05:40,05:46,07:15,Landed 14:06,green
21/04,VJ1427,HAN,PXU,1h20m,03:30,03:47,05:05,Landed 12:07,green
21/04,VJ492,BMV,HAN,1h31m,01:15,01:14,03:00,Landed 09:45,green
20/04,VJ491,HAN,BMV,1h18m,23:00,23:11,00:45,Landed 07:29,green
20/04,VJ496,BMV,HAN,1h28m,12:45,13:04,14:30,Landed 21:32,green
20/04,VJ495,HAN,BMV,1h29m,10:30,10:40,12:15,Landed 19:09,green
20/04,VJ902,BKK,HAN,1h38m,07:00,07:07,08:50,Landed 15:45,green
20/04,VJ901,HAN,BKK,1h37m,04:10,04:20,06:00,Landed 12:57,green
19/04,VJ496,BMV,HAN,1h29m,12:45,13:10,14:30,Landed 21:39,green
19/04,VJ495,HAN,BMV,1h27m,10:30,10:48,12:15,Landed 19:16,green
19/04,VJ446,PQC,HAN,1h48m,07:00,07:39,09:05,Landed 16:27,yellow
19/04,VJ719,DAD,PQC,1h27m,04:40,05:08,06:25,Landed 13:35,green
19/04,VJ718,PQC,DAD,1h22m,02:25,02:51,04:10,Landed 11:13,green
19/04,VJ339,SGN,PQC,34m,00:50,01:05,01:50,Landed 08:38,green
18/04,VJ159,HAN,SGN,1h50m,13:10,13:26,15:20,Landed 22:16,green
18/04,VJ152,SGN,HAN,1h47m,10:10,10:25,12:20,Landed 19:12,green
18/04,VJ633,DAD,SGN,1h8m,07:50,08:06,09:10,Landed 16:14,green
17/04,VJ646,SGN,DAD,1h0m,13:40,13:58,15:00,Landed 21:59,green
17/04,VJ273,HPH,SGN,1h44m,10:50,11:16,12:50,Landed 20:00,green
17/04,VJ7079,MFM,HPH,1h42m,08:33,08:33,,Landed 17:15,red
17/04,VJ7078,HPH,MFM,1h37m,05:31,05:31,07:08,Landed 15:08,red
16/04,VJ488,VCA,HPH,1h45m,10:50,12:30,12:55,Landed 21:15,red
16/04,VJ489,HPH,VCA,1h51m,08:15,09:44,10:20,Landed 18:35,red
16/04,VJ670,BMV,HPH,1h20m,06:05,07:27,07:45,Landed 15:47,red
16/04,VJ671,HPH,BMV,1h25m,03:55,05:17,05:35,Landed 13:41,red
16/04,VJ272,SGN,HPH,1h52m,02:00,02:21,04:00,Landed 11:13,green
15/04,VJ639,DAD,SGN,1h7m,10:05,10:17,11:30,Landed 18:24,green
15/04,VJ640,SGN,DAD,57m,08:10,08:19,09:30,Landed 16:15,green
15/04,VJ305,HUI,SGN,1h4m,05:25,05:46,06:50,Landed 13:50,green
15/04,VJ306,SGN,HUI,1h3m,03:30,03:45,04:55,Landed 11:48,green
15/04,VJ301,HUI,SGN,1h7m,00:25,00:41,01:50,Landed 08:48,green
14/04,VJ302,SGN,HUI,1h5m,22:30,22:41,23:55,Landed 06:46,green
14/04,VJ800,BKK,SGN,1h23m,08:45,10:44,10:15,Landed 19:07,red
14/04,VJ807,SGN,BKK,1h17m,06:15,07:54,07:45,Landed 16:11,red
14/04,VJ241,THD,SGN,1h51m,01:10,02:39,03:10,Landed 11:29,red
13/04,VJ242,SGN,THD,1h45m,22:40,00:03,00:40,Landed 08:47,red
13/04,VJ639,DAD,SGN,1h13m,10:05,10:58,11:30,Landed 19:11,yellow
13/04,VJ640,SGN,DAD,1h0m,08:10,08:53,09:30,Landed 16:54,yellow
13/04,VJ275,HPH,SGN,1h42m,05:30,05:55,07:30,Landed 14:37,green
13/04,VJ274,SGN,HPH,1h44m,03:00,03:14,05:00,Landed 11:58,green
13/04,VJ301,HUI,SGN,1h6m,00:25,00:29,01:50,Landed 08:35,green
12/04,VJ302,SGN,HUI,1h6m,22:30,22:34,23:55,Landed 06:40,green
12/04,VJ311,HUI,SGN,1h6m,12:55,13:16,14:20,Landed 21:21,green
12/04,VJ312,SGN,HUI,1h4m,11:00,11:14,12:25,Landed 19:18,green
12/04,VJ336,PQC,SGN,50m,09:10,09:21,10:15,Landed 17:10,green
12/04,VJ325,SGN,PQC,34m,07:25,07:46,08:35,Landed 15:20,green
12/04,VJ227,VII,SGN,1h34m,04:10,04:45,06:00,Landed 13:18,yellow
12/04,VJ740,BMV,VII,1h9m,02:15,02:42,03:40,Landed 10:52,green
12/04,VJ741,VII,BMV,1h8m,00:20,00:34,01:45,Landed 08:42,green
11/04,VJ224,SGN,VII,1h27m,22:00,22:14,23:50,Landed 06:40,green
11/04,VJ647,DAD,SGN,1h10m,14:50,14:54,16:15,Landed 23:04,green
