DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VJ7238,HAN,PVG,,14:15,14:47,17:15,Estimated 01:29,green
02/05,VJ438,UIH,HAN,1h21m,10:45,11:04,12:25,Landed 19:25,green
02/05,VJ439,HAN,UIH,1h30m,08:40,08:57,10:15,Landed 17:27,green
02/05,VJ1436,UIH,HAN,1h14m,05:30,05:27,07:10,Landed 13:41,green
02/05,VJ1437,HAN,UIH,1h24m,03:25,03:25,05:00,Landed 11:48,green
02/05,VJ430,UIH,HAN,1h29m,01:10,01:13,02:50,Landed 09:42,green
01/05,VJ431,HAN,UIH,1h19m,23:05,23:03,00:40,Landed 07:22,green
01/05,VJ1434,UIH,HAN,1h21m,12:45,12:43,14:25,Landed 21:04,green
01/05,VJ1433,HAN,UIH,1h19m,10:40,10:45,12:15,Landed 19:04,green
01/05,VJ454,PQC,HAN,1h49m,07:35,07:36,09:45,Landed 16:25,green
01/05,VJ451,HAN,PQC,1h52m,04:45,04:57,06:55,Landed 13:49,green
30/04,VJ7239,PVG,HAN,3h0m,18:20,18:40,21:50,Landed 04:40,green
30/04,VJ7238,HAN,PVG,2h45m,14:15,14:34,17:15,Landed 01:19,green
30/04,VJ904,BKK,HAN,1h33m,11:45,11:51,13:25,Landed 20:24,green
30/04,VJ903,HAN,BKK,1h44m,08:45,09:06,10:45,Landed 17:51,green
30/04,VJ136,SGN,HAN,1h56m,05:00,05:50,07:10,Landed 14:46,yellow
30/04,VJ330,PQC,SGN,43m,03:30,03:39,04:30,Landed 11:22,green
30/04,VJ321,SGN,PQC,33m,01:50,01:58,02:55,Landed 09:31,green
29/04,VJ277,HPH,SGN,1h59m,06:30,08:16,08:30,Landed 17:15,red
29/04,VJ276,SGN,HPH,1h43m,04:00,05:46,06:00,Landed 14:28,red
27/04,VJ3949,PKX,SGN,4h33m,17:05,18:17,22:00,Landed 05:50,red
27/04,VJ3948,SGN,PKX,4h50m,11:05,11:25,16:05,Landed 00:15,green
27/04,VJ247,THD,SGN,1h44m,07:15,07:22,09:15,Landed 16:06,green
27/04,VJ246,SGN,THD,1h45m,04:45,04:58,06:45,Landed 13:44,green
27/04,VJ383,UIH,SGN,45m,03:05,03:12,04:10,Landed 10:57,green
27/04,VJ382,SGN,UIH,48m,01:25,01:35,02:35,Landed 09:23,green
26/04,VJ647,DAD,SGN,1h0m,14:50,15:18,16:15,Landed 23:18,green
26/04,VJ648,SGN,DAD,1h1m,13:00,13:32,14:20,Landed 21:34,green
26/04,VJ385,UIH,SGN,50m,11:15,11:44,12:20,Landed 19:34,green
26/04,VJ384,SGN,UIH,49m,09:35,10:16,10:45,Landed 18:05,yellow
26/04,VJ137,HAN,SGN,1h38m,05:20,05:59,07:30,Landed 14:37,green
26/04,VJ128,SGN,HAN,1h49m,02:40,03:09,04:50,Landed 11:58,green
26/04,VJ125,HAN,SGN,1h53m,00:01,00:18,02:10,Landed 09:10,green
25/04,VJ438,UIH,HAN,1h24m,10:45,11:00,12:25,Landed 19:25,green
25/04,VJ439,HAN,UIH,1h20m,08:40,09:00,10:15,Landed 17:21,green
25/04,VJ1436,UIH,HAN,1h36m,05:30,06:09,07:10,Landed 14:46,yellow
25/04,VJ1437,HAN,UIH,1h18m,03:25,04:04,05:00,Landed 12:21,yellow
25/04,VJ770,CXR,HAN,1h43m,01:05,01:33,02:55,Landed 10:16,yellow
24/04,VJ771,HAN,CXR,1h33m,22:45,23:07,00:35,Landed 07:40,green
24/04,VJ568,HUI,HAN,1h3m,10:40,11:38,11:55,Landed 19:41,red
24/04,VJ567,HAN,HUI,1h2m,08:55,09:56,10:10,Landed 17:58,red
24/04,VJ464,VCA,HAN,2h14m,06:00,06:35,08:10,Landed 15:49,yellow
24/04,VJ463,HAN,VCA,1h57m,03:20,03:49,05:30,Landed 12:47,yellow
24/04,VJ492,BMV,HAN,1h25m,01:15,01:19,03:00,Landed 09:44,green
23/04,VJ491,HAN,BMV,1h24m,23:00,23:15,00:45,Landed 07:39,green
23/04,VJ160,SGN,HAN,1h50m,13:30,13:49,15:40,Landed 22:39,green
23/04,VJ385,UIH,SGN,54m,11:25,11:42,12:30,Landed 19:36,green
23/04,VJ384,SGN,UIH,52m,09:45,10:03,10:55,Landed 17:55,green
23/04,VJ301,HUI,SGN,1h5m,00:25,00:31,01:50,Landed 08:36,green
22/04,VJ302,SGN,HUI,1h5m,22:30,22:40,23:55,Landed 06:46,green
22/04,VJ217,VII,SGN,,14:00,,15:50,Landed 22:36,green
22/04,VJ216,SGN,VII,1h34m,11:40,11:59,13:30,Landed 20:33,green
22/04,VJ307,HUI,SGN,1h3m,09:10,09:36,10:35,Landed 17:39,green
22/04,VJ308,SGN,HUI,1h7m,07:15,07:37,08:40,Landed 15:44,green
22/04,VJ802,BKK,SGN,1h25m,04:30,05:01,06:00,Landed 13:26,yellow
22/04,VJ801,SGN,BKK,1h11m,01:35,02:06,03:05,Landed 10:17,green
21/04,VJ3949,PKX,SGN,4h41m,17:05,17:45,22:00,Landed 05:26,yellow
21/04,VJ3948,SGN,PKX,4h46m,11:05,11:27,16:05,Landed 00:14,green
21/04,VJ808,HKT,SGN,1h47m,04:55,04:57,06:50,Landed 13:43,green
21/04,VJ809,SGN,HKT,1h28m,01:50,02:12,03:55,Landed 10:41,green
20/04,VJ385,UIH,SGN,1h0m,11:15,11:38,12:20,Landed 19:38,yellow
20/04,VJ384,SGN,UIH,47m,09:35,10:06,10:45,Landed 17:54,green
20/04,VJ802,BKK,SGN,1h13m,04:30,04:38,06:00,Landed 12:52,green
20/04,VJ801,SGN,BKK,1h20m,01:35,01:48,03:05,Landed 10:08,green
19/04,VJ377,VCL,SGN,1h0m,13:15,13:18,14:35,Landed 21:18,green
19/04,VJ376,SGN,VCL,58m,11:25,11:42,12:45,Landed 19:40,green
19/04,VJ247,THD,SGN,1h38m,07:15,07:37,09:15,Landed 16:15,green
19/04,VJ246,SGN,THD,1h39m,04:45,05:02,06:45,Landed 13:41,green
19/04,VJ383,UIH,SGN,49m,03:05,03:15,04:10,Landed 11:04,green
19/04,VJ382,SGN,UIH,44m,01:25,01:39,02:35,Landed 09:24,green
18/04,VJ263,VDH,SGN,1h17m,12:45,12:50,14:20,Landed 21:07,green
18/04,VJ262,SGN,VDH,1h20m,10:40,10:48,12:15,Landed 19:08,green
18/04,VJ247,THD,SGN,1h45m,07:15,07:27,09:15,Landed 16:11,green
18/04,VJ246,SGN,THD,1h36m,04:45,05:08,06:45,Landed 13:44,green
18/04,VJ383,UIH,SGN,53m,03:05,03:09,04:10,Landed 11:02,green
18/04,VJ382,SGN,UIH,46m,01:25,01:33,02:35,Landed 09:20,green
17/04,VJ3675,ENH,SGN,3h34m,12:03,12:03,15:37,Landed 22:37,red
17/04,VJ3674,SGN,ENH,3h9m,07:44,07:44,10:53,Landed 18:53,red
17/04,VJ802,BKK,SGN,1h20m,04:30,04:56,06:00,Landed 13:16,yellow
17/04,VJ801,SGN,BKK,1h20m,01:35,01:46,03:05,Landed 10:06,green
15/04,VJ385,UIH,SGN,46m,11:15,11:17,12:20,Landed 19:03,green
15/04,VJ384,SGN,UIH,49m,09:35,09:45,10:45,Landed 17:34,green
15/04,VJ211,VII,SGN,,06:45,,08:35,Landed 15:27,green
15/04,VJ210,SGN,VII,1h28m,04:25,04:46,06:15,Landed 13:14,green
14/04,VJ3949,PKX,SGN,4h37m,17:05,17:35,22:00,Landed 05:12,green
14/04,VJ3948,SGN,PKX,4h35m,11:05,11:27,16:05,Landed 00:01,green
14/04,VJ247,THD,SGN,1h37m,07:15,07:53,09:15,Landed 16:30,green
14/04,VJ246,SGN,THD,1h32m,04:45,05:33,06:45,Landed 14:05,yellow
14/04,VJ383,UIH,SGN,59m,03:05,03:25,04:10,Landed 11:25,green
14/04,VJ382,SGN,UIH,55m,01:25,01:41,02:35,Landed 09:37,green
13/04,VJ377,VCL,SGN,57m,13:15,13:18,14:35,Landed 21:15,green
13/04,VJ376,SGN,VCL,58m,11:25,11:42,12:45,Landed 19:40,green
13/04,VJ307,HUI,SGN,1h7m,09:10,09:24,10:35,Landed 17:31,green
13/04,VJ308,SGN,HUI,1h4m,07:15,07:31,08:40,Landed 15:35,green
12/04,VJ147,HAN,SGN,1h52m,08:45,09:11,10:55,Landed 18:03,green
12/04,VJ138,SGN,HAN,1h48m,06:05,06:11,08:15,Landed 14:59,green
12/04,VJ129,HAN,SGN,1h48m,01:45,02:09,03:55,Landed 10:58,green
11/04,VJ124,SGN,HAN,1h44m,23:05,23:16,01:15,Landed 08:00,green
09/04,VJ377,VCL,SGN,51m,13:15,13:28,14:35,Landed 21:18,green
09/04,VJ376,SGN,VCL,53m,11:25,11:54,12:45,Landed 19:47,green
09/04,VJ147,HAN,SGN,1h44m,08:45,09:10,10:55,Landed 17:54,green
09/04,VJ138,SGN,HAN,1h42m,06:05,06:24,08:15,Landed 15:05,green
08/04,VJ377,VCL,SGN,53m,13:15,13:21,14:35,Landed 21:14,green
08/04,VJ376,SGN,VCL,58m,11:25,11:42,12:45,Landed 19:40,green
08/04,VJ247,THD,SGN,1h42m,07:15,07:54,09:15,Landed 16:36,yellow
08/04,VJ246,SGN,THD,1h31m,04:45,05:34,06:45,Landed 14:05,yellow
08/04,VJ383,UIH,SGN,49m,03:05,03:31,04:10,Landed 11:21,green
08/04,VJ382,SGN,UIH,47m,01:25,01:57,02:35,Landed 09:44,green
06/04,VJ1127,HAN,SGN,1h46m,12:20,12:39,14:30,Landed 21:25,green
06/04,VJ440,PQC,HAN,1h47m,04:25,04:54,06:30,Landed 13:41,green
06/04,VJ447,HAN,PQC,1h47m,01:45,02:07,03:50,Landed 10:55,green
05/04,VJ144,SGN,HAN,1h51m,08:55,09:36,11:05,Landed 18:27,yellow
05/04,VJ129,HAN,SGN,1h49m,01:45,02:30,03:55,Landed 11:19,yellow
04/04,VJ134,SGN,HAN,1h48m,04:20,05:11,06:30,Landed 13:59,yellow
04/04,VJ127,HAN,SGN,1h59m,01:10,01:40,03:20,Landed 10:40,yellow
03/04,VJ1158,SGN,HAN,1h49m,13:40,14:08,15:55,Landed 22:57,green
03/04,VJ1153,HAN,SGN,1h39m,11:05,11:22,13:10,Landed 20:01,green
03/04,VJ528,DAD,HAN,1h8m,09:05,09:12,10:25,Landed 17:20,green
03/04,VJ525,HAN,DAD,1h3m,07:05,07:22,08:30,Landed 15:25,green
03/04,VJ128,SGN,HAN,1h47m,02:40,03:07,04:50,Landed 11:54,green
02/04,VJ137,HAN,SGN,1h42m,05:20,06:14,07:30,Landed 14:56,yellow
02/04,VJ128,SGN,HAN,1h45m,02:40,03:31,04:50,Landed 12:17,yellow
02/04,VJ125,HAN,SGN,1h42m,00:01,00:24,02:10,Landed 09:07,green
01/04,VJ442,PQC,HAN,1h57m,09:40,10:07,11:45,Landed 19:04,yellow
01/04,VJ441,HAN,PQC,1h49m,07:00,07:06,09:05,Landed 15:55,green
01/04,VJ198,SGN,HAN,1h55m,03:30,03:50,05:40,Landed 12:44,green
01/04,VJ197,HAN,SGN,1h53m,00:27,00:27,02:21,Landed 09:21,red
31/03,VJ438,UIH,HAN,1h23m,10:45,10:51,12:25,Landed 19:14,green
31/03,VJ439,HAN,UIH,1h16m,08:40,08:53,10:15,Landed 17:10,green
31/03,VJ906,KUL,HAN,2h56m,04:30,04:36,07:40,Landed 14:32,green
31/03,VJ905,HAN,KUL,2h47m,00:25,00:37,03:30,Landed 11:24,green
30/03,VJ162,SGN,HAN,1h46m,15:40,15:50,17:50,Landed 00:36,green
30/03,VJ1832,VTE,SGN,1h36m,11:45,12:29,13:45,Landed 21:05,yellow
30/03,VJ1831,SGN,VTE,1h47m,09:25,09:52,11:00,Landed 18:39,yellow
30/03,VJ808,HKT,SGN,1h41m,04:55,05:02,06:50,Landed 13:43,green
30/03,VJ809,SGN,HKT,1h34m,01:50,02:16,03:55,Landed 10:50,green
29/03,VJ1832,VTE,SGN,2h2m,11:45,12:53,13:45,Landed 21:55,red
29/03,VJ1831,SGN,VTE,1h45m,09:25,09:56,11:00,Landed 18:41,yellow
29/03,VJ802,BKK,SGN,1h10m,04:30,05:00,06:00,Landed 13:10,green
29/03,VJ801,SGN,BKK,1h9m,01:35,02:05,03:05,Landed 10:14,green
28/03,VJ225,VII,SGN,,13:20,,15:20,Landed 21:54,green
28/03,VJ220,SGN,VII,1h24m,10:50,11:12,12:50,Landed 19:36,green
27/03,VJ175,HAN,SGN,1h48m,08:20,08:59,10:30,Landed 17:47,yellow
27/03,VJ138,SGN,HAN,1h47m,05:30,06:13,07:40,Landed 15:00,yellow
27/03,VJ381,UIH,SGN,57m,00:30,01:32,01:35,Landed 09:29,red
26/03,VJ380,SGN,UIH,48m,22:50,00:03,00:01,Landed 07:50,red
26/03,VJ193,HAN,SGN,1h52m,11:10,11:26,13:20,Landed 20:18,green
26/03,VJ957,PUS,HAN,4h21m,05:30,05:42,10:20,Landed 17:03,green
26/03,VJ956,HAN,PUS,3h53m,00:30,00:46,04:30,Landed 13:39,green
25/03,VJ7239,PVG,HAN,3h12m,18:20,18:58,22:15,Landed 05:10,green
25/03,VJ7238,HAN,PVG,2h38m,14:25,14:50,17:15,Landed 01:28,green
25/03,VJ516,DAD,HAN,1h4m,11:15,11:32,12:35,Landed 19:36,green
25/03,VJ515,HAN,DAD,1h3m,09:25,09:36,10:45,Landed 17:39,green
25/03,VJ462,VCA,HAN,1h54m,06:30,06:34,08:40,Landed 15:28,green
25/03,VJ481,VII,VCA,,04:00,,05:50,Landed 12:41,green
25/03,VJ480,VCA,VII,1h36m,01:45,01:39,03:35,Landed 10:15,green
24/03,VJ461,HAN,VCA,1h59m,22:30,22:45,00:40,Landed 07:45,green
24/03,VJ190,SGN,HAN,1h41m,12:50,13:29,15:00,Landed 22:10,green
24/03,VJ147,HAN,SGN,1h48m,10:10,10:25,12:20,Landed 19:14,green
24/03,VJ462,VCA,HAN,1h55m,06:30,06:47,08:40,Landed 15:42,green
24/03,VJ481,VII,VCA,1h37m,04:00,03:53,05:50,Landed 12:30,green
24/03,VJ480,VCA,VII,1h34m,01:45,01:39,03:35,Landed 10:13,green
23/03,VJ461,HAN,VCA,1h53m,22:30,22:40,00:40,Landed 07:34,green
23/03,VJ464,VCA,HAN,2h2m,13:35,13:29,15:15,Landed 22:31,yellow
23/03,VJ465,HAN,VCA,1h56m,10:25,10:34,12:35,Landed 19:31,green
23/03,VJ462,VCA,HAN,1h49m,06:30,06:39,08:40,Landed 15:28,green
23/03,VJ481,VII,VCA,1h37m,04:00,04:03,05:50,Landed 12:40,green
