DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,QH1125,UIH,SGN,44m,13:00,14:07,14:15,Landed 21:52,yellow
02/05,QH1124,SGN,UIH,49m,11:15,12:26,12:30,Landed 20:15,yellow
02/05,QH261,HAN,SGN,2h19m,08:20,08:43,10:35,Landed 18:02,yellow
02/05,QH1414,CXR,HAN,1h41m,05:40,05:54,07:40,Landed 14:35,green
02/05,QH1413,HAN,CXR,1h37m,03:10,03:19,05:10,Landed 11:56,green
02/05,QH204,SGN,HAN,1h47m,00:10,00:23,02:20,Landed 09:10,green
01/05,QH1125,UIH,SGN,53m,12:00,12:04,13:15,Landed 19:57,green
01/05,QH1124,SGN,UIH,48m,10:15,10:16,11:30,Landed 18:04,green
01/05,QH251,HAN,SGN,1h49m,06:45,06:55,09:00,Landed 15:45,green
01/05,QH224,SGN,HAN,1h53m,03:25,03:42,05:35,Landed 12:35,green
01/05,QH151,DAD,SGN,1h3m,01:10,01:24,02:40,Landed 09:26,green
30/04,QH150,SGN,DAD,57m,23:15,23:29,00:40,Landed 07:26,green
30/04,QH1125,UIH,SGN,43m,13:30,13:46,14:45,Landed 21:29,green
30/04,QH1124,SGN,UIH,50m,11:45,12:03,13:00,Landed 19:53,green
30/04,QH261,HAN,SGN,1h44m,08:50,09:15,11:05,Landed 17:59,green
30/04,QH1414,CXR,HAN,1h41m,05:40,06:23,07:40,Landed 15:04,yellow
30/04,QH1413,HAN,CXR,1h35m,03:10,03:46,05:10,Landed 12:20,green
30/04,QH204,SGN,HAN,1h51m,00:10,00:21,02:20,Landed 09:12,green
29/04,QH283,HAN,SGN,1h42m,16:45,18:35,19:00,Landed 03:18,red
29/04,QH268,SGN,HAN,1h46m,13:55,15:53,16:05,Landed 00:40,red
29/04,QH1125,UIH,SGN,45m,12:00,14:04,13:15,Landed 21:49,red
29/04,QH1124,SGN,UIH,51m,10:15,12:24,11:30,Landed 20:14,red
29/04,QH251,HAN,SGN,1h56m,06:45,09:09,09:00,Landed 18:05,red
29/04,QH224,SGN,HAN,1h56m,03:25,05:58,05:35,Landed 14:54,red
28/04,QH280,SGN,HAN,2h1m,14:10,14:23,16:20,Landed 23:24,green
28/04,QH1125,UIH,SGN,58m,12:00,12:12,13:15,Landed 20:10,green
28/04,QH271,HAN,SGN,,11:10,,13:25,Estimated dep 18:10*,green
28/04,QH1124,SGN,UIH,1h1m,10:15,10:16,11:30,Landed 18:17,green
28/04,QH251,HAN,SGN,1h52m,06:45,06:55,09:00,Landed 15:47,green
28/04,QH224,SGN,HAN,2h2m,03:25,03:41,05:35,Landed 12:43,green
16/04,QH281,HAN,SGN,1h44m,14:15,14:26,16:30,Landed 23:10,green
16/04,QH1214,UIH,HAN,1h19m,11:30,12:02,13:10,Landed 20:22,green
16/04,QH1215,HAN,UIH,1h22m,09:20,09:51,11:00,Landed 18:13,green
16/04,QH242,SGN,HAN,1h52m,06:15,06:39,08:25,Landed 15:31,green
16/04,QH211,HAN,SGN,1h49m,03:10,03:34,05:25,Landed 12:23,green
16/04,QH204,SGN,HAN,1h58m,00:10,00:31,02:20,Landed 09:29,green
15/04,QH283,HAN,SGN,1h41m,16:45,17:02,19:00,Landed 01:43,green
15/04,QH268,SGN,HAN,1h44m,13:55,13:59,16:05,Landed 22:43,green
15/04,QH1125,UIH,SGN,54m,12:00,11:57,13:15,Landed 19:51,green
15/04,QH1124,SGN,UIH,50m,10:15,10:13,11:30,Landed 18:03,green
15/04,QH251,HAN,SGN,1h59m,06:45,06:57,09:00,Landed 15:57,green
15/04,QH224,SGN,HAN,1h49m,03:25,03:50,05:35,Landed 12:39,green
15/04,QH151,DAD,SGN,1h8m,01:10,01:22,02:40,Landed 09:29,green
14/04,QH150,SGN,DAD,58m,23:15,23:22,00:40,Landed 07:20,green
14/04,QH281,HAN,SGN,1h45m,14:15,14:24,16:30,Landed 23:09,green
14/04,QH1214,UIH,HAN,1h23m,11:30,11:49,13:10,Landed 20:12,green
14/04,QH1215,HAN,UIH,1h22m,09:20,09:42,11:00,Landed 18:03,green
14/04,QH242,SGN,HAN,1h46m,06:15,06:49,08:25,Landed 15:34,green
14/04,QH211,HAN,SGN,1h49m,03:10,03:33,05:25,Landed 12:22,green
14/04,QH204,SGN,HAN,1h53m,00:10,00:32,02:20,Landed 09:25,green
13/04,QH281,HAN,SGN,1h47m,14:15,14:26,16:30,Landed 23:13,green
13/04,QH1214,UIH,HAN,1h23m,11:30,11:59,13:10,Landed 20:22,green
13/04,QH1215,HAN,UIH,1h22m,09:20,09:42,11:00,Landed 18:04,green
13/04,QH242,SGN,HAN,1h52m,06:15,06:20,08:25,Landed 15:12,green
13/04,QH211,HAN,SGN,1h40m,03:10,03:23,05:25,Landed 12:04,green
13/04,QH204,SGN,HAN,1h46m,00:10,00:27,02:20,Landed 09:13,green
12/04,QH271,HAN,SGN,1h44m,10:13,10:13,11:57,Landed 18:57,red
12/04,QH1125,UIH,SGN,53m,05:20,05:20,06:13,Landed 13:13,red
12/04,QH1124,SGN,N/A,,03:37,03:37,,Unknown,
12/04,QH224,SGN,HAN,1h45m,03:25,07:31,05:35,Landed 16:16,red
12/04,QH151,DAD,SGN,1h4m,01:10,01:17,02:40,Landed 09:21,green
11/04,QH150,SGN,DAD,1h2m,23:15,23:22,00:40,Landed 07:24,green
11/04,QH281,HAN,SGN,1h51m,14:15,14:11,16:30,Landed 23:01,green
11/04,QH1214,UIH,HAN,1h17m,11:30,11:44,13:10,Landed 20:02,green
11/04,QH1215,HAN,UIH,1h18m,09:20,09:38,11:00,Landed 17:55,green
11/04,QH242,SGN,HAN,1h47m,06:15,06:26,08:25,Landed 15:13,green
11/04,QH211,HAN,SGN,1h48m,03:10,03:25,05:25,Landed 12:12,green
11/04,QH204,SGN,HAN,1h48m,00:10,00:21,02:20,Landed 09:09,green
10/04,QH283,HAN,SGN,1h45m,16:45,17:26,19:00,Landed 02:11,green
10/04,QH268,SGN,HAN,1h48m,13:55,14:13,16:05,Landed 23:02,green
10/04,QH1125,UIH,SGN,51m,12:00,12:05,13:15,Landed 19:56,green
10/04,QH1124,SGN,UIH,47m,10:15,10:25,11:30,Landed 18:13,green
10/04,QH251,HAN,SGN,1h43m,06:45,07:05,09:00,Landed 15:48,green
10/04,QH224,SGN,HAN,1h49m,03:25,03:39,05:35,Landed 12:28,green
10/04,QH151,DAD,SGN,1h2m,01:10,01:26,02:40,Landed 09:28,green
09/04,QH150,SGN,DAD,1h10m,23:15,23:20,00:40,Landed 07:29,green
09/04,QH281,HAN,SGN,1h45m,14:15,14:30,16:30,Landed 23:15,green
