DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
30/03,QH281,HAN,SGN,1h42m,14:15,14:37,16:30,Landed 23:19,green
30/03,QH1214,UIH,HAN,1h25m,11:30,11:58,13:10,Landed 20:23,green
30/03,QH1215,HAN,UIH,1h19m,09:20,09:52,11:00,Landed 18:12,green
30/03,QH242,SGN,HAN,1h51m,06:15,06:23,08:25,Landed 15:14,green
30/03,QH211,HAN,SGN,1h40m,03:10,03:29,05:25,Landed 12:09,green
30/03,QH204,SGN,HAN,1h47m,00:10,00:43,02:20,Landed 09:29,green
29/03,QH1125,UIH,SGN,54m,12:00,11:59,13:15,Landed 19:53,green
29/03,QH1124,SGN,UIH,45m,10:15,10:23,11:30,Landed 18:08,green
29/03,QH251,HAN,SGN,1h54m,06:45,06:51,09:00,Landed 15:45,green
29/03,QH224,SGN,HAN,1h42m,03:25,03:42,05:35,Landed 12:23,green
29/03,QH151,DAD,SGN,1h2m,01:10,01:28,02:40,Landed 09:30,green
28/03,QH150,SGN,DAD,59m,23:15,23:37,00:40,Landed 07:35,green
28/03,QH283,HAN,SGN,1h46m,16:20,16:41,18:35,Landed 01:27,green
28/03,QH268,SGN,HAN,1h43m,13:10,13:38,15:20,Landed 22:21,green
28/03,QH1125,UIH,SGN,44m,11:15,11:34,12:30,Landed 19:18,green
28/03,QH1124,SGN,UIH,50m,09:30,09:50,10:45,Landed 17:39,green
28/03,QH251,HAN,SGN,1h45m,06:15,06:37,08:30,Landed 15:22,green
28/03,QH224,SGN,HAN,1h42m,03:20,03:36,05:30,Landed 12:18,green
28/03,QH151,DAD,SGN,1h8m,01:10,01:19,02:40,Landed 09:28,green
27/03,QH150,SGN,DAD,57m,23:15,23:27,00:40,Landed 07:24,green
27/03,QH1125,UIH,SGN,46m,11:15,13:44,12:30,Landed 21:30,red
27/03,QH1124,SGN,UIH,47m,09:30,12:10,10:45,Landed 19:57,red
27/03,QH251,HAN,SGN,,06:15,09:18,08:30,Landed 15:30,green
27/03,QH224,SGN,HAN,1h50m,03:20,06:15,05:30,Landed 15:05,red
27/03,QH151,DAD,SGN,1h12m,01:10,03:17,02:40,Landed 11:29,red
26/03,QH150,SGN,DAD,57m,23:15,01:26,00:40,Landed 09:23,red
26/03,QH283,HAN,SGN,1h44m,16:20,16:37,18:35,Landed 01:21,green
26/03,QH268,SGN,HAN,1h45m,13:10,13:44,15:20,Landed 22:29,green
26/03,QH1125,UIH,SGN,52m,11:15,11:38,12:30,Landed 19:30,green
26/03,QH1124,SGN,UIH,46m,09:30,10:03,10:45,Landed 17:49,green
26/03,QH251,HAN,SGN,1h52m,06:15,07:05,08:30,Landed 15:57,yellow
26/03,QH224,SGN,HAN,1h49m,03:20,03:52,05:30,Landed 12:41,green
26/03,QH151,DAD,SGN,1h1m,01:10,01:28,02:40,Landed 09:29,green
25/03,QH150,SGN,DAD,1h0m,23:15,23:31,00:40,Landed 07:31,green
25/03,QH1125,UIH,SGN,45m,11:15,11:09,12:30,Landed 18:54,green
25/03,QH1124,SGN,UIH,47m,09:30,09:34,10:45,Landed 17:21,green
25/03,QH251,HAN,SGN,1h41m,06:15,06:38,08:30,Landed 15:20,green
25/03,QH224,SGN,HAN,1h50m,03:20,03:43,05:30,Landed 12:32,green
25/03,QH151,DAD,SGN,1h7m,01:10,01:20,02:40,Landed 09:28,green
24/03,QH150,SGN,DAD,58m,23:15,23:30,00:40,Landed 07:28,green
24/03,QH283,HAN,SGN,1h44m,16:20,16:23,18:35,Landed 01:08,green
24/03,QH268,SGN,HAN,1h39m,13:10,13:26,15:20,Landed 22:06,green
24/03,QH1125,UIH,SGN,53m,11:15,11:10,12:30,Landed 19:04,green
24/03,QH1124,SGN,UIH,47m,09:30,09:39,10:45,Landed 17:27,green
24/03,QH251,HAN,SGN,1h50m,06:15,06:49,08:30,Landed 15:39,green
24/03,QH224,SGN,HAN,1h50m,03:20,03:46,05:30,Landed 12:36,green
24/03,QH151,DAD,SGN,1h2m,01:10,01:29,02:40,Landed 09:31,green
23/03,QH150,SGN,DAD,57m,23:15,23:39,00:40,Landed 07:36,green
23/03,QH1125,UIH,SGN,51m,11:15,11:15,12:30,Landed 19:06,green
23/03,QH1124,SGN,UIH,46m,09:30,09:38,10:45,Landed 17:24,green
23/03,QH251,HAN,SGN,1h42m,06:15,06:28,08:30,Landed 15:10,green
23/03,QH224,SGN,HAN,1h42m,03:20,03:41,05:30,Landed 12:23,green
23/03,QH151,DAD,SGN,1h1m,01:10,01:19,02:40,Landed 09:21,green
22/03,QH150,SGN,DAD,58m,23:15,23:23,00:40,Landed 07:21,green
22/03,QH1125,UIH,SGN,45m,11:15,11:26,12:30,Landed 19:12,green
22/03,QH1124,SGN,UIH,46m,09:30,09:54,10:45,Landed 17:40,green
22/03,QH251,HAN,SGN,1h44m,06:15,06:44,08:30,Landed 15:28,green
22/03,QH224,SGN,HAN,1h53m,03:20,03:40,05:30,Landed 12:34,green
22/03,QH151,DAD,SGN,1h1m,01:10,01:17,02:40,Landed 09:18,green
21/03,QH150,SGN,DAD,57m,23:15,23:18,00:40,Landed 07:15,green
21/03,QH283,HAN,SGN,1h42m,16:20,16:28,18:35,Landed 01:10,green
21/03,QH268,SGN,HAN,1h41m,13:10,13:12,15:20,Landed 21:54,green
21/03,QH1125,UIH,SGN,49m,11:15,11:10,12:30,Landed 18:59,green
21/03,QH1124,SGN,UIH,46m,09:30,09:43,10:45,Landed 17:28,green
21/03,QH251,HAN,SGN,2h0m,06:15,06:39,08:30,Landed 15:38,green
21/03,QH224,SGN,HAN,1h51m,03:20,03:50,05:30,Landed 12:40,green
21/03,QH151,DAD,SGN,1h1m,01:10,01:20,02:40,Landed 09:21,green
20/03,QH150,SGN,DAD,58m,23:15,23:26,00:40,Landed 07:24,green
20/03,QH255,HAN,SGN,1h48m,10:30,10:53,12:45,Landed 19:40,green
20/03,QH242,SGN,HAN,1h53m,07:15,07:40,09:25,Landed 16:34,green
