DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VJ853,RMQ,SGN,3h12m,07:30,07:31,11:00,Landed 17:43,green
02/05,VJ852,SGN,RMQ,2h51m,03:10,03:32,06:30,Landed 14:23,green
01/05,VJ1806,AMD,SGN,4h31m,18:20,18:45,23:30,Landed 06:16,green
01/05,VJ1805,SGN,AMD,5h6m,12:10,12:20,17:20,Landed 22:57,green
01/05,VJ147,HAN,SGN,1h42m,08:45,09:11,10:55,Landed 17:53,green
01/05,VJ138,SGN,HAN,1h51m,06:05,06:05,08:15,Landed 14:56,green
30/04,VJ1806,AMD,SGN,4h39m,18:20,19:29,23:30,Landed 07:08,yellow
30/04,VJ1805,SGN,AMD,5h18m,12:10,12:28,17:20,Landed 23:16,yellow
30/04,VJ894,DPS,SGN,3h34m,06:05,06:14,09:55,Landed 16:48,green
30/04,VJ893,SGN,DPS,3h19m,01:15,01:41,05:05,Landed 13:00,green
29/04,VJ861,ICN,SGN,5h14m,12:15,12:28,17:30,Landed 00:41,green
29/04,VJ860,SGN,ICN,4h45m,05:20,05:44,10:25,Landed 19:29,green
29/04,VJ334,PQC,SGN,48m,02:50,02:52,03:50,Landed 10:40,green
28/04,VJ977,ICN,PQC,5h33m,20:00,20:00,01:25,Landed 08:33,green
28/04,VJ976,PQC,ICN,4h55m,13:35,13:42,19:00,Landed 03:37,green
28/04,VJ845,TPE,PQC,3h38m,06:10,06:15,09:50,Landed 16:53,green
28/04,VJ844,PQC,TPE,3h16m,01:20,01:41,05:00,Landed 12:58,green
27/04,VJ1329,SGN,PQC,40m,22:15,00:03,23:20,Landed 07:43,red
27/04,VJ1802,BLR,SGN,4h6m,18:05,18:36,23:00,Landed 05:43,green
27/04,VJ1801,SGN,BLR,4h47m,12:20,12:34,17:05,Landed 22:51,yellow
27/04,VJ854,CGK,SGN,2h45m,06:30,06:38,09:40,Landed 16:23,green
27/04,VJ855,SGN,CGK,2h39m,02:35,02:49,05:30,Landed 12:28,green
26/04,VJ1806,AMD,SGN,4h30m,18:20,18:45,23:30,Landed 06:15,green
26/04,VJ1805,SGN,AMD,5h14m,12:10,12:29,17:20,Landed 23:13,yellow
26/04,VJ637,DAD,SGN,1h4m,09:40,09:47,11:00,Landed 17:51,green
26/04,VJ970,SIN,DAD,2h18m,03:15,03:20,06:10,Landed 12:38,green
26/04,VJ813,SGN,SIN,1h34m,00:10,00:29,02:15,Landed 10:04,green
25/04,VJ161,HAN,SGN,1h46m,13:55,14:07,16:05,Landed 22:53,green
25/04,VJ949,RMQ,HAN,2h46m,10:00,10:16,12:50,Landed 20:02,green
25/04,VJ948,HAN,RMQ,2h3m,06:30,06:51,09:00,Landed 16:54,green
25/04,VJ939,KIX,HAN,4h56m,00:20,00:27,05:20,Landed 12:23,green
24/04,VJ938,HAN,KIX,4h12m,18:20,18:34,22:50,Landed 07:46,green
24/04,VJ518,DAD,HAN,1h3m,13:45,15:09,15:05,Landed 23:12,red
24/04,VJ521,HAN,DAD,1h0m,11:45,13:01,13:05,Landed 21:01,red
24/04,VJ512,DAD,HAN,1h6m,09:55,10:48,11:15,Landed 18:54,yellow
24/04,VJ511,HAN,DAD,1h4m,08:05,08:47,09:25,Landed 16:50,yellow
24/04,VJ1566,HUI,HAN,1h3m,05:50,05:57,07:05,Landed 14:00,green
24/04,VJ1565,HAN,HUI,55m,04:05,04:24,05:20,Landed 12:19,green
24/04,VJ1448,PQC,HAN,1h49m,01:10,01:26,03:15,Landed 10:14,green
23/04,VJ1445,HAN,PQC,1h48m,22:30,22:39,00:35,Landed 07:28,green
23/04,VJ150,SGN,HAN,1h51m,10:40,11:02,12:50,Landed 19:53,green
23/04,VJ141,HAN,SGN,1h50m,07:30,07:50,09:40,Landed 16:41,green
23/04,VJ933,NRT,HAN,5h49m,00:30,00:49,06:05,Landed 13:39,yellow
22/04,VJ932,HAN,NRT,4h32m,17:30,17:36,23:00,Landed 07:09,green
22/04,VJ949,RMQ,HAN,2h45m,10:00,10:13,12:50,Landed 19:58,green
22/04,VJ948,HAN,RMQ,2h14m,06:30,06:49,09:00,Landed 17:03,green
22/04,VJ939,KIX,HAN,4h44m,00:20,00:48,05:20,Landed 12:31,green
21/04,VJ938,HAN,KIX,4h4m,18:20,18:42,22:50,Landed 07:46,green
21/04,VJ1158,SGN,HAN,1h47m,13:40,14:45,15:55,Landed 23:32,yellow
21/04,VJ279,HPH,SGN,1h36m,09:25,09:59,11:25,Landed 18:35,green
21/04,VJ278,SGN,HPH,1h46m,06:55,07:20,08:55,Landed 16:06,green
20/04,VJ869,PUS,SGN,4h56m,23:10,23:26,04:05,Landed 11:21,yellow
20/04,VJ868,SGN,PUS,4h36m,17:05,17:16,21:55,Landed 06:52,green
20/04,VJ877,HKG,SGN,2h12m,11:50,12:07,14:30,Landed 21:19,green
20/04,VJ876,SGN,HKG,2h17m,08:10,08:29,10:50,Landed 18:46,green
19/04,VJ869,PUS,SGN,4h50m,23:10,23:46,04:05,Landed 11:35,yellow
19/04,VJ868,SGN,PUS,4h45m,17:05,17:41,21:55,Landed 07:27,yellow
19/04,VJ1832,VTE,SGN,1h39m,11:45,12:26,13:45,Landed 21:05,yellow
19/04,VJ1831,SGN,VTE,1h47m,09:25,09:52,11:00,Landed 18:39,yellow
19/04,VJ863,ICN,SGN,5h14m,02:40,02:46,07:55,Landed 15:00,green
18/04,VJ862,SGN,ICN,4h38m,19:35,19:42,00:40,Landed 09:20,green
18/04,VJ843,TPE,SGN,3h11m,11:00,11:12,14:25,Landed 21:23,green
18/04,VJ842,SGN,TPE,2h51m,06:30,06:44,10:00,Landed 17:35,green
17/04,VJ869,PUS,SGN,5h0m,23:10,23:36,04:05,Landed 11:36,yellow
17/04,VJ868,SGN,PUS,4h29m,17:05,17:54,21:55,Landed 07:24,yellow
17/04,VJ877,HKG,SGN,2h15m,11:50,12:16,14:30,Landed 21:31,green
17/04,VJ876,SGN,HKG,2h15m,08:10,08:26,10:50,Landed 18:41,green
17/04,VJ808,HKT,SGN,1h37m,04:55,05:08,06:50,Landed 13:45,green
17/04,VJ809,SGN,HKT,1h31m,01:50,02:14,03:55,Landed 10:46,green
16/04,VJ1804,HYD,SGN,3h59m,18:05,18:29,22:35,Landed 05:27,green
16/04,VJ1803,SGN,HYD,4h27m,12:45,12:55,17:05,Landed 22:53,yellow
16/04,VJ853,RMQ,SGN,3h3m,07:30,08:03,11:00,Landed 18:05,green
16/04,VJ852,SGN,RMQ,3h5m,03:10,03:36,06:30,Landed 14:42,green
15/04,VJ279,HPH,SGN,1h40m,09:25,10:04,11:25,Landed 18:44,yellow
15/04,VJ730,CXR,HPH,1h33m,03:35,03:47,05:25,Landed 12:20,green
14/04,VJ600,SGN,CXR,47m,07:35,08:00,08:35,Landed 15:47,green
14/04,VJ808,HKT,SGN,1h42m,04:55,05:01,06:50,Landed 13:43,green
14/04,VJ809,SGN,HKT,1h33m,01:50,02:07,03:55,Landed 10:40,green
13/04,VJ1802,BLR,SGN,4h17m,18:05,18:13,23:00,Landed 05:30,green
