DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VN146,SGN,DAD,1h2m,12:35,12:56,14:00,Landed 20:58,green
02/05,VN640,DPS,SGN,3h37m,08:00,08:04,11:40,Landed 18:42,green
02/05,VN641,SGN,DPS,3h20m,03:10,03:25,07:00,Landed 14:45,green
02/05,VN1367,HUI,SGN,1h0m,00:50,00:47,02:20,Landed 08:46,green
01/05,VN1366,SGN,HUI,,22:45,22:47,00:15,Unknown,
01/05,VN133,DAD,SGN,58m,08:20,08:37,09:55,Landed 16:36,green
01/05,VN337,KIX,DAD,4h58m,00:30,00:49,05:25,Landed 12:48,yellow
30/04,VN336,DAD,KIX,4h13m,18:10,18:42,22:55,Landed 07:56,green
30/04,VN199,HAN,DAD,1h0m,13:25,13:41,14:50,Landed 21:42,green
30/04,VN1544,HUI,HAN,1h0m,11:30,11:40,12:50,Landed 19:40,green
30/04,VN1545,HAN,HUI,52m,09:35,09:55,10:55,Landed 17:46,green
30/04,VN660,SIN,HAN,2h59m,05:05,05:22,08:35,Landed 15:21,green
30/04,VN661,HAN,SIN,3h5m,00:30,00:42,03:55,Landed 11:48,green
29/04,VN7192,DAD,HAN,1h5m,14:30,15:43,15:55,Landed 23:48,red
29/04,VN199,HAN,DAD,1h1m,13:25,13:50,14:50,Landed 21:52,green
29/04,VN1558,CXR,HAN,1h40m,09:00,10:40,12:10,Landed 19:20,green
29/04,VN1559,HAN,CXR,1h53m,06:25,07:52,09:35,Landed 16:45,green
29/04,VN610,BKK,HAN,1h31m,04:55,05:09,06:55,Landed 13:40,green
29/04,VN611,HAN,BKK,1h34m,01:50,01:58,03:50,Landed 10:32,green
28/04,VN680,KUL,HAN,2h56m,12:00,12:06,15:20,Landed 22:02,green
28/04,VN681,HAN,KUL,2h50m,07:45,07:50,11:00,Landed 18:40,green
28/04,VN610,BKK,HAN,1h34m,04:55,05:07,06:55,Landed 13:41,green
28/04,VN611,HAN,BKK,1h36m,01:50,02:10,03:50,Landed 10:46,green
27/04,VN7058,DAD,HAN,1h5m,14:10,15:40,15:35,Landed 23:44,red
27/04,VN7057,HAN,DAD,1h2m,12:10,13:44,13:35,Landed 21:46,red
27/04,VN836,SAI,HAN,1h34m,11:05,10:59,12:50,Landed 19:33,green
27/04,VN837,HAN,SAI,1h21m,08:30,08:39,10:10,Landed 17:00,green
27/04,VN1552,CXR,HAN,1h35m,05:30,05:40,07:30,Landed 14:15,green
27/04,VN1553,HAN,CXR,1h32m,02:55,03:05,04:55,Landed 11:37,green
27/04,VN158,DAD,HAN,1h3m,00:50,00:52,02:15,Landed 08:55,green
26/04,VN157,HAN,DAD,58m,22:50,23:08,00:15,Landed 07:06,green
26/04,VN176,DAD,HAN,1h8m,08:45,08:52,10:10,Landed 17:00,green
26/04,VN175,HAN,DAD,57m,06:45,06:58,08:10,Landed 14:55,green
26/04,VN357,FUK,HAN,4h1m,01:00,01:12,05:30,Landed 12:13,green
25/04,VN356,HAN,FUK,3h52m,18:30,18:35,22:35,Landed 07:28,green
25/04,VN180,DAD,HAN,1h3m,11:05,11:18,12:30,Landed 19:21,green
25/04,VN179,HAN,DAD,59m,09:05,09:22,10:30,Landed 17:21,green
25/04,VN172,DAD,HAN,1h8m,06:45,06:48,08:10,Landed 14:56,green
25/04,VN1671,HPH,DAD,59m,04:25,04:25,05:45,Landed 12:24,green
25/04,VN1670,DAD,HPH,53m,02:35,02:33,03:50,Landed 10:26,green
25/04,VN1910,BMV,DAD,,00:40,,01:40,Unknown,
24/04,VN1911,DAD,BMV,41m,23:00,23:01,00:05,Landed 06:42,green
24/04,VN1940,CXR,DAD,52m,12:50,12:57,13:55,Landed 20:49,green
24/04,VN1941,DAD,CXR,48m,11:00,11:16,12:15,Landed 19:05,green
24/04,VN1440,VCA,DAD,1h4m,09:00,09:11,10:25,Landed 17:15,green
24/04,VN1441,DAD,VCA,1h21m,06:45,06:51,08:20,Landed 15:12,green
24/04,VN337,KIX,DAD,4h46m,00:30,00:41,05:45,Landed 12:27,green
23/04,VN336,DAD,KIX,4h0m,18:30,19:11,22:55,Landed 08:11,yellow
23/04,VN626,BKK,DAD,1h17m,11:05,11:22,12:45,Landed 19:39,green
23/04,VN627,DAD,BKK,1h21m,08:15,08:15,10:05,Landed 16:36,green
23/04,VN337,KIX,DAD,4h45m,00:30,00:41,05:45,Landed 12:26,green
22/04,VN336,DAD,KIX,3h58m,18:30,19:21,22:55,Landed 08:18,yellow
22/04,VN187,HAN,DAD,1h0m,10:25,10:40,11:50,Landed 18:40,green
22/04,VN1640,VCL,HAN,1h13m,04:55,05:08,06:20,Landed 13:21,green
22/04,VN1641,HAN,VCL,1h11m,02:50,03:08,04:15,Landed 11:19,green
22/04,VN1540,HUI,HAN,59m,00:35,00:41,01:55,Landed 08:40,green
21/04,VN1541,HAN,HUI,1h0m,22:40,22:50,00:01,Landed 06:50,green
21/04,VN1544,HUI,HAN,1h4m,11:30,11:40,12:50,Landed 19:44,green
21/04,VN1545,HAN,HUI,51m,09:35,09:55,10:55,Landed 17:46,green
21/04,VN1650,TBB,HAN,1h32m,07:10,07:10,08:55,Landed 15:42,green
21/04,VN1651,HAN,TBB,1h20m,04:45,05:01,06:35,Landed 13:20,green
21/04,VN1614,PXU,HAN,1h17m,02:15,02:33,03:50,Landed 10:50,green
21/04,VN1615,HAN,PXU,1h10m,00:05,00:17,01:40,Landed 08:26,green
20/04,VN180,DAD,HAN,1h11m,11:05,11:25,12:30,Landed 19:36,green
20/04,VN1440,VCA,DAD,1h10m,08:55,08:57,10:25,Landed 17:07,green
20/04,VN1441,DAD,VCA,1h15m,06:45,06:49,08:20,Landed 15:04,green
20/04,VN337,KIX,DAD,4h46m,00:30,00:50,05:45,Landed 12:35,green
19/04,VN336,DAD,KIX,4h19m,18:30,18:54,22:55,Landed 08:13,yellow
19/04,VN626,BKK,DAD,1h24m,11:05,11:44,12:45,Landed 20:09,yellow
19/04,VN627,DAD,BKK,1h29m,08:15,09:05,10:05,Landed 17:34,yellow
19/04,VN337,KIX,DAD,5h0m,00:30,00:41,05:45,Landed 12:41,green
18/04,VN336,DAD,KIX,3h59m,18:30,18:52,22:55,Landed 07:52,green
18/04,VN7197,HAN,DAD,1h3m,13:35,13:44,15:00,Landed 21:48,green
18/04,VN174,DAD,HAN,1h7m,09:35,09:53,11:00,Landed 18:00,green
18/04,VN173,HAN,DAD,1h3m,07:35,07:52,09:00,Landed 15:56,green
18/04,VN1590,VDH,HAN,52m,03:25,05:38,04:30,Landed 13:30,red
18/04,VN1591,HAN,VDH,41m,01:45,04:06,02:50,Landed 11:46,red
17/04,VN1544,HUI,HAN,56m,11:30,12:03,12:50,Landed 19:59,green
17/04,VN1545,HAN,HUI,57m,09:35,10:17,10:55,Landed 18:14,yellow
17/04,VN1650,TBB,HAN,1h27m,07:10,07:34,08:55,Landed 16:02,green
17/04,VN1651,HAN,TBB,1h22m,04:45,05:27,06:35,Landed 13:49,green
17/04,VN1614,PXU,HAN,1h24m,02:15,03:13,03:50,Landed 11:37,red
17/04,VN1615,HAN,PXU,1h12m,00:05,00:18,01:40,Landed 08:30,green
16/04,VN224,SGN,HAN,1h47m,15:00,15:26,17:10,Landed 00:13,green
16/04,VN606,BKK,SGN,1h15m,12:30,12:52,14:15,Landed 21:07,green
16/04,VN607,SGN,BKK,1h23m,09:50,09:56,11:30,Landed 18:19,green
16/04,VN129,DAD,SGN,1h2m,06:30,06:56,08:05,Landed 14:57,green
16/04,VN337,KIX,DAD,4h39m,00:30,00:46,05:45,Landed 12:25,green
15/04,VN336,DAD,KIX,4h6m,18:30,18:53,22:55,Landed 07:59,green
15/04,VN199,HAN,DAD,1h8m,13:25,13:35,14:50,Landed 21:43,green
15/04,VN180,DAD,HAN,1h1m,11:05,11:24,12:30,Landed 19:24,green
15/04,VN179,HAN,DAD,1h8m,09:05,09:20,10:30,Landed 17:28,green
15/04,VN170,DAD,HAN,1h6m,06:50,07:11,08:15,Landed 15:17,green
15/04,VN169,HAN,DAD,59m,04:50,05:11,06:15,Landed 13:10,green
15/04,VN164,DAD,HAN,1h3m,02:45,02:57,04:10,Landed 10:59,green
15/04,VN163,HAN,DAD,59m,00:45,01:02,02:10,Landed 09:01,green
14/04,VN180,DAD,HAN,1h4m,11:05,11:12,12:30,Landed 19:16,green
14/04,VN179,HAN,DAD,1h0m,09:05,09:09,10:30,Landed 17:09,green
14/04,VN610,BKK,HAN,1h27m,04:55,05:11,06:55,Landed 13:37,green
14/04,VN611,HAN,BKK,1h31m,01:50,01:59,03:50,Landed 10:30,green
13/04,VN1544,HUI,HAN,54m,11:30,11:40,12:50,Landed 19:35,green
13/04,VN1545,HAN,HUI,50m,09:35,09:48,10:55,Landed 17:38,green
13/04,VN172,DAD,HAN,1h12m,06:45,07:07,08:10,Landed 15:19,green
13/04,VN337,KIX,DAD,4h48m,00:30,00:44,05:45,Landed 12:32,green
12/04,VN336,DAD,KIX,4h8m,18:30,18:56,22:55,Landed 08:04,green
12/04,VN626,BKK,DAD,1h18m,11:05,11:24,12:45,Landed 19:41,green
12/04,VN627,DAD,BKK,1h25m,08:15,08:28,10:05,Landed 16:53,green
12/04,VN337,KIX,DAD,4h26m,00:30,00:45,05:45,Landed 12:11,green
11/04,VN336,DAD,KIX,4h10m,18:30,19:10,22:55,Landed 08:20,yellow
11/04,VN7197,HAN,DAD,1h6m,13:35,13:45,15:00,Landed 21:51,green
11/04,VN836,SAI,HAN,1h22m,11:05,11:06,12:50,Landed 19:28,green
11/04,VN837,HAN,SAI,1h22m,08:30,08:29,10:10,Landed 16:51,green
11/04,VN1552,CXR,HAN,1h37m,05:30,05:39,07:30,Landed 14:16,green
11/04,VN1553,HAN,CXR,1h27m,02:55,03:09,04:55,Landed 11:37,green
10/04,VN156,DAD,HAN,1h7m,23:40,23:06,01:05,Landed 07:13,green
10/04,VN626,BKK,DAD,1h18m,11:05,11:41,12:45,Landed 19:59,green
10/04,VN627,DAD,BKK,1h24m,08:15,08:54,10:05,Landed 17:18,green
10/04,VN337,KIX,DAD,4h49m,00:30,01:03,05:45,Landed 12:52,green
09/04,VN336,DAD,KIX,3h55m,18:30,19:03,22:55,Landed 07:58,green
09/04,VN1940,CXR,DAD,48m,12:50,13:04,13:55,Landed 20:52,green
09/04,VN1941,DAD,CXR,49m,11:00,11:15,12:15,Landed 19:04,green
09/04,VN7191,HAN,DAD,1h3m,08:55,09:18,10:20,Landed 17:21,green
09/04,VN166,DAD,HAN,1h5m,04:35,04:45,06:00,Landed 12:50,green
09/04,VN165,HAN,DAD,1h0m,02:35,02:50,04:00,Landed 10:49,green
08/04,VN170,DAD,HAN,1h6m,06:50,07:00,08:15,Landed 15:06,green
08/04,VN169,HAN,DAD,1h3m,04:50,05:08,06:15,Landed 13:11,green
08/04,VN164,DAD,HAN,1h1m,02:45,03:00,04:10,Landed 11:01,green
08/04,VN163,HAN,DAD,1h8m,00:45,00:56,02:10,Landed 09:04,green
07/04,VN180,DAD,HAN,1h2m,11:05,11:26,12:30,Landed 19:28,green
07/04,VN179,HAN,DAD,1h10m,09:05,09:23,10:30,Landed 17:33,green
07/04,VN212,SGN,HAN,1h48m,05:00,05:14,07:10,Landed 14:02,green
07/04,VN1405,VDH,SGN,1h16m,02:05,02:06,03:45,Landed 10:22,green
06/04,VN1404,SGN,VDH,1h14m,23:55,00:00,01:30,Landed 08:13,green
06/04,VN656,SIN,SGN,1h43m,13:00,13:26,15:15,Landed 22:09,green
06/04,VN657,SGN,SIN,1h36m,10:00,10:10,12:00,Landed 19:46,green
06/04,VN1826,PQC,SGN,43m,07:35,07:46,08:45,Landed 15:29,green
