DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,VN36,FRA,HAN,,11:55,12:15,23:05,Estimated 05:26,green
01/05,VN37,HAN,FRA,10h48m,16:00,16:53,04:00,Landed 05:41,green
01/05,VN216,SGN,HAN,1h41m,09:00,09:18,11:10,Landed 17:59,green
01/05,VN251,HAN,SGN,1h36m,05:00,05:13,07:10,Landed 13:50,green
01/05,VN208,SGN,HAN,1h49m,01:00,01:20,03:10,Landed 10:08,green
30/04,VN30,FRA,SGN,10h38m,11:35,11:46,23:25,Landed 05:23,green
29/04,VN31,SGN,FRA,12h29m,16:00,15:56,04:30,Landed 06:25,green
29/04,VN219,HAN,SGN,1h41m,12:00,12:27,14:10,Landed 21:09,green
29/04,VN216,SGN,HAN,1h42m,09:00,09:12,11:10,Landed 17:54,green
28/04,VN50,LHR,SGN,11h29m,18:10,19:04,07:30,Landed 13:33,green
28/04,VN51,SGN,LHR,13h21m,02:30,03:38,16:50,Landed 17:59,green
27/04,VN30,FRA,SGN,10h56m,11:35,11:56,23:25,Landed 05:52,green
26/04,VN37,HAN,FRA,11h50m,16:00,15:54,04:00,Landed 05:44,green
26/04,VN385,HND,HAN,5h10m,07:35,08:01,13:25,Landed 20:10,green
26/04,VN384,HAN,HND,4h25m,01:25,01:32,06:05,Landed 14:57,green
25/04,VN36,FRA,HAN,10h1m,11:55,12:13,23:05,Landed 05:14,green
24/04,VN37,HAN,FRA,12h8m,16:00,16:27,04:00,Landed 06:35,yellow
24/04,VN385,HND,HAN,5h39m,07:35,07:51,13:25,Landed 20:30,green
24/04,VN384,HAN,HND,4h6m,01:25,01:33,06:05,Landed 14:39,green
23/04,VN972,BOM,HAN,3h45m,17:40,17:58,22:25,Landed 04:43,green
23/04,VN973,HAN,BOM,4h53m,11:15,11:23,16:05,Landed 21:46,green
22/04,VN56,LHR,HAN,11h10m,18:50,18:02,06:45,Landed 12:11,green
22/04,VN55,HAN,LHR,11h41m,02:55,03:46,16:50,Landed 16:28,green
