DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
02/05,QH1214,UIH,HAN,1h44m,13:30,13:26,15:10,Landed 22:10,green
02/05,QH1215,HAN,UIH,1h20m,11:20,11:23,13:00,Landed 19:43,green
02/05,QH1416,CXR,HAN,1h32m,08:25,08:28,10:25,Landed 17:00,green
02/05,QH1415,HAN,CXR,1h34m,05:55,05:57,07:55,Landed 14:31,green
02/05,QH104,DAD,HAN,1h3m,02:40,02:50,04:05,Landed 10:53,green
02/05,QH103,HAN,DAD,57m,00:35,00:32,02:00,Landed 08:29,green
01/05,QH282,SGN,HAN,1h45m,16:55,17:10,19:05,Landed 01:55,green
01/05,QH273,HAN,SGN,1h48m,14:00,14:27,16:15,Landed 23:15,green
01/05,QH1416,CXR,HAN,1h44m,11:25,11:35,13:25,Landed 20:19,green
01/05,QH1415,HAN,CXR,1h36m,08:55,09:04,10:55,Landed 17:40,green
01/05,QH801,LJG,HAN,1h24m,06:05,06:07,07:55,Landed 14:31,green
01/05,QH802,HAN,LJG,1h44m,03:05,03:05,05:05,Landed 12:49,green
01/05,QH104,DAD,HAN,1h1m,00:40,00:43,02:05,Landed 08:44,green
30/04,QH101,HAN,DAD,59m,22:40,22:46,00:05,Landed 06:44,green
30/04,QH835,SYX,HAN,1h19m,18:30,18:28,20:05,Landed 02:48,green
30/04,QH834,HAN,SYX,1h18m,15:50,15:53,17:30,Landed 01:11,green
30/04,QH1214,UIH,HAN,1h16m,13:30,13:27,15:10,Landed 21:44,green
30/04,QH1215,HAN,UIH,1h17m,11:20,11:25,13:00,Landed 19:43,green
30/04,QH1416,CXR,HAN,2h1m,08:25,08:44,10:25,Landed 17:45,yellow
30/04,QH1415,HAN,CXR,1h35m,05:55,06:07,07:55,Landed 14:41,green
30/04,QH104,DAD,HAN,1h17m,02:40,02:52,04:05,Landed 11:09,green
30/04,QH103,HAN,DAD,1h7m,00:35,00:49,02:00,Landed 08:56,green
29/04,QH1416,CXR,HAN,1h51m,11:25,11:43,13:25,Landed 20:34,green
29/04,QH1415,HAN,CXR,1h41m,08:55,09:15,10:55,Landed 17:56,green
29/04,QH801,LJG,HAN,1h34m,06:05,06:17,07:55,Landed 14:50,green
29/04,QH802,HAN,LJG,1h43m,03:05,03:13,05:05,Landed 12:56,green
28/04,QH202,SGN,HAN,1h55m,23:30,23:34,01:40,Landed 08:29,green
