reg_number,aircraft_model,age,airline_code,DATE,FLIGHT,FROM,TO,std_utc,scheduled_dep_hour,dep_delay_minutes,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,flight_legs,cumulative_delay,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,time_crawled_UTC,dep_recent_index,dep_recent_delay_avg,actual_turnaround
VN-A816,A330-343,10.3,VJC,10/03,VJ773,CXR,,2026-03-10 02:57:00,2,0.0,,,,1,0.0,,,,,,,,,,,
VN-A814,A330-343,10.4,VJC,10/03,VJ81,SGN,MEL,2026-03-10 04:05:00,4,37.0,,,,1,0.0,,,,,,,,,,,
VN-A658,A320-214,11.4,VJC,10/03,VJ928,CGK,HAN,2026-03-10 07:00:00,7,84.0,,,,1,0.0,,,,,,,,,,,
VN-A653,A321-271N,7.5,VJC,10/03,VJ935,NRT,HAN,2026-03-10 07:25:00,7,10.0,,,,1,0.0,,,,,,,,,,,
VN-A861,B787-900,10.8,VNA,10/03,VN385,HND,HAN,2026-03-10 07:35:00,7,13.0,,,,1,0.0,,,,,,,,,,,
VN-A693,A321-271N,7.0,VJC,10/03,VJ1606,CXR,SHE,2026-03-10 08:21:00,8,0.0,,,,1,0.0,,,,,,,,,,,
VN-A516,A321-271NX,0.9,VJC,10/03,VJ985,HKG,PQC,2026-03-10 08:40:00,8,92.0,,,,1,0.0,,,,,,,,,,,
VN-A336,A321-231,13.6,VNA,10/03,VN619,HAN,BKK,2026-03-10 08:50:00,8,64.0,,,,1,0.0,,,,,,,,,,,
VN-A630,A321-211,8.9,VJC,10/03,VJ253,THD,SGN,2026-03-10 08:50:00,8,48.0,,,,1,0.0,,,,,,,,,,,
VN-A650,A320-214,11.1,VJC,10/03,VJ1831,SGN,VTE,2026-03-10 09:00:00,9,44.0,,,,1,0.0,,,,,,,,,,,
VN-A888,A350-941,10.5,VNA,10/03,VN415,ICN,HAN,2026-03-10 09:05:00,9,26.0,,,,1,0.0,,,,,,,,,,,
VN-A532,A321-211,11.0,VJC,10/03,VJ998,DPS,HAN,2026-03-10 09:25:00,9,8.0,,,,1,0.0,,,,,,,,,,,
ER-00005,A320-214,12.2,BAV,10/03,QH255,HAN,SGN,2026-03-10 09:30:00,9,6.0,,,,1,0.0,,,,,,,,,,,
VN-A866,B787-900,10.2,VNA,10/03,VN252,SGN,HAN,2026-03-10 09:40:00,9,59.0,,,,1,0.0,,,,,,,,,,,
VN-A358,A321-231,17.6,VNA,10/03,VN1563,HAN,CXR,2026-03-10 09:45:00,9,14.0,,,,1,0.0,,,,,,,,,,,
VN-A617,A321-272N,7.3,VNA,10/03,VN1608,CXR,HPH,2026-03-10 09:45:00,9,47.0,,,,1,0.0,,,,,,,,,,,
VN-A811,A330-343,17.3,VJC,10/03,VJ172,SGN,HAN,2026-03-10 09:45:00,9,45.0,,,,1,0.0,,,,,,,,,,,
VN-A324,A321-231,14.8,VNA,10/03,VN570,SGN,TPE,2026-03-10 09:50:00,9,53.0,,,,1,0.0,,,,,,,,,,,
VN-A623,A321-272N,7.1,VNA,10/03,VJ1492,BMV,HAN,2026-03-10 09:50:00,9,3.0,,,,1,0.0,,,,,,,,,,,
VN-A632,A321-211,8.5,VJC,10/03,VJ1492,BMV,HAN,2026-03-10 09:50:00,9,3.0,,,,1,0.0,,,,,,,,,,,
VN-A865,B787-900,10.2,VNA,10/03,VN38,CPH,SGN,2026-03-10 09:50:00,9,15.0,,,,1,0.0,,,,,,,,,,,
VN-A635,A321-211,8.4,VJC,10/03,VJ152,SGN,HAN,2026-03-10 10:00:00,10,50.0,,,,1,0.0,,,,,,,,,,,
VN-A618,A321-272N,7.1,VNA,10/03,VN187,HAN,DAD,2026-03-10 10:05:00,10,12.0,,,,1,0.0,,,,,,,,,,,
VN-A641,A321-211,8.8,VJC,10/03,VJ250,SGN,THD,2026-03-10 10:05:00,10,40.0,,,,1,0.0,,,,,,,,,,,
VN-A526,A321-271NX,3.3,VJC,10/03,VJ1619,CXR,SGN,2026-03-10 10:10:00,10,41.0,,,,1,0.0,,,,,,,,,,,
VN-A646,A321-271N,8.2,VJC,10/03,VJ820,SGN,HND,2026-03-10 10:20:00,10,35.0,,,,1,0.0,,,,,,,,,,,
VN-A335,A321-231,13.6,VNA,10/03,VN654,SIN,SGN,2026-03-10 10:25:00,10,67.0,,,,1,0.0,,,,,,,,,,,
VN-A534,A321-271NX,5.3,VJC,10/03,VJ465,HAN,VCA,2026-03-10 10:25:00,10,69.0,,,,1,0.0,,,,,,,,,,,
VN-A672,A320-214,10.1,VJC,10/03,VJ376,SGN,VCL,2026-03-10 10:25:00,10,23.0,,,,1,0.0,,,,,,,,,,,
VN-A332,A321-231,14.3,VNA,10/03,VN1941,DAD,CXR,2026-03-10 10:30:00,10,2.0,,,,1,0.0,,,,,,,,,,,
VN-A674,A321-271N,7.6,VJC,10/03,VJ432,UIH,HAN,2026-03-10 10:30:00,10,17.0,,,,1,0.0,,,,,,,,,,,
VN-A629,A321-211,7.3,VJC,10/03,VJ783,HAN,CXR,2026-03-10 10:40:00,10,58.0,,,,1,0.0,,,,,,,,,,,
VN-A663,A320-214,10.5,VJC,10/03,VJ445,HAN,PQC,2026-03-10 10:40:00,10,48.0,,,,1,0.0,,,,,,,,,,,
VN-A501,A321-272N,7.2,VNA,10/03,VN1469,VCL,SGN,2026-03-10 10:45:00,10,6.0,,,,1,0.0,,,,,,,,,,,
VN-A886,A350-941,10.8,VNA,10/03,VN973,HAN,BOM,2026-03-10 10:45:00,10,8.0,,,,1,0.0,,,,,,,,,,,
VN-A890,A350-941,9.4,VNA,10/03,VN72,MXP,HAN,2026-03-10 10:45:00,10,22.0,,,,1,0.0,,,,,,,,,,,
VN-A392,A321-231,13.5,VNA,10/03,VN836,SAI,HAN,2026-03-10 10:55:00,10,0.0,,,,1,0.0,,,,,,,,,,,
VN-A326,A321-231,14.7,VNA,10/03,VN843,HAN,SAI,2026-03-10 11:00:00,11,1.0,,,,1,0.0,,,,,,,,,,,
VN-A536,A321-271NX,3.2,VJC,10/03,VJ843,TPE,SGN,2026-03-10 11:00:00,11,17.0,,,,1,0.0,,,,,,,,,,,
VN-A616,A321-272N,6.9,VNA,10/03,VN626,BKK,DAD,2026-03-10 11:00:00,11,31.0,,,,1,0.0,,,,,,,,,,,
VN-A633,A321-211,8.5,VJC,10/03,VJ1279,HPH,SGN,2026-03-10 11:00:00,11,4.0,,,,1,0.0,,,,,,,,,,,
VN-A863,B787-900,10.6,VNA,10/03,VN50,LHR,SGN,2026-03-10 11:00:00,11,22.0,,,,1,0.0,,,,,,,,,,,
VN-A889,A350-941,10.4,VNA,10/03,VN259,HAN,SGN,2026-03-10 11:00:00,11,19.0,,,,1,0.0,,,,,,,,,,,
VN-A334,A321-231,13.8,VNA,10/03,VN137,DAD,SGN,2026-03-10 11:05:00,11,45.0,,,,1,0.0,,,,,,,,,,,
VN-A500,A321-271NX,0.9,VJC,10/03,VJ1440,PQC,HAN,2026-03-10 11:05:00,11,25.0,,,,1,0.0,,,,,,,,,,,
VN-A637,A321-211,8.3,VJC,10/03,VJ601,CXR,SGN,2026-03-10 11:05:00,11,46.0,,,,1,0.0,,,,,,,,,,,
JU-1410,A320-214,14.9,BAV,10/03,QH1125,UIH,SGN,2026-03-10 11:15:00,11,30.0,,,,1,0.0,,,,,,,,,,,
