DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
30/03,QH151,DAD,SGN,1h3m,01:10,01:42,02:40,Landed 09:45,green,2026-03-30 02:45,63.0,2026-03-30 01:10:00,2026-03-30 01:42:00,2026-03-30 02:40:00,2026-03-30 02:45:00,1,32.0,2026-03-30 00:40:00,2026-03-30 00:40:00,29.0,30.0,30.0,62.0,1,0,25,2,29.0
29/03,QH150,SGN,DAD,0h56m,23:15,23:44,00:40,Landed 07:40,green,2026-03-30 00:40,56.0,2026-03-29 23:15:00,2026-03-29 23:44:00,2026-03-30 00:40:00,2026-03-30 00:40:00,23,29.0,2026-03-29 16:30:00,2026-03-29 16:33:00,36.0,405.0,402.0,431.0,1,1,25,1,0.0
29/03,QH281,HAN,SGN,1h42m,14:15,14:51,16:30,Landed 23:33,green,2026-03-29 16:33,102.0,2026-03-29 14:15:00,2026-03-29 14:51:00,2026-03-29 16:30:00,2026-03-29 16:33:00,14,36.0,2026-03-29 13:10:00,2026-03-29 13:33:00,38.0,65.0,42.0,78.0,1,0,24,6,154.0
29/03,QH1214,UIH,HAN,1h25m,11:30,12:08,13:10,Landed 20:33,yellow,2026-03-29 13:33,85.0,2026-03-29 11:30:00,2026-03-29 12:08:00,2026-03-29 13:10:00,2026-03-29 13:33:00,11,38.0,2026-03-29 11:00:00,2026-03-29 11:21:00,41.0,30.0,9.0,47.0,1,0,24,5,116.0
29/03,QH1215,HAN,UIH,1h20m,09:20,10:01,11:00,Landed 18:21,yellow,2026-03-29 11:21,80.0,2026-03-29 09:20:00,2026-03-29 10:01:00,2026-03-29 11:00:00,2026-03-29 11:21:00,9,41.0,2026-03-29 08:25:00,2026-03-29 08:29:00,24.0,55.0,51.0,92.0,1,0,24,4,75.0
29/03,QH242,SGN,HAN,1h50m,06:15,06:39,08:25,Landed 15:29,green,2026-03-29 08:29,110.0,2026-03-29 06:15:00,2026-03-29 06:39:00,2026-03-29 08:25:00,2026-03-29 08:29:00,6,24.0,2026-03-29 05:25:00,2026-03-29 05:38:00,34.0,50.0,37.0,61.0,1,0,24,3,51.0
29/03,QH211,HAN,SGN,1h54m,03:10,03:44,05:25,Landed 12:38,green,2026-03-29 05:38,114.0,2026-03-29 03:10:00,2026-03-29 03:44:00,2026-03-29 05:25:00,2026-03-29 05:38:00,3,34.0,2026-03-29 02:20:00,2026-03-29 02:13:00,17.0,50.0,57.0,91.0,1,0,24,2,17.0
29/03,QH204,SGN,HAN,1h46m,00:10,00:27,02:20,Landed 09:13,green,2026-03-29 02:13,106.0,2026-03-29 00:10:00,2026-03-29 00:27:00,2026-03-29 02:20:00,2026-03-29 02:13:00,0,17.0,2026-03-28 11:45:00,2026-03-28 11:19:00,7.0,745.0,771.0,788.0,1,1,24,1,0.0
28/03,QH255,HAN,SGN,1h42m,09:30,09:37,11:45,Landed 18:19,green,2026-03-28 11:19,102.0,2026-03-28 09:30:00,2026-03-28 09:37:00,2026-03-28 11:45:00,2026-03-28 11:19:00,9,7.0,2026-03-28 08:25:00,2026-03-28 08:17:00,17.0,65.0,73.0,80.0,1,0,23,4,43.0
28/03,QH242,SGN,HAN,1h45m,06:15,06:32,08:25,Landed 15:17,green,2026-03-28 08:17,105.0,2026-03-28 06:15:00,2026-03-28 06:32:00,2026-03-28 08:25:00,2026-03-28 08:17:00,6,17.0,2026-03-28 05:25:00,2026-03-28 05:15:00,18.0,50.0,60.0,77.0,1,0,23,3,26.0
28/03,QH211,HAN,SGN,1h47m,03:10,03:28,05:25,Landed 12:15,green,2026-03-28 05:15,107.0,2026-03-28 03:10:00,2026-03-28 03:28:00,2026-03-28 05:25:00,2026-03-28 05:15:00,3,18.0,2026-03-28 02:20:00,2026-03-28 01:59:00,8.0,50.0,71.0,89.0,1,0,23,2,8.0
28/03,QH204,SGN,HAN,1h41m,00:10,00:18,02:20,Landed 08:59,green,2026-03-28 01:59,101.0,2026-03-28 00:10:00,2026-03-28 00:18:00,2026-03-28 02:20:00,2026-03-28 01:59:00,0,8.0,2026-03-27 17:50:00,2026-03-27 18:19:00,48.0,380.0,351.0,359.0,1,1,23,1,0.0
27/03,QH283,HAN,SGN,1h56m,15:35,16:23,17:50,Landed 01:19,yellow,2026-03-27 18:19,116.0,2026-03-27 15:35:00,2026-03-27 16:23:00,2026-03-27 17:50:00,2026-03-27 18:19:00,15,48.0,2026-03-27 14:45:00,2026-03-27 15:09:00,56.0,50.0,26.0,74.0,1,0,22,6,371.0
27/03,QH268,SGN,HAN,1h38m,12:35,13:31,14:45,Landed 22:09,yellow,2026-03-27 15:09,98.0,2026-03-27 12:35:00,2026-03-27 13:31:00,2026-03-27 14:45:00,2026-03-27 15:09:00,12,56.0,2026-03-27 11:45:00,2026-03-27 12:27:00,70.0,50.0,8.0,64.0,1,0,22,5,315.0
27/03,QH255,HAN,SGN,1h47m,09:30,10:40,11:45,Landed 19:27,yellow,2026-03-27 12:27,107.0,2026-03-27 09:30:00,2026-03-27 10:40:00,2026-03-27 11:45:00,2026-03-27 12:27:00,9,70.0,2026-03-27 08:25:00,2026-03-27 09:17:00,72.0,65.0,13.0,83.0,1,0,22,4,245.0
27/03,QH242,SGN,HAN,1h50m,06:15,07:27,08:25,Landed 16:17,red,2026-03-27 09:17,110.0,2026-03-27 06:15:00,2026-03-27 07:27:00,2026-03-27 08:25:00,2026-03-27 09:17:00,6,72.0,2026-03-27 05:25:00,2026-03-27 06:16:00,79.0,50.0,-1.0,71.0,1,0,22,3,173.0
27/03,QH211,HAN,SGN,1h47m,03:10,04:29,05:25,Landed 13:16,red,2026-03-27 06:16,107.0,2026-03-27 03:10:00,2026-03-27 04:29:00,2026-03-27 05:25:00,2026-03-27 06:16:00,3,79.0,2026-03-27 02:20:00,2026-03-27 03:27:00,94.0,50.0,-17.0,62.0,1,0,22,2,94.0
27/03,QH204,SGN,HAN,1h43m,00:10,01:44,02:20,Landed 10:27,red,2026-03-27 03:27,103.0,2026-03-27 00:10:00,2026-03-27 01:44:00,2026-03-27 02:20:00,2026-03-27 03:27:00,0,94.0,2026-03-26 11:45:00,2026-03-26 11:39:00,21.0,745.0,751.0,845.0,1,1,22,1,0.0
26/03,QH255,HAN,SGN,1h48m,09:30,09:51,11:45,Landed 18:39,green,2026-03-26 11:39,108.0,2026-03-26 09:30:00,2026-03-26 09:51:00,2026-03-26 11:45:00,2026-03-26 11:39:00,9,21.0,2026-03-26 08:25:00,2026-03-26 08:21:00,22.0,65.0,69.0,90.0,1,0,21,4,66.0
26/03,QH242,SGN,HAN,1h44m,06:15,06:37,08:25,Landed 15:21,green,2026-03-26 08:21,104.0,2026-03-26 06:15:00,2026-03-26 06:37:00,2026-03-26 08:25:00,2026-03-26 08:21:00,6,22.0,2026-03-26 05:25:00,2026-03-26 05:20:00,23.0,50.0,55.0,77.0,1,0,21,3,44.0
26/03,QH211,HAN,SGN,1h47m,03:10,03:33,05:25,Landed 12:20,green,2026-03-26 05:20,107.0,2026-03-26 03:10:00,2026-03-26 03:33:00,2026-03-26 05:25:00,2026-03-26 05:20:00,3,23.0,2026-03-26 02:20:00,2026-03-26 02:18:00,21.0,50.0,52.0,75.0,1,0,21,2,21.0
26/03,QH204,SGN,HAN,1h47m,00:10,00:31,02:20,Landed 09:18,green,2026-03-26 02:18,107.0,2026-03-26 00:10:00,2026-03-26 00:31:00,2026-03-26 02:20:00,2026-03-26 02:18:00,0,21.0,2026-03-25 17:50:00,2026-03-25 17:26:00,9.0,380.0,404.0,425.0,1,1,21,1,0.0
25/03,QH283,HAN,SGN,1h42m,15:35,15:44,17:50,Landed 00:26,green,2026-03-25 17:26,102.0,2026-03-25 15:35:00,2026-03-25 15:44:00,2026-03-25 17:50:00,2026-03-25 17:26:00,15,9.0,2026-03-25 14:45:00,2026-03-25 14:38:00,19.0,50.0,57.0,66.0,1,0,20,6,99.0
