DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
02/05,QH18,SGN,DAD,1h3m,13:22,13:22,14:25,Landed 21:25,red,2026-05-02 14:25,63.0,2026-05-02 13:22:00,2026-05-02 13:22:00,2026-05-02 14:25:00,2026-05-02 14:25:00,13,0.0,2026-05-02 12:40:00,2026-05-02 16:34:00,257.0,42.0,-192.0,-192.0,1,0,65,2,257.0
02/05,QH146,DAD,HAN,1h2m,11:15,15:32,12:40,Delayed 23:34,red,2026-05-02 16:34,62.0,2026-05-02 11:15:00,2026-05-02 15:32:00,2026-05-02 12:40:00,2026-05-02 16:34:00,11,257.0,2026-05-01 19:00:00,2026-05-01 18:56:00,28.0,975.0,979.0,1236.0,1,1,65,1,0.0
01/05,QH283,HAN,SGN,1h43m,16:45,17:13,19:00,Landed 01:56,green,2026-05-01 18:56,103.0,2026-05-01 16:45:00,2026-05-01 17:13:00,2026-05-01 19:00:00,2026-05-01 18:56:00,16,28.0,2026-05-01 16:05:00,2026-05-01 16:08:00,16.0,40.0,37.0,65.0,1,0,64,2,16.0
01/05,QH268,SGN,HAN,1h57m,13:55,14:11,16:05,Landed 23:08,green,2026-05-01 16:08,117.0,2026-05-01 13:55:00,2026-05-01 14:11:00,2026-05-01 16:05:00,2026-05-01 16:08:00,13,16.0,2026-04-27 13:15:00,2026-04-27 12:50:00,0.0,5800.0,5825.0,5841.0,1,1,64,1,0.0
27/04,QH1125,UIH,SGN,0h52m,12:00,11:58,13:15,Landed 19:50,green,2026-04-27 12:50,52.0,2026-04-27 12:00:00,2026-04-27 11:58:00,2026-04-27 13:15:00,2026-04-27 12:50:00,12,0.0,2026-04-27 11:30:00,2026-04-27 11:03:00,0.0,30.0,57.0,55.0,1,0,63,4,29.0
27/04,QH1124,SGN,UIH,0h48m,10:15,10:15,11:30,Landed 18:03,green,2026-04-27 11:03,48.0,2026-04-27 10:15:00,2026-04-27 10:15:00,2026-04-27 11:30:00,2026-04-27 11:03:00,10,0.0,2026-04-27 09:00:00,2026-04-27 08:51:00,17.0,75.0,84.0,84.0,1,0,63,3,29.0
27/04,QH251,HAN,SGN,1h49m,06:45,07:02,09:00,Landed 15:51,green,2026-04-27 08:51,109.0,2026-04-27 06:45:00,2026-04-27 07:02:00,2026-04-27 09:00:00,2026-04-27 08:51:00,6,17.0,2026-04-27 05:35:00,2026-04-27 05:28:00,12.0,70.0,77.0,94.0,1,0,63,2,12.0
27/04,QH224,SGN,HAN,1h51m,03:25,03:37,05:35,Landed 12:28,green,2026-04-27 05:28,111.0,2026-04-27 03:25:00,2026-04-27 03:37:00,2026-04-27 05:35:00,2026-04-27 05:28:00,3,12.0,2026-04-26 13:15:00,2026-04-26 12:59:00,8.0,850.0,866.0,878.0,1,1,63,1,0.0
26/04,QH1125,UIH,SGN,0h51m,12:00,12:08,13:15,Landed 19:59,green,2026-04-26 12:59,51.0,2026-04-26 12:00:00,2026-04-26 12:08:00,2026-04-26 13:15:00,2026-04-26 12:59:00,12,8.0,2026-04-26 11:30:00,2026-04-26 11:11:00,6.0,30.0,49.0,57.0,1,0,62,4,56.0
26/04,QH1124,SGN,UIH,0h50m,10:15,10:21,11:30,Landed 18:11,green,2026-04-26 11:11,50.0,2026-04-26 10:15:00,2026-04-26 10:21:00,2026-04-26 11:30:00,2026-04-26 11:11:00,10,6.0,2026-04-26 09:00:00,2026-04-26 08:50:00,17.0,75.0,85.0,91.0,1,0,62,3,50.0
26/04,QH251,HAN,SGN,1h48m,06:45,07:02,09:00,Landed 15:50,green,2026-04-26 08:50,108.0,2026-04-26 06:45:00,2026-04-26 07:02:00,2026-04-26 09:00:00,2026-04-26 08:50:00,6,17.0,2026-04-26 05:35:00,2026-04-26 05:52:00,33.0,70.0,53.0,70.0,1,0,62,2,33.0
26/04,QH224,SGN,HAN,1h54m,03:25,03:58,05:35,Landed 12:52,yellow,2026-04-26 05:52,114.0,2026-04-26 03:25:00,2026-04-26 03:58:00,2026-04-26 05:35:00,2026-04-26 05:52:00,3,33.0,2026-04-25 13:15:00,,,,,,0,1,62,1,0.0
25/04,QH1125,UIH,SGN,,12:00,,13:15,,,,,2026-04-25 12:00:00,,2026-04-25 13:15:00,,12,,2026-04-25 11:30:00,2026-04-25 14:22:00,198.0,30.0,-142.0,,1,0,61,4,679.0
25/04,QH1124,SGN,UIH,0h49m,10:15,13:33,11:30,Landed 21:22,red,2026-04-25 14:22,49.0,2026-04-25 10:15:00,2026-04-25 13:33:00,2026-04-25 11:30:00,2026-04-25 14:22:00,10,198.0,2026-04-25 09:00:00,2026-04-25 12:18:00,232.0,75.0,-123.0,75.0,1,0,61,3,481.0
