DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
02/05,VJ1806,AMD,SGN,,18:20,,23:30,Estimated dep 23:50,green,2026-05-02 16:50,,2026-05-02 18:20:00,,2026-05-02 23:30:00,2026-05-02 16:50:00,18,,2026-05-02 17:20:00,2026-05-02 17:48:00,28.0,60.0,32.0,,1,0,34,5,82.0
02/05,VJ1805,SGN,AMD,5h10m,12:10,12:38,17:20,Delayed 23:18,yellow,2026-05-02 17:48,310.0,2026-05-02 12:10:00,2026-05-02 12:38:00,2026-05-02 17:20:00,2026-05-02 17:48:00,12,28.0,2026-05-02 08:30:00,2026-05-02 09:23:00,48.0,220.0,167.0,195.0,1,0,34,4,54.0
02/05,VJ1607,CXR,SGN,1h5m,07:30,08:18,08:30,Landed 16:23,red,2026-05-02 09:23,65.0,2026-05-02 07:30:00,2026-05-02 08:18:00,2026-05-02 08:30:00,2026-05-02 09:23:00,7,48.0,2026-05-02 06:35:00,2026-05-02 06:11:00,0.0,55.0,79.0,127.0,1,0,34,3,6.0
02/05,VJ919,PUS,CXR,4h31m,01:55,01:40,06:35,Landed 13:11,green,2026-05-02 06:11,271.0,2026-05-02 01:55:00,2026-05-02 01:40:00,2026-05-02 06:35:00,2026-05-02 06:11:00,1,0.0,2026-05-02 00:50:00,2026-05-02 00:36:00,6.0,65.0,79.0,64.0,1,0,34,2,6.0
01/05,VJ918,CXR,PUS,4h20m,20:10,20:16,00:50,Landed 09:36,green,2026-05-02 00:36,260.0,2026-05-01 20:10:00,2026-05-01 20:16:00,2026-05-02 00:50:00,2026-05-02 00:36:00,20,6.0,2026-05-01 15:52:00,2026-05-01 15:52:00,0.0,258.0,258.0,264.0,1,1,34,1,0.0
01/05,VJ5103,CZX,CXR,3h31m,12:21,12:21,15:52,Landed 22:52,red,2026-05-01 15:52,211.0,2026-05-01 12:21:00,2026-05-01 12:21:00,2026-05-01 15:52:00,2026-05-01 15:52:00,12,0.0,2026-05-01 10:48:00,2026-05-01 18:48:00,0.0,93.0,-387.0,-387.0,1,0,33,2,0.0
01/05,VJ5102,CXR,CZX,11h25m,07:23,07:23,10:48,Landed 18:48,red,2026-05-01 18:48,685.0,2026-05-01 07:23:00,2026-05-01 07:23:00,2026-05-01 10:48:00,2026-05-01 18:48:00,7,0.0,2026-05-01 02:41:00,2026-05-01 02:41:00,0.0,282.0,282.0,282.0,1,1,33,1,0.0
30/04,VJ835,ICN,CXR,4h37m,22:04,22:04,02:41,Landed 09:41,red,2026-05-01 02:41,277.0,2026-04-30 22:04:00,2026-04-30 22:04:00,2026-05-01 02:41:00,2026-05-01 02:41:00,22,0.0,2026-04-30 21:00:00,2026-04-30 20:52:00,12.0,64.0,72.0,72.0,1,0,32,12,161.0
30/04,VJ878,DAD,ICN,3h55m,16:45,16:57,21:00,Landed 05:52,green,2026-04-30 20:52,235.0,2026-04-30 16:45:00,2026-04-30 16:57:00,2026-04-30 21:00:00,2026-04-30 20:52:00,16,12.0,2026-04-30 13:25:00,2026-04-30 13:29:00,23.0,200.0,196.0,208.0,1,0,32,11,149.0
30/04,VJ723,HPH,DAD,0h56m,12:10,12:33,13:25,Landed 20:29,green,2026-04-30 13:29,56.0,2026-04-30 12:10:00,2026-04-30 12:33:00,2026-04-30 13:25:00,2026-04-30 13:29:00,12,23.0,2026-04-30 11:40:00,2026-04-30 11:39:00,24.0,30.0,31.0,54.0,1,0,32,10,126.0
30/04,VJ722,DAD,HPH,0h55m,10:20,10:44,11:40,Landed 18:39,green,2026-04-30 11:39,55.0,2026-04-30 10:20:00,2026-04-30 10:44:00,2026-04-30 11:40:00,2026-04-30 11:39:00,10,24.0,2026-04-30 09:50:00,2026-04-30 09:52:00,20.0,30.0,28.0,52.0,1,0,32,9,102.0
30/04,VJ704,VCA,DAD,1h12m,08:20,08:40,09:50,Landed 16:52,green,2026-04-30 09:52,72.0,2026-04-30 08:20:00,2026-04-30 08:40:00,2026-04-30 09:50:00,2026-04-30 09:52:00,8,20.0,2026-04-30 07:50:00,2026-04-30 07:49:00,15.0,30.0,31.0,51.0,1,0,32,8,82.0
30/04,VJ703,DAD,VCA,1h14m,06:20,06:35,07:50,Landed 14:49,green,2026-04-30 07:49,74.0,2026-04-30 06:20:00,2026-04-30 06:35:00,2026-04-30 07:50:00,2026-04-30 07:49:00,6,15.0,2026-04-30 02:40:00,2026-04-30 02:47:00,0.0,220.0,213.0,228.0,1,0,32,7,67.0
29/04,VJ879,ICN,DAD,4h48m,22:00,21:59,02:40,Landed 09:47,green,2026-04-30 02:47,288.0,2026-04-29 22:00:00,2026-04-29 21:59:00,2026-04-30 02:40:00,2026-04-30 02:47:00,22,0.0,2026-04-29 21:00:00,2026-04-29 20:47:00,17.0,60.0,73.0,72.0,1,0,32,6,67.0
29/04,VJ878,DAD,ICN,3h45m,16:45,17:02,21:00,Landed 05:47,green,2026-04-29 20:47,225.0,2026-04-29 16:45:00,2026-04-29 17:02:00,2026-04-29 21:00:00,2026-04-29 20:47:00,16,17.0,2026-04-29 13:26:00,2026-04-29 13:26:00,0.0,199.0,199.0,216.0,1,0,32,5,50.0
29/04,VJ8511,RMQ,DAD,2h24m,11:02,11:02,13:26,Landed 20:26,red,2026-04-29 13:26,144.0,2026-04-29 11:02:00,2026-04-29 11:02:00,2026-04-29 13:26:00,2026-04-29 13:26:00,11,0.0,2026-04-29 09:49:00,2026-04-29 09:49:00,0.0,73.0,73.0,73.0,1,0,32,4,50.0
29/04,VJ8510,DAD,RMQ,2h7m,07:42,07:42,09:49,Landed 17:49,red,2026-04-29 09:49,127.0,2026-04-29 07:42:00,2026-04-29 07:42:00,2026-04-29 09:49:00,2026-04-29 09:49:00,7,0.0,2026-04-29 06:10:00,2026-04-29 06:12:00,30.0,92.0,90.0,90.0,1,0,32,3,50.0
29/04,VJ970,SIN,DAD,2h27m,03:15,03:45,06:10,Landed 13:12,green,2026-04-29 06:12,147.0,2026-04-29 03:15:00,2026-04-29 03:45:00,2026-04-29 06:10:00,2026-04-29 06:12:00,3,30.0,2026-04-29 02:15:00,2026-04-29 02:10:00,20.0,60.0,65.0,95.0,1,0,32,2,20.0
29/04,VJ813,SGN,SIN,1h40m,00:10,00:30,02:15,Landed 10:10,green,2026-04-29 02:10,100.0,2026-04-29 00:10:00,2026-04-29 00:30:00,2026-04-29 02:15:00,2026-04-29 02:10:00,0,20.0,2026-04-26 14:25:00,2026-04-26 14:26:00,15.0,3465.0,3464.0,3484.0,1,1,32,1,0.0
