DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
02/05,VN146,SGN,DAD,1h2m,12:35,12:56,14:00,Landed 20:58,green,2026-05-02 13:58,62.0,2026-05-02 12:35:00,2026-05-02 12:56:00,2026-05-02 14:00:00,2026-05-02 13:58:00,12,21.0,2026-05-02 11:40:00,2026-05-02 11:42:00,4.0,55.0,53.0,74.0,1,0,57,5,21.0
02/05,VN640,DPS,SGN,3h38m,08:00,08:04,11:40,Landed 18:42,green,2026-05-02 11:42,218.0,2026-05-02 08:00:00,2026-05-02 08:04:00,2026-05-02 11:40:00,2026-05-02 11:42:00,8,4.0,2026-05-02 07:00:00,2026-05-02 06:45:00,15.0,60.0,75.0,79.0,1,0,57,4,17.0
02/05,VN641,SGN,DPS,3h20m,03:10,03:25,07:00,Landed 14:45,green,2026-05-02 06:45,200.0,2026-05-02 03:10:00,2026-05-02 03:25:00,2026-05-02 07:00:00,2026-05-02 06:45:00,3,15.0,2026-05-02 02:20:00,2026-05-02 01:46:00,0.0,50.0,84.0,99.0,1,0,57,3,2.0
02/05,VN1367,HUI,SGN,0h59m,00:50,00:47,02:20,Landed 08:46,green,2026-05-02 01:46,59.0,2026-05-02 00:50:00,2026-05-02 00:47:00,2026-05-02 02:20:00,2026-05-02 01:46:00,0,0.0,2026-05-02 00:15:00,2026-05-01 23:47:00,2.0,35.0,63.0,60.0,1,0,57,2,2.0
01/05,VN1366,SGN,HUI,1h0m,22:45,22:47,00:15,Estimated 06:47,,2026-05-01 23:47,60.0,2026-05-01 22:45:00,2026-05-01 22:47:00,2026-05-02 00:15:00,2026-05-01 23:47:00,22,2.0,2026-05-01 09:55:00,2026-05-01 09:36:00,17.0,770.0,789.0,791.0,1,1,57,1,0.0
01/05,VN133,DAD,SGN,0h59m,08:20,08:37,09:55,Landed 16:36,green,2026-05-01 09:36,59.0,2026-05-01 08:20:00,2026-05-01 08:37:00,2026-05-01 09:55:00,2026-05-01 09:36:00,8,17.0,2026-05-01 05:25:00,2026-05-01 05:48:00,19.0,175.0,152.0,169.0,1,0,56,8,126.0
01/05,VN337,KIX,DAD,4h59m,00:30,00:49,05:25,Landed 12:48,yellow,2026-05-01 05:48,299.0,2026-05-01 00:30:00,2026-05-01 00:49:00,2026-05-01 05:25:00,2026-05-01 05:48:00,0,19.0,2026-04-30 22:55:00,2026-04-30 22:56:00,32.0,95.0,94.0,113.0,1,0,56,7,107.0
30/04,VN336,DAD,KIX,4h14m,18:10,18:42,22:55,Landed 07:56,green,2026-04-30 22:56,254.0,2026-04-30 18:10:00,2026-04-30 18:42:00,2026-04-30 22:55:00,2026-04-30 22:56:00,18,32.0,2026-04-30 14:50:00,2026-04-30 14:42:00,16.0,200.0,208.0,240.0,1,0,56,6,75.0
30/04,VN199,HAN,DAD,1h1m,13:25,13:41,14:50,Landed 21:42,green,2026-04-30 14:42,61.0,2026-04-30 13:25:00,2026-04-30 13:41:00,2026-04-30 14:50:00,2026-04-30 14:42:00,13,16.0,2026-04-30 12:50:00,2026-04-30 12:40:00,10.0,35.0,45.0,61.0,1,0,56,5,59.0
30/04,VN1544,HUI,HAN,1h0m,11:30,11:40,12:50,Landed 19:40,green,2026-04-30 12:40,60.0,2026-04-30 11:30:00,2026-04-30 11:40:00,2026-04-30 12:50:00,2026-04-30 12:40:00,11,10.0,2026-04-30 10:55:00,2026-04-30 10:46:00,20.0,35.0,44.0,54.0,1,0,56,4,49.0
30/04,VN1545,HAN,HUI,0h51m,09:35,09:55,10:55,Landed 17:46,green,2026-04-30 10:46,51.0,2026-04-30 09:35:00,2026-04-30 09:55:00,2026-04-30 10:55:00,2026-04-30 10:46:00,9,20.0,2026-04-30 08:35:00,2026-04-30 08:21:00,17.0,60.0,74.0,94.0,1,0,56,3,29.0
30/04,VN660,SIN,HAN,2h59m,05:05,05:22,08:35,Landed 15:21,green,2026-04-30 08:21,179.0,2026-04-30 05:05:00,2026-04-30 05:22:00,2026-04-30 08:35:00,2026-04-30 08:21:00,5,17.0,2026-04-30 03:55:00,2026-04-30 03:48:00,12.0,70.0,77.0,94.0,1,0,56,2,12.0
30/04,VN661,HAN,SIN,3h6m,00:30,00:42,03:55,Landed 11:48,green,2026-04-30 03:48,186.0,2026-04-30 00:30:00,2026-04-30 00:42:00,2026-04-30 03:55:00,2026-04-30 03:48:00,0,12.0,2026-04-29 15:55:00,2026-04-29 16:48:00,73.0,515.0,462.0,474.0,1,1,56,1,0.0
29/04,VN7192,DAD,HAN,1h5m,14:30,15:43,15:55,Landed 23:48,red,2026-04-29 16:48,65.0,2026-04-29 14:30:00,2026-04-29 15:43:00,2026-04-29 15:55:00,2026-04-29 16:48:00,14,73.0,2026-04-29 14:50:00,2026-04-29 14:52:00,25.0,-20.0,-22.0,51.0,1,1,55,1,0.0
29/04,VN199,HAN,DAD,1h2m,13:25,13:50,14:50,Landed 21:52,green,2026-04-29 14:52,62.0,2026-04-29 13:25:00,2026-04-29 13:50:00,2026-04-29 14:50:00,2026-04-29 14:52:00,13,25.0,2026-04-29 12:10:00,2026-04-29 12:20:00,100.0,75.0,65.0,90.0,1,0,54,2,100.0
29/04,VN1558,CXR,HAN,1h40m,09:00,10:40,12:10,Landed 19:20,green,2026-04-29 12:20,100.0,2026-04-29 09:00:00,2026-04-29 10:40:00,2026-04-29 12:10:00,2026-04-29 12:20:00,9,100.0,2026-04-29 09:35:00,2026-04-29 09:45:00,87.0,-35.0,-45.0,55.0,1,1,54,1,0.0
29/04,VN1559,HAN,CXR,1h53m,06:25,07:52,09:35,Landed 16:45,green,2026-04-29 09:45,113.0,2026-04-29 06:25:00,2026-04-29 07:52:00,2026-04-29 09:35:00,2026-04-29 09:45:00,6,87.0,2026-04-29 06:55:00,2026-04-29 06:40:00,14.0,-30.0,-15.0,72.0,1,1,53,1,0.0
29/04,VN610,BKK,HAN,1h31m,04:55,05:09,06:55,Landed 13:40,green,2026-04-29 06:40,91.0,2026-04-29 04:55:00,2026-04-29 05:09:00,2026-04-29 06:55:00,2026-04-29 06:40:00,4,14.0,2026-04-29 03:50:00,2026-04-29 03:32:00,8.0,65.0,83.0,97.0,1,0,52,2,8.0
29/04,VN611,HAN,BKK,1h34m,01:50,01:58,03:50,Landed 10:32,green,2026-04-29 03:32,94.0,2026-04-29 01:50:00,2026-04-29 01:58:00,2026-04-29 03:50:00,2026-04-29 03:32:00,1,8.0,2026-04-28 15:20:00,2026-04-28 15:02:00,6.0,630.0,648.0,656.0,1,1,52,1,0.0
28/04,VN680,KUL,HAN,2h56m,12:00,12:06,15:20,Landed 22:02,green,2026-04-28 15:02,176.0,2026-04-28 12:00:00,2026-04-28 12:06:00,2026-04-28 15:20:00,2026-04-28 15:02:00,12,6.0,2026-04-28 11:00:00,2026-04-28 10:40:00,5.0,60.0,80.0,86.0,1,0,51,4,37.0
28/04,VN681,HAN,KUL,2h50m,07:45,07:50,11:00,Landed 18:40,green,2026-04-28 10:40,170.0,2026-04-28 07:45:00,2026-04-28 07:50:00,2026-04-28 11:00:00,2026-04-28 10:40:00,7,5.0,2026-04-28 06:55:00,2026-04-28 06:41:00,12.0,50.0,64.0,69.0,1,0,51,3,32.0
28/04,VN610,BKK,HAN,1h34m,04:55,05:07,06:55,Landed 13:41,green,2026-04-28 06:41,94.0,2026-04-28 04:55:00,2026-04-28 05:07:00,2026-04-28 06:55:00,2026-04-28 06:41:00,4,12.0,2026-04-28 03:50:00,2026-04-28 03:46:00,20.0,65.0,69.0,81.0,1,0,51,2,20.0
28/04,VN611,HAN,BKK,1h36m,01:50,02:10,03:50,Landed 10:46,green,2026-04-28 03:46,96.0,2026-04-28 01:50:00,2026-04-28 02:10:00,2026-04-28 03:50:00,2026-04-28 03:46:00,1,20.0,2026-04-27 15:35:00,2026-04-27 16:44:00,90.0,615.0,546.0,566.0,1,1,51,1,0.0
27/04,VN7058,DAD,HAN,1h4m,14:10,15:40,15:35,Landed 23:44,red,2026-04-27 16:44,64.0,2026-04-27 14:10:00,2026-04-27 15:40:00,2026-04-27 15:35:00,2026-04-27 16:44:00,14,90.0,2026-04-27 13:35:00,2026-04-27 14:46:00,94.0,35.0,-36.0,54.0,1,0,50,2,94.0
27/04,VN7057,HAN,DAD,1h2m,12:10,13:44,13:35,Landed 21:46,red,2026-04-27 14:46,62.0,2026-04-27 12:10:00,2026-04-27 13:44:00,2026-04-27 13:35:00,2026-04-27 14:46:00,12,94.0,2026-04-27 12:50:00,2026-04-27 12:33:00,0.0,-40.0,-23.0,71.0,1,1,50,1,0.0
27/04,VN836,SAI,HAN,1h34m,11:05,10:59,12:50,Landed 19:33,green,2026-04-27 12:33,94.0,2026-04-27 11:05:00,2026-04-27 10:59:00,2026-04-27 12:50:00,2026-04-27 12:33:00,11,0.0,2026-04-27 10:10:00,2026-04-27 10:00:00,9.0,55.0,65.0,59.0,1,0,49,6,49.0
27/04,VN837,HAN,SAI,1h21m,08:30,08:39,10:10,Landed 17:00,green,2026-04-27 10:00,81.0,2026-04-27 08:30:00,2026-04-27 08:39:00,2026-04-27 10:10:00,2026-04-27 10:00:00,8,9.0,2026-04-27 07:30:00,2026-04-27 07:15:00,10.0,60.0,75.0,84.0,1,0,49,5,40.0
27/04,VN1552,CXR,HAN,1h35m,05:30,05:40,07:30,Landed 14:15,green,2026-04-27 07:15,95.0,2026-04-27 05:30:00,2026-04-27 05:40:00,2026-04-27 07:30:00,2026-04-27 07:15:00,5,10.0,2026-04-27 04:55:00,2026-04-27 04:37:00,10.0,35.0,53.0,63.0,1,0,49,4,30.0
27/04,VN1553,HAN,CXR,1h32m,02:55,03:05,04:55,Landed 11:37,green,2026-04-27 04:37,92.0,2026-04-27 02:55:00,2026-04-27 03:05:00,2026-04-27 04:55:00,2026-04-27 04:37:00,2,10.0,2026-04-27 02:15:00,2026-04-27 01:55:00,2.0,40.0,60.0,70.0,1,0,49,3,20.0
27/04,VN158,DAD,HAN,1h3m,00:50,00:52,02:15,Landed 08:55,green,2026-04-27 01:55,63.0,2026-04-27 00:50:00,2026-04-27 00:52:00,2026-04-27 02:15:00,2026-04-27 01:55:00,0,2.0,2026-04-27 00:15:00,2026-04-27 00:06:00,18.0,35.0,44.0,46.0,1,0,49,2,18.0
26/04,VN157,HAN,DAD,0h58m,22:50,23:08,00:15,Landed 07:06,green,2026-04-27 00:06,58.0,2026-04-26 22:50:00,2026-04-26 23:08:00,2026-04-27 00:15:00,2026-04-27 00:06:00,22,18.0,2026-04-26 10:10:00,2026-04-26 10:00:00,7.0,760.0,770.0,788.0,1,1,49,1,0.0
26/04,VN176,DAD,HAN,1h8m,08:45,08:52,10:10,Landed 17:00,green,2026-04-26 10:00,68.0,2026-04-26 08:45:00,2026-04-26 08:52:00,2026-04-26 10:10:00,2026-04-26 10:00:00,8,7.0,2026-04-26 08:10:00,2026-04-26 07:55:00,13.0,35.0,50.0,57.0,1,0,48,4,30.0
