DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
03/05,VJ92,PER,SGN,,02:35,,09:10,Estimated dep 10:35,green,2026-05-03 03:35,,2026-05-03 02:35:00,,2026-05-03 09:10:00,2026-05-03 03:35:00,2,,2026-05-03 00:55:00,2026-05-01 17:15:00,,100.0,2000.0,,1,0,29,6,33.0
02/05,VJ91,SGN,PER,,18:00,,00:55,Estimated dep 01:15,green,2026-05-01 17:15,,2026-05-02 18:00:00,,2026-05-03 00:55:00,2026-05-01 17:15:00,18,,2026-05-02 14:20:00,2026-05-02 14:02:00,0.0,220.0,238.0,,1,0,29,5,33.0
02/05,VJ311,HUI,SGN,1h11m,12:55,12:51,14:20,Landed 21:02,green,2026-05-02 14:02,71.0,2026-05-02 12:55:00,2026-05-02 12:51:00,2026-05-02 14:20:00,2026-05-02 14:02:00,12,0.0,2026-05-02 12:25:00,2026-05-02 12:15:00,5.0,30.0,40.0,36.0,1,0,29,4,33.0
02/05,VJ312,SGN,HUI,1h10m,11:00,11:05,12:25,Landed 19:15,green,2026-05-02 12:15,70.0,2026-05-02 11:00:00,2026-05-02 11:05:00,2026-05-02 12:25:00,2026-05-02 12:15:00,11,5.0,2026-05-02 09:10:00,2026-05-02 09:08:00,0.0,110.0,112.0,117.0,1,0,29,3,28.0
02/05,VJ92,PER,SGN,6h34m,02:35,02:34,09:10,Landed 16:08,green,2026-05-02 09:08,394.0,2026-05-02 02:35:00,2026-05-02 02:34:00,2026-05-02 09:10:00,2026-05-02 09:08:00,2,0.0,2026-05-02 00:55:00,2026-05-02 00:40:00,28.0,100.0,115.0,114.0,1,0,29,2,28.0
01/05,VJ91,SGN,PER,6h12m,18:00,18:28,00:55,Landed 08:40,green,2026-05-02 00:40,372.0,2026-05-01 18:00:00,2026-05-01 18:28:00,2026-05-02 00:55:00,2026-05-02 00:40:00,18,28.0,2026-05-01 06:00:00,2026-05-01 06:37:00,40.0,720.0,683.0,711.0,1,1,29,1,0.0
01/05,VJ829,KIX,SGN,5h27m,00:30,01:10,06:00,Landed 13:37,yellow,2026-05-01 06:37,327.0,2026-05-01 00:30:00,2026-05-01 01:10:00,2026-05-01 06:00:00,2026-05-01 06:37:00,0,40.0,2026-04-30 23:30:00,2026-04-30 23:03:00,8.0,60.0,87.0,127.0,1,0,28,2,8.0
30/04,VJ828,SGN,KIX,4h55m,18:00,18:08,23:30,Landed 08:03,green,2026-04-30 23:03,295.0,2026-04-30 18:00:00,2026-04-30 18:08:00,2026-04-30 23:30:00,2026-04-30 23:03:00,18,8.0,2026-04-30 11:25:00,2026-04-30 12:57:00,114.0,395.0,303.0,311.0,1,1,28,1,0.0
30/04,VJ279,HPH,SGN,1h38m,09:25,11:19,11:25,Landed 19:57,red,2026-04-30 12:57,98.0,2026-04-30 09:25:00,2026-04-30 11:19:00,2026-04-30 11:25:00,2026-04-30 12:57:00,9,114.0,2026-04-30 08:55:00,2026-04-30 10:10:00,91.0,30.0,-45.0,69.0,1,0,27,4,119.0
30/04,VJ278,SGN,HPH,1h44m,06:55,08:26,08:55,Landed 17:10,red,2026-04-30 10:10,104.0,2026-04-30 06:55:00,2026-04-30 08:26:00,2026-04-30 08:55:00,2026-04-30 10:10:00,6,91.0,2026-04-30 05:55:00,2026-04-29 06:49:00,0.0,60.0,1446.0,1537.0,1,0,27,3,28.0
