DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
01/05,VJ1527,HAN,DAD,1h0m,14:25,14:54,15:45,Landed 22:54,green,2026-05-01 15:54,60,2026-05-01 14:25:00,2026-05-01 14:54:00,2026-05-01 15:45:00,2026-05-01 15:54:00,14,29.0,2026-05-01 13:25:00,2026-05-01 13:29:00,6.0,60.0,56.0,85.0,1,0,33,5,48.0
01/05,VJ904,BKK,HAN,1h38m,11:45,11:51,13:25,Landed 20:29,green,2026-05-01 13:29,98,2026-05-01 11:45:00,2026-05-01 11:51:00,2026-05-01 13:25:00,2026-05-01 13:29:00,11,6.0,2026-05-01 10:45:00,2026-05-01 10:38:00,9.0,60.0,67.0,73.0,1,0,33,4,42.0
01/05,VJ903,HAN,BKK,1h44m,08:45,08:54,10:45,Landed 17:38,green,2026-05-01 10:38,104,2026-05-01 08:45:00,2026-05-01 08:54:00,2026-05-01 10:45:00,2026-05-01 10:38:00,8,9.0,2026-05-01 07:40:00,2026-05-01 07:43:00,14.0,65.0,62.0,71.0,1,0,33,3,33.0
01/05,VJ906,KUL,HAN,2h59m,04:30,04:44,07:40,Landed 14:43,green,2026-05-01 07:43,179,2026-05-01 04:30:00,2026-05-01 04:44:00,2026-05-01 07:40:00,2026-05-01 07:43:00,4,14.0,2026-05-01 03:30:00,2026-05-01 03:43:00,19.0,60.0,47.0,61.0,1,0,33,2,19.0
01/05,VJ905,HAN,KUL,2h59m,00:25,00:44,03:30,Landed 11:43,green,2026-05-01 03:43,179,2026-05-01 00:25:00,2026-05-01 00:44:00,2026-05-01 03:30:00,2026-05-01 03:43:00,0,19.0,2026-04-30 09:15:00,2026-04-30 09:33:00,36.0,910.0,892.0,911.0,1,1,33,1,0.0
30/04,VJ530,DAD,HAN,1h2m,07:55,08:31,09:15,Landed 16:33,yellow,2026-04-30 09:33,62,2026-04-30 07:55:00,2026-04-30 08:31:00,2026-04-30 09:15:00,2026-04-30 09:33:00,7,36.0,2026-04-30 07:25:00,2026-04-30 07:36:00,29.0,30.0,19.0,55.0,1,0,32,5,78.0
30/04,VJ509,HAN,DAD,1h2m,06:05,06:34,07:25,Landed 14:36,green,2026-04-30 07:36,62,2026-04-30 06:05:00,2026-04-30 06:34:00,2026-04-30 07:25:00,2026-04-30 07:36:00,6,29.0,2026-04-30 05:35:00,2026-04-30 05:32:00,16.0,30.0,33.0,62.0,1,0,32,4,49.0
30/04,VJ1432,UIH,HAN,1h21m,03:55,04:11,05:35,Landed 12:32,green,2026-04-30 05:32,81,2026-04-30 03:55:00,2026-04-30 04:11:00,2026-04-30 05:35:00,2026-04-30 05:32:00,3,16.0,2026-04-30 03:25:00,2026-04-30 03:35:00,26.0,30.0,20.0,36.0,1,0,32,3,33.0
30/04,VJ1435,HAN,UIH,1h19m,01:50,02:16,03:25,Landed 10:35,green,2026-04-30 03:35,79,2026-04-30 01:50:00,2026-04-30 02:16:00,2026-04-30 03:25:00,2026-04-30 03:35:00,1,26.0,2026-04-30 01:20:00,2026-04-30 01:12:00,7.0,30.0,38.0,64.0,1,0,32,2,7.0
30/04,VJ1508,DAD,HAN,1h5m,00:00,00:07,01:20,Landed 08:12,green,2026-04-30 01:12,65,2026-04-30 00:00:00,2026-04-30 00:07:00,2026-04-30 01:20:00,2026-04-30 01:12:00,0,7.0,2026-04-29 14:30:00,2026-04-29 14:21:00,13.0,570.0,579.0,586.0,1,1,32,1,0.0
29/04,VJ716,PQC,DAD,1h23m,12:45,12:58,14:30,Landed 21:21,green,2026-04-29 14:21,83,2026-04-29 12:45:00,2026-04-29 12:58:00,2026-04-29 14:30:00,2026-04-29 14:21:00,12,13.0,2026-04-29 12:10:00,2026-04-29 11:59:00,9.0,35.0,46.0,59.0,1,0,31,6,27.0
29/04,VJ717,DAD,PQC,1h25m,10:25,10:34,12:10,Landed 18:59,green,2026-04-29 11:59,85,2026-04-29 10:25:00,2026-04-29 10:34:00,2026-04-29 12:10:00,2026-04-29 11:59:00,10,9.0,2026-04-29 09:10:00,2026-04-29 08:54:00,6.0,75.0,91.0,100.0,1,0,31,5,18.0
29/04,VJ824,KUL,DAD,2h18m,06:30,06:36,09:10,Landed 15:54,green,2026-04-29 08:54,138,2026-04-29 06:30:00,2026-04-29 06:36:00,2026-04-29 09:10:00,2026-04-29 08:54:00,6,6.0,2026-04-29 05:30:00,2026-04-29 05:31:00,11.0,60.0,59.0,65.0,1,0,31,4,12.0
