time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:02:37,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-03T03:02:37Z
2026-05-02 20:09:43,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-03T01:09:43Z
2026-05-02 20:01:50,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-03T01:01:50Z
2026-05-02 18:02:59,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-02T23:02:59Z
2026-05-02 16:16:48,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-02T21:16:48Z
2026-05-02 14:01:46,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-02T19:01:46Z
2026-05-02 12:01:33,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-02T17:01:33Z
2026-05-02 10:10:58,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-02T15:10:58Z
2026-05-02 08:02:03,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-02T13:02:03Z
2026-05-02 06:03:57,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-02T11:03:57Z
2026-05-01 22:06:59,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-02T03:06:59Z
2026-05-01 20:12:28,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,2026-05-02T01:12:28Z
2026-05-01 17:46:25,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T22:46:25Z
2026-05-01 16:03:17,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T21:03:17Z
2026-05-01 14:07:04,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T19:07:04Z
2026-05-01 12:06:35,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-01T17:06:35Z
2026-05-01 10:02:11,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,2026-05-01T15:02:11Z
2026-05-01 08:04:11,PWK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2026-05-01T13:04:11Z
