time_crawled,airport_code,dep_recent_index,dep_recent_delay_avg,dep_recent_delayed_qty,dep_today_delayed_pct,dep_today_delayed_qty,dep_today_total_qty,dep_yesterday_delayed_pct,dep_trend,arr_recent_index,arr_recent_delay_avg,arr_recent_delayed_qty,arr_today_delayed_pct,arr_today_delayed_qty,arr_today_total_qty,arr_yesterday_delayed_pct,arr_trend,total_flights_today,ground_speed_avg,time_crawled_UTC
2026-05-02 22:06:59,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-02T21:06:59Z
2026-05-02 20:13:55,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T19:13:55Z
2026-05-02 20:06:11,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-02T19:06:11Z
2026-05-02 18:06:47,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T17:06:47Z
2026-05-02 16:21:05,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-05-02T15:21:05Z
2026-05-02 14:05:58,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-02T13:05:58Z
2026-05-02 12:06:00,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-05-02T11:06:00Z
2026-05-02 10:15:31,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T09:15:31Z
2026-05-02 08:06:38,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-02T07:06:38Z
2026-05-02 06:08:14,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-05-02T05:08:14Z
2026-05-01 22:11:28,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T21:11:28Z
2026-05-01 20:16:36,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T19:16:36Z
2026-05-01 17:51:22,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T16:51:22Z
2026-05-01 16:07:34,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2026-05-01T15:07:34Z
2026-05-01 14:11:21,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-05-01T13:11:21Z
2026-05-01 12:11:08,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T11:11:08Z
2026-05-01 10:06:40,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-01T09:06:40Z
2026-05-01 08:08:47,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-05-01T07:08:47Z
2026-05-01 06:08:04,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-05-01T05:08:04Z
2026-04-30 22:24:12,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-04-30T21:24:12Z
2026-04-30 20:15:31,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2026-04-30T19:15:31Z
2026-04-30 18:24:46,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-04-30T17:24:46Z
2026-04-30 16:11:30,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2026-04-30T15:11:30Z
2026-04-30 14:15:14,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-04-30T13:15:14Z
2026-04-30 12:06:23,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T11:06:23Z
2026-04-30 10:06:02,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-30T09:06:02Z
2026-04-30 06:08:11,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-30T05:08:11Z
2026-04-29 22:05:56,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T21:05:56Z
2026-04-29 20:06:40,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T19:06:40Z
2026-04-29 18:05:33,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-29T17:05:33Z
2026-04-29 16:20:47,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-29T15:20:47Z
2026-04-29 14:07:03,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-29T13:07:03Z
2026-04-29 12:05:10,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-29T11:05:10Z
2026-04-29 10:06:50,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-29T09:06:50Z
2026-04-29 08:08:42,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-29T07:08:42Z
2026-04-29 06:09:26,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-29T05:09:26Z
2026-04-28 23:18:01,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T22:18:01Z
2026-04-28 20:05:25,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T19:05:25Z
2026-04-28 18:22:39,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T17:22:39Z
2026-04-28 16:23:35,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T15:23:35Z
2026-04-28 14:09:42,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T13:09:42Z
2026-04-28 12:05:26,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T11:05:26Z
2026-04-28 10:12:08,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-28T09:12:08Z
2026-04-28 08:06:33,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-28T07:06:33Z
2026-04-28 06:12:17,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-28T05:12:17Z
2026-04-27 22:07:57,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T21:07:57Z
2026-04-27 18:07:27,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T17:07:27Z
2026-04-27 16:11:42,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-27T15:11:42Z
2026-04-27 14:05:02,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T13:05:02Z
2026-04-27 12:12:19,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T11:12:19Z
2026-04-27 10:05:27,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T09:05:27Z
2026-04-27 08:06:26,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T07:06:26Z
2026-04-27 06:10:43,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-27T05:10:43Z
2026-04-26 22:37:58,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-26T21:37:58Z
2026-04-26 20:28:59,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-26T19:28:59Z
2026-04-26 18:25:17,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T17:25:17Z
2026-04-26 16:05:29,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-26T15:05:29Z
2026-04-26 14:08:45,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T13:08:45Z
2026-04-26 12:05:04,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T11:05:04Z
2026-04-26 10:18:14,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-26T09:18:14Z
2026-04-26 08:11:46,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-26T07:11:46Z
2026-04-26 06:12:08,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-26T05:12:08Z
2026-04-25 23:00:27,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-04-25T22:00:27Z
2026-04-25 20:05:35,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-25T19:05:35Z
2026-04-25 18:09:32,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T17:09:32Z
2026-04-25 16:07:46,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T15:07:46Z
2026-04-25 14:06:06,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T13:06:06Z
2026-04-25 12:05:48,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T11:05:48Z
2026-04-25 10:14:16,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T09:14:16Z
2026-04-25 08:10:31,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-25T07:10:31Z
2026-04-25 06:07:16,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-25T05:07:16Z
2026-04-24 22:06:23,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-04-24T21:06:23Z
2026-04-24 20:09:58,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2026-04-24T19:09:58Z
2026-04-24 18:06:14,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-24T17:06:14Z
2026-04-24 16:24:59,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-24T15:24:59Z
2026-04-24 14:12:24,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-24T13:12:24Z
2026-04-24 12:35:39,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2026-04-24T11:35:39Z
2026-04-24 10:09:20,PEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-04-24T09:09:20Z
