FROM,TO,MEDIAN_FLIGHT_TIME_MIN,COUNT,MIN,MAX
KMG,CXR,131,2,127,136
KMQ,HAN,304,1,304,304
KNH,CXR,161,1,161,161
KTI,HAN,97,9,92,99
KTI,VTE,79,1,79,79
KUL,DAD,138,21,125,150
KUL,HAN,168,33,157,187
KUL,SGN,96,57,85,106
KWL,SGN,154,2,151,157
KZN,CXR,546,4,534,558
LHR,HAN,659,17,635,680
LHR,SGN,704,13,670,718
LJG,HAN,84,20,73,94
LJG,SGN,173,1,173,173
LPQ,SAI,86,1,86,86
MEL,HAN,545,9,530,563
MEL,SGN,487,66,462,536
MFM,CXR,106,8,102,116
MFM,DAD,90,84,81,119
MFM,HPH,96,17,90,110
MNL,DAD,124,17,117,129
MNL,HAN,169,23,160,182
MNL,SGN,130,38,121,139
MUC,HAN,596,2,591,602
MUC,SGN,638,3,609,639
MXP,HAN,604,7,595,612
NGB,CXR,204,2,199,209
NGO,HAN,306,50,263,327
NGO,SGN,334,16,310,360
NKG,CXR,208,2,208,209
NOZ,HAN,326,2,316,336
NQZ,CXR,445,13,427,457
NQZ,DAD,414,3,412,434
NQZ,PQC,465,16,446,491
NRT,DAD,336,17,318,356
NRT,HAN,342,83,313,375
NRT,SGN,375,51,358,423
OVB,CXR,421,3,418,434
PEK,HAN,214,11,205,219
PER,SGN,385,36,355,402
PKX,HAN,206,22,188,216
PKX,SGN,277,35,257,294
PQC,DAD,81,43,73,101
PQC,HAN,108,158,98,147
PQC,HKG,148,13,135,160
PQC,HPH,105,9,100,114
PQC,ICN,296,30,273,317
PQC,NQZ,484,16,459,514
PQC,PUS,283,15,275,299
PQC,SGN,44,247,36,68
PQC,SIN,94,23,89,111
PQC,TPE,200,4,196,210
PUS,CXR,273,45,254,327
PUS,DAD,265,10,259,273
PUS,HAN,261,42,228,279
PUS,PQC,320,15,309,337
PUS,SGN,285,38,266,343
PVG,CXR,217,1,217,217
PVG,HAN,187,49,170,208
PVG,SGN,227,46,215,257
PXU,HAN,77,59,71,89
PXU,SGN,48,36,39,64
RMQ,DAD,138,13,134,150
RMQ,HAN,161,22,155,178
RMQ,SGN,183,22,172,211
SAI,HAN,87,62,78,107
SAI,LPQ,89,15,80,93
SAI,SGN,51,29,44,56
SFO,SGN,937,5,906,971
SGN,AMD,311,28,297,324
SGN,BKK,73,147,64,89
SGN,BLR,279,15,256,307
SGN,BMV,32,55,27,42
SGN,BNE,473,23,454,490
SGN,BOM,292,28,274,308
SGN,CAN,150,33,141,159
SGN,CDG,771,9,746,794
SGN,CGK,158,42,144,178
SGN,CPH,742,14,713,765
SGN,CXR,42,116,36,54
SGN,DAD,59,559,52,81
SGN,DEL,290,36,275,353
SGN,DIN,114,1,114,114
SGN,DPS,199,69,185,217
SGN,ENH,198,4,189,204
SGN,FRA,738,21,705,771
SGN,FUK,269,6,265,277
SGN,HAN,105,1163,94,165
SGN,HKG,133,55,116,149
SGN,HKT,94,26,88,101
SGN,HND,315,54,284,334
SGN,HPH,100,166,89,147
SGN,HUI,63,199,56,80
SGN,HYD,256,14,250,274
SGN,ICN,283,82,251,303
SGN,KHH,157,57,143,179
SGN,KIX,277,59,257,301
SGN,KMQ,332,1,332,332
SGN,KTI,26,24,22,30
SGN,KUL,96,56,90,105
SGN,KWL,157,3,146,158
SGN,LHR,793,12,759,818
SGN,LJG,184,1,184,184
SGN,MEL,478,66,454,508
SGN,MNL,132,38,120,143
SGN,MUC,725,3,692,732
SGN,NGO,295,16,269,369
SGN,NRT,319,51,288,380
SGN,PER,366,36,331,389
SGN,PKX,275,36,249,290
SGN,PQC,36,251,29,67
SGN,PUS,250,38,236,285
SGN,PVG,214,46,195,229
SGN,PXU,44,36,40,75
SGN,RMQ,172,22,158,186
SGN,SAI,41,29,38,54
SGN,SFO,803,5,768,819
SGN,SIN,98,93,90,128
SGN,SYD,494,59,468,562
SGN,TBB,47,34,41,58
SGN,THD,94,170,87,109
SGN,TPE,178,44,164,203
SGN,TTT,173,1,173,173
SGN,TXN,211,1,211,211
SGN,UBN,341,1,341,341
SGN,UIH,47,181,40,61
SGN,VCL,57,109,49,78
SGN,VDH,74,55,68,85
SGN,VDO,95,2,95,96
SGN,VII,87,131,79,100
SGN,VTE,103,31,97,110
SIN,DAD,142,20,130,153
SIN,HAN,175,51,163,198
SIN,PQC,87,21,83,96
SIN,SGN,99,99,92,123
SJW,CXR,242,1,242,242
SYD,HAN,566,10,541,579
SYD,SGN,501,59,473,544
SYX,HAN,78,2,77,79
TAE,CXR,284,3,279,292
TAK,HAN,288,2,283,294
TBB,HAN,91,18,84,98
TBB,SGN,44,34,36,57
THD,SGN,101,172,90,134
TPE,CXR,169,4,159,212
TPE,DAD,153,6,145,163
TPE,HAN,168,48,159,196
TPE,PQC,214,4,207,218
TPE,SGN,191,45,179,238
TSN,CXR,259,1,259,259
TSN,HAN,213,4,208,229
TTT,HAN,169,1,169,169
TXN,HAN,180,1,180,180
TXN,SGN,226,1,226,226
UBN,HAN,340,1,340,340
UBN,SGN,350,1,350,350
UIH,HAN,82,137,74,104
UIH,SGN,48,177,42,72
VCA,DAD,67,35,61,77
VCA,HAN,114,101,106,141
VCA,HPH,106,12,100,114
VCA,VII,95,16,92,99
VCL,HAN,71,5,65,73
VCL,SGN,58,110,51,71
VDH,HAN,49,20,42,62
VDH,SGN,81,56,68,108
VDO,SGN,114,2,108,121
VII,BMV,68,11,64,72
VII,DAD,48,1,48,48
VII,HAN,39,44,34,62
VII,SGN,89,129,81,105
VII,VCA,97,13,91,105
VTE,HAN,58,5,52,61
VTE,SGN,104,30,95,122
VVO,HAN,334,5,320,350
