DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
27/04,VJ377,VCL,SGN,1h5m,13:15,13:10,14:35,Landed 21:15,green,2026-04-27 14:15,65.0
27/04,VJ376,SGN,VCL,1h2m,11:25,11:35,12:45,Landed 19:37,green,2026-04-27 12:37,62.0
27/04,VJ387,UIH,SGN,0h47m,09:15,09:25,10:20,Landed 17:12,green,2026-04-27 10:12,47.0
27/04,VJ386,SGN,UIH,0h49m,07:35,07:51,08:45,Landed 15:40,green,2026-04-27 08:40,49.0
27/04,VJ802,BKK,SGN,1h12m,04:30,04:34,06:00,Landed 12:46,green,2026-04-27 05:46,72.0
27/04,VJ801,SGN,BKK,1h18m,01:35,01:43,03:05,Landed 10:01,green,2026-04-27 03:01,78.0
26/04,VJ3949,PKX,SGN,4h35m,17:05,17:52,22:00,Landed 05:27,yellow,2026-04-26 22:27,275.0
26/04,VJ3948,SGN,PKX,4h45m,11:05,11:31,16:05,Landed 00:16,green,2026-04-26 16:16,285.0
26/04,VJ247,THD,SGN,1h35m,07:15,07:55,09:15,Landed 16:30,green,2026-04-26 09:30,95.0
26/04,VJ246,SGN,THD,1h37m,04:45,05:28,06:45,Landed 14:05,yellow,2026-04-26 07:05,97.0
26/04,VJ383,UIH,SGN,0h56m,03:05,03:20,04:10,Landed 11:16,green,2026-04-26 04:16,56.0
26/04,VJ382,SGN,UIH,0h49m,01:25,01:45,02:35,Landed 09:34,green,2026-04-26 02:34,49.0
25/04,VJ283,HPH,SGN,1h44m,13:10,13:30,15:10,Landed 22:14,green,2026-04-25 15:14,104.0
25/04,VJ282,SGN,HPH,1h52m,10:40,11:00,12:40,Landed 19:52,green,2026-04-25 12:52,112.0
25/04,VJ247,THD,SGN,1h41m,07:15,08:08,09:15,Landed 16:49,yellow,2026-04-25 09:49,101.0
25/04,VJ246,SGN,THD,1h37m,04:45,05:44,06:45,Landed 14:21,yellow,2026-04-25 07:21,97.0
25/04,VJ383,UIH,SGN,0h49m,03:05,03:34,04:10,Landed 11:23,green,2026-04-25 04:23,49.0
25/04,VJ382,SGN,UIH,0h48m,01:25,01:53,02:35,Landed 09:41,green,2026-04-25 02:41,48.0
24/04,VJ3949,PKX,SGN,4h37m,17:05,18:02,22:00,Landed 05:39,yellow,2026-04-24 22:39,277.0
24/04,VJ3948,SGN,PKX,4h39m,11:05,11:50,16:05,Landed 00:29,yellow,2026-04-24 16:29,279.0
24/04,VJ326,PQC,SGN,0h54m,09:25,09:41,10:30,Landed 17:35,green,2026-04-24 10:35,54.0
24/04,VJ327,SGN,PQC,0h40m,07:50,08:10,08:50,Landed 15:50,green,2026-04-24 08:50,40.0
23/04,VJ217,VII,SGN,1h35m,14:00,14:07,15:50,Landed 22:42,green,2026-04-23 15:42,95.0
23/04,VJ216,SGN,VII,1h30m,11:40,12:00,13:30,Landed 20:30,green,2026-04-23 13:30,90.0
23/04,VJ253,THD,SGN,1h48m,09:10,09:11,11:10,Landed 17:59,green,2026-04-23 10:59,108.0
23/04,VJ252,SGN,THD,1h42m,06:40,06:54,08:40,Landed 15:36,green,2026-04-23 08:36,102.0
23/04,VJ241,THD,SGN,1h45m,01:10,01:24,03:10,Landed 10:09,green,2026-04-23 03:09,105.0
22/04,VJ242,SGN,THD,1h35m,22:40,23:07,00:40,Landed 07:42,green,2026-04-23 00:42,95.0
22/04,VJ255,THD,SGN,1h37m,11:50,11:46,13:50,Landed 20:23,green,2026-04-22 13:23,97.0
22/04,VJ254,SGN,THD,1h36m,09:20,09:29,11:20,Landed 18:05,green,2026-04-22 11:05,96.0
22/04,VJ271,HPH,SGN,1h46m,01:00,01:12,03:00,Landed 09:58,green,2026-04-22 02:58,106.0
21/04,VJ270,SGN,HPH,1h46m,22:30,22:39,00:30,Landed 07:25,green,2026-04-22 00:25,106.0
21/04,VJ639,DAD,SGN,1h1m,10:05,11:04,11:30,Landed 19:05,yellow,2026-04-21 12:05,61.0
20/04,VJ716,PQC,DAD,1h19m,12:45,12:55,14:30,Landed 21:14,green,2026-04-20 14:14,79.0
20/04,VJ717,DAD,PQC,1h30m,10:25,10:34,12:10,Landed 19:04,green,2026-04-20 12:04,90.0
20/04,VJ824,KUL,DAD,2h29m,06:30,06:47,09:10,Landed 16:16,green,2026-04-20 09:16,149.0
20/04,VJ827,DAD,KUL,2h28m,02:50,02:59,05:30,Landed 13:27,green,2026-04-20 05:27,148.0
20/04,VJ632,SGN,DAD,1h0m,00:30,00:55,01:50,Landed 08:55,green,2026-04-20 01:55,60.0
19/04,VJ217,VII,SGN,1h27m,14:00,14:10,15:50,Landed 22:37,green,2026-04-19 15:37,87.0
19/04,VJ216,SGN,VII,1h31m,11:40,11:58,13:30,Landed 20:29,green,2026-04-19 13:29,91.0
19/04,VJ253,THD,SGN,1h39m,09:10,09:16,11:10,Landed 17:55,green,2026-04-19 10:55,99.0
19/04,VJ252,SGN,THD,1h37m,06:40,06:53,08:40,Landed 15:30,green,2026-04-19 08:30,97.0
19/04,VJ324,PQC,SGN,0h48m,03:50,04:27,04:55,Landed 12:15,yellow,2026-04-19 05:15,48.0
19/04,VJ337,SGN,PQC,0h34m,02:10,02:30,03:10,Landed 10:04,green,2026-04-19 03:04,34.0
18/04,VJ621,DAD,SGN,1h0m,22:35,22:35,00:01,Landed 06:35,green,2026-04-18 23:35,60.0
18/04,VJ632,SGN,DAD,1h0m,00:30,00:58,01:50,Landed 08:58,green,2026-04-18 01:58,60.0
17/04,VJ806,BKK,SGN,1h20m,12:55,13:01,14:25,Landed 21:21,green,2026-04-17 14:21,80.0
17/04,VJ805,SGN,BKK,1h14m,10:15,10:26,11:45,Landed 18:40,green,2026-04-17 11:40,74.0
17/04,VJ885,KHH,SGN,2h53m,04:40,04:41,07:50,Landed 14:34,green,2026-04-17 07:34,173.0
17/04,VJ886,SGN,KHH,2h46m,00:30,00:52,03:40,Landed 11:38,green,2026-04-17 03:38,166.0
16/04,VJ3949,PKX,SGN,4h41m,17:05,17:38,22:00,Landed 05:19,yellow,2026-04-16 22:19,281.0
16/04,VJ3948,SGN,PKX,4h32m,11:05,11:20,16:05,Landed 23:52,green,2026-04-16 15:52,272.0
16/04,VJ247,THD,SGN,1h55m,07:15,07:41,09:15,Landed 16:36,yellow,2026-04-16 09:36,115.0
16/04,VJ246,SGN,THD,1h39m,04:45,05:17,06:45,Landed 13:56,green,2026-04-16 06:56,99.0
16/04,VJ383,UIH,SGN,0h48m,03:05,03:22,04:10,Landed 11:10,green,2026-04-16 04:10,48.0
16/04,VJ382,SGN,UIH,0h58m,01:25,01:39,02:35,Landed 09:37,green,2026-04-16 02:37,58.0
15/04,VJ377,VCL,SGN,1h1m,13:15,13:27,14:35,Landed 21:28,green,2026-04-15 14:28,61.0
15/04,VJ376,SGN,VCL,0h56m,11:25,11:46,12:45,Landed 19:42,green,2026-04-15 12:42,56.0
15/04,VJ307,HUI,SGN,1h15m,09:10,09:21,10:35,Landed 17:36,green,2026-04-15 10:36,75.0
15/04,VJ308,SGN,HUI,1h6m,07:15,07:25,08:40,Landed 15:31,green,2026-04-15 08:31,66.0
15/04,VJ373,VCL,SGN,0h59m,04:10,04:43,05:30,Landed 12:42,green,2026-04-15 05:42,59.0
15/04,VJ372,SGN,VCL,0h56m,02:20,02:55,03:40,Landed 10:51,green,2026-04-15 03:51,56.0
13/04,VJ806,BKK,SGN,1h12m,12:55,13:23,14:25,Landed 21:35,green,2026-04-13 14:35,72.0
13/04,VJ805,SGN,BKK,1h15m,10:15,10:36,11:45,Landed 18:51,green,2026-04-13 11:51,75.0
13/04,VJ133,HAN,SGN,1h48m,04:20,04:44,06:30,Landed 13:32,green,2026-04-13 06:32,108.0
13/04,VJ130,SGN,HAN,1h56m,01:40,01:56,03:50,Landed 10:52,green,2026-04-13 03:52,116.0
12/04,VJ806,BKK,SGN,1h22m,12:55,13:40,14:25,Landed 22:02,yellow,2026-04-12 15:02,82.0
12/04,VJ805,SGN,BKK,1h13m,10:15,10:24,11:45,Landed 18:37,green,2026-04-12 11:37,73.0
12/04,VJ247,THD,SGN,1h41m,07:15,07:22,09:15,Landed 16:03,green,2026-04-12 09:03,101.0
12/04,VJ246,SGN,THD,1h35m,04:45,05:05,06:45,Landed 13:40,green,2026-04-12 06:40,95.0
12/04,VJ383,UIH,SGN,0h49m,03:05,03:06,04:10,Landed 10:55,green,2026-04-12 03:55,49.0
12/04,VJ382,SGN,UIH,0h46m,01:25,01:34,02:35,Landed 09:20,green,2026-04-12 02:20,46.0
11/04,VJ3949,PKX,SGN,4h42m,17:05,17:22,22:00,Landed 05:04,green,2026-04-11 22:04,282.0
11/04,VJ3948,SGN,PKX,4h32m,11:05,11:18,16:05,Landed 23:50,green,2026-04-11 15:50,272.0
11/04,VJ247,THD,SGN,1h47m,07:15,07:33,09:15,Landed 16:20,green,2026-04-11 09:20,107.0
11/04,VJ246,SGN,THD,1h35m,04:45,05:12,06:45,Landed 13:47,green,2026-04-11 06:47,95.0
11/04,VJ383,UIH,SGN,0h45m,03:05,03:32,04:10,Landed 11:17,green,2026-04-11 04:17,45.0
11/04,VJ382,SGN,UIH,0h48m,01:25,01:52,02:35,Landed 09:40,green,2026-04-11 02:40,48.0
10/04,VJ217,VII,SGN,1h30m,14:20,14:28,16:20,Landed 22:58,green,2026-04-10 15:58,90.0
10/04,VJ216,SGN,VII,1h29m,12:00,12:20,13:50,Landed 20:49,green,2026-04-10 13:49,89.0
10/04,VJ307,HUI,SGN,1h12m,09:10,09:23,10:35,Landed 17:35,green,2026-04-10 10:35,72.0
10/04,VJ308,SGN,HUI,1h5m,07:15,07:28,08:40,Landed 15:33,green,2026-04-10 08:33,65.0
10/04,VJ373,VCL,SGN,0h56m,04:10,04:29,05:30,Landed 12:25,green,2026-04-10 05:25,56.0
10/04,VJ372,SGN,VCL,1h7m,02:20,02:39,03:40,Landed 10:46,green,2026-04-10 03:46,67.0
08/04,VJ307,HUI,SGN,1h9m,09:10,09:54,10:35,Landed 18:03,yellow,2026-04-08 11:03,69.0
08/04,VJ308,SGN,HUI,1h4m,07:15,08:03,08:40,Landed 16:07,yellow,2026-04-08 09:07,64.0
08/04,VJ133,HAN,SGN,1h46m,04:20,05:05,06:30,Landed 13:51,yellow,2026-04-08 06:51,106.0
08/04,VJ130,SGN,HAN,1h54m,01:40,02:04,03:50,Landed 10:58,green,2026-04-08 03:58,114.0
07/04,VJ3949,PKX,SGN,4h40m,17:05,17:21,22:00,Landed 05:01,green,2026-04-07 22:01,280.0
07/04,VJ3948,SGN,PKX,4h26m,11:05,11:18,16:05,Landed 23:44,green,2026-04-07 15:44,266.0
07/04,VJ247,THD,SGN,1h46m,07:15,07:43,09:15,Landed 16:29,green,2026-04-07 09:29,106.0
07/04,VJ246,SGN,THD,1h36m,04:45,05:23,06:45,Landed 13:59,green,2026-04-07 06:59,96.0
07/04,VJ383,UIH,SGN,0h50m,03:05,03:24,04:10,Landed 11:14,green,2026-04-07 04:14,50.0
07/04,VJ382,SGN,UIH,0h49m,01:25,01:45,02:35,Landed 09:34,green,2026-04-07 02:34,49.0
06/04,VJ385,UIH,SGN,0h45m,11:15,11:24,12:20,Landed 19:09,green,2026-04-06 12:09,45.0
06/04,VJ384,SGN,UIH,0h47m,09:35,09:50,10:45,Landed 17:37,green,2026-04-06 10:37,47.0
06/04,VJ373,VCL,SGN,1h1m,04:10,04:27,05:30,Landed 12:28,green,2026-04-06 05:28,61.0
06/04,VJ372,SGN,VCL,0h57m,02:20,02:50,03:40,Landed 10:47,green,2026-04-06 03:47,57.0
05/04,VJ147,HAN,SGN,1h48m,08:45,09:24,10:55,Landed 18:12,yellow,2026-04-05 11:12,108.0
05/04,VJ138,SGN,HAN,1h55m,06:05,06:36,08:15,Landed 15:31,yellow,2026-04-05 08:31,115.0
05/04,VJ373,VCL,SGN,0h56m,04:10,04:27,05:30,Landed 12:23,green,2026-04-05 05:23,56.0
05/04,VJ372,SGN,VCL,0h58m,02:20,02:48,03:40,Landed 10:46,green,2026-04-05 03:46,58.0
04/04,VJ377,VCL,SGN,1h11m,13:15,14:00,14:35,Landed 22:11,yellow,2026-04-04 15:11,71.0
04/04,VJ376,SGN,VCL,0h59m,11:25,12:26,12:45,Landed 20:25,yellow,2026-04-04 13:25,59.0
04/04,VJ147,HAN,SGN,1h44m,08:45,09:15,10:55,Landed 17:59,green,2026-04-04 10:59,104.0
04/04,VJ138,SGN,HAN,1h55m,06:05,06:25,08:15,Landed 15:20,green,2026-04-04 08:20,115.0
04/04,VJ373,VCL,SGN,1h1m,04:10,04:18,05:30,Landed 12:19,green,2026-04-04 05:19,61.0
04/04,VJ372,SGN,VCL,0h59m,02:20,02:40,03:40,Landed 10:39,green,2026-04-04 03:39,59.0
03/04,VJ3675,ENH,SGN,3h34m,12:57,12:57,16:31,Landed 23:31,red,2026-04-03 16:31,214.0
03/04,VJ3674,SGN,ENH,3h34m,07:43,07:43,,Estimated 11:17,,2026-04-03 11:17,214.0
03/04,VJ373,VCL,SGN,0h56m,04:10,04:31,05:30,Landed 12:27,green,2026-04-03 05:27,56.0
03/04,VJ372,SGN,VCL,0h59m,02:20,02:42,03:40,Landed 10:41,green,2026-04-03 03:41,59.0
31/03,VJ385,UIH,SGN,0h49m,11:15,11:20,12:20,Landed 19:09,green,2026-03-31 12:09,49.0
31/03,VJ384,SGN,UIH,0h49m,09:35,09:44,10:45,Landed 17:33,green,2026-03-31 10:33,49.0
31/03,VJ211,VII,SGN,1h25m,06:45,06:49,08:35,Landed 15:14,green,2026-03-31 08:14,85.0
31/03,VJ210,SGN,VII,1h27m,04:25,04:36,06:15,Landed 13:03,green,2026-03-31 06:03,87.0
31/03,VJ261,VDH,SGN,1h14m,01:40,01:40,03:15,Landed 09:54,green,2026-03-31 02:54,74.0
30/03,VJ260,SGN,VDH,1h16m,23:35,23:31,01:10,Landed 07:47,green,2026-03-31 00:47,76.0
30/03,VJ247,THD,SGN,1h44m,07:15,07:43,09:15,Landed 16:27,green,2026-03-30 09:27,104.0
30/03,VJ246,SGN,THD,1h38m,04:45,05:22,06:45,Landed 14:00,green,2026-03-30 07:00,98.0
30/03,VJ383,UIH,SGN,0h51m,03:05,03:14,04:10,Landed 11:05,green,2026-03-30 04:05,51.0
30/03,VJ382,SGN,UIH,0h45m,01:25,01:39,02:35,Landed 09:24,green,2026-03-30 02:24,45.0
29/03,VJ3675,ENH,SGN,3h37m,13:07,13:07,16:44,Landed 23:44,red,2026-03-29 16:44,217.0
29/03,VJ3674,SGN,ENH,3h37m,07:47,07:47,,Estimated 11:24,,2026-03-29 11:24,217.0
29/03,VJ334,PQC,SGN,0h43m,02:50,04:08,03:50,Landed 11:51,red,2026-03-29 04:51,43.0
28/03,VJ977,ICN,PQC,5h27m,20:00,20:42,01:50,Landed 09:09,yellow,2026-03-29 02:09,327.0
28/03,VJ976,PQC,ICN,4h57m,13:45,14:22,19:00,Landed 04:19,yellow,2026-03-28 19:19,297.0
28/03,VJ445,HAN,PQC,1h52m,10:40,11:23,12:45,Landed 20:15,yellow,2026-03-28 13:15,112.0
28/03,VJ446,PQC,HAN,1h44m,08:05,08:35,10:10,Landed 17:19,green,2026-03-28 10:19,104.0
28/03,VJ984,SIN,PQC,1h27m,05:05,05:20,06:45,Landed 13:47,green,2026-03-28 06:47,87.0
28/03,VJ811,SGN,SIN,1h39m,01:50,02:08,04:05,Landed 11:47,green,2026-03-28 03:47,99.0
27/03,VJ649,DAD,SGN,1h1m,13:05,13:20,14:30,Landed 21:21,green,2026-03-27 14:21,61.0
27/03,VJ648,SGN,DAD,0h59m,11:15,11:33,12:35,Landed 19:32,green,2026-03-27 12:32,59.0
27/03,VJ359,BMV,SGN,0h35m,09:45,09:50,10:45,Landed 17:25,green,2026-03-27 10:25,35.0
27/03,VJ358,SGN,BMV,0h33m,08:15,08:28,09:15,Landed 16:01,green,2026-03-27 09:01,33.0
27/03,VJ802,BKK,SGN,1h24m,04:45,05:20,06:10,Landed 13:44,yellow,2026-03-27 06:44,84.0
27/03,VJ801,SGN,BKK,1h15m,02:15,02:54,03:45,Landed 11:09,yellow,2026-03-27 04:09,75.0
26/03,VJ812,SIN,SGN,1h45m,11:30,11:31,13:35,Landed 20:16,green,2026-03-26 13:16,105.0
26/03,VJ983,PQC,SIN,1h37m,08:45,08:52,10:30,Landed 18:29,green,2026-03-26 10:29,97.0
26/03,VJ441,HAN,PQC,1h47m,05:25,05:45,07:30,Landed 14:32,green,2026-03-26 07:32,107.0
26/03,VJ430,UIH,HAN,1h19m,02:15,02:28,03:55,Landed 10:47,green,2026-03-26 03:47,79.0
26/03,VJ431,HAN,UIH,1h16m,00:10,00:27,01:45,Landed 08:43,green,2026-03-26 01:43,76.0
25/03,VJ1926,AMD,HAN,3h50m,18:40,18:49,23:20,Landed 05:39,green,2026-03-25 22:39,230.0
25/03,VJ1925,HAN,AMD,5h2m,12:00,12:48,17:40,Landed 23:20,green,2026-03-25 17:50,302.0
25/03,VJ446,PQC,HAN,1h38m,08:05,08:26,10:10,Landed 17:04,green,2026-03-25 10:04,98.0
25/03,VJ984,SIN,PQC,1h25m,05:05,04:58,06:45,Landed 13:23,green,2026-03-25 06:23,85.0
25/03,VJ811,SGN,SIN,1h35m,01:50,02:11,04:05,Landed 11:46,green,2026-03-25 03:46,95.0
24/03,VJ171,HAN,SGN,1h43m,16:25,16:39,18:35,Landed 01:22,green,2026-03-24 18:22,103.0
24/03,VJ158,SGN,HAN,1h47m,11:20,11:39,13:30,Landed 20:26,green,2026-03-24 13:26,107.0
24/03,VJ375,VCL,SGN,0h54m,08:55,09:24,10:15,Landed 17:18,green,2026-03-24 10:18,54.0
24/03,VJ374,SGN,VCL,0h54m,07:10,07:50,08:25,Landed 15:44,yellow,2026-03-24 08:44,54.0
24/03,VJ802,BKK,SGN,1h18m,04:45,05:07,06:10,Landed 13:25,green,2026-03-24 06:25,78.0
24/03,VJ801,SGN,BKK,1h16m,02:15,02:35,03:45,Landed 10:51,green,2026-03-24 03:51,76.0
23/03,VJ812,SIN,SGN,1h49m,11:30,11:30,13:35,Landed 20:19,green,2026-03-23 13:19,109.0
23/03,VJ983,PQC,SIN,1h34m,08:45,09:01,10:30,Landed 18:35,green,2026-03-23 10:35,94.0
23/03,VJ441,HAN,PQC,1h48m,05:25,05:53,07:30,Landed 14:41,green,2026-03-23 07:41,108.0
23/03,VJ132,SGN,HAN,1h42m,02:00,02:21,04:10,Landed 11:03,green,2026-03-23 04:03,102.0
22/03,VJ185,HAN,SGN,1h43m,22:10,22:31,00:20,Landed 07:14,green,2026-03-23 00:14,103.0
22/03,VJ953,HIJ,HAN,4h48m,04:30,04:35,09:20,Landed 16:23,green,2026-03-22 09:23,288.0
21/03,VJ952,HAN,HIJ,3h46m,23:35,23:39,03:30,Landed 12:25,green,2026-03-22 03:25,226.0
21/03,VJ7239,PVG,HAN,3h7m,18:20,18:36,22:15,Landed 04:43,green,2026-03-21 21:43,187.0
21/03,VJ7238,HAN,PVG,2h37m,14:25,14:36,17:15,Landed 01:13,green,2026-03-21 17:13,157.0
21/03,VJ516,DAD,HAN,1h3m,11:15,11:34,12:35,Landed 19:37,green,2026-03-21 12:37,63.0
21/03,VJ515,HAN,DAD,0h59m,09:25,09:38,10:45,Landed 17:37,green,2026-03-21 10:37,59.0
21/03,VJ460,VCA,HAN,1h53m,06:10,06:44,08:20,Landed 15:37,yellow,2026-03-21 08:37,113.0
21/03,VJ463,HAN,VCA,1h55m,03:30,03:39,05:40,Landed 12:34,green,2026-03-21 05:34,115.0
20/03,VJ174,SGN,HAN,1h40m,14:45,15:29,16:55,Landed 00:09,green,2026-03-20 17:09,100.0
20/03,VJ213,VII,SGN,1h44m,06:00,06:46,07:50,Landed 15:30,yellow,2026-03-20 08:30,104.0
20/03,VJ210,SGN,VII,1h26m,03:40,04:33,05:30,Landed 12:59,yellow,2026-03-20 05:59,86.0
20/03,VJ357,BMV,SGN,0h43m,01:00,01:08,02:05,Landed 08:51,green,2026-03-20 01:51,43.0
19/03,VJ356,SGN,BMV,0h30m,23:30,23:47,00:30,Landed 07:17,green,2026-03-20 00:17,30.0
18/03,VJ601,CXR,SGN,0h47m,11:05,12:23,12:05,Landed 20:10,red,2026-03-18 13:10,47.0
18/03,VJ600,SGN,CXR,0h43m,09:25,10:23,10:35,Landed 18:06,yellow,2026-03-18 11:06,43.0
18/03,VJ826,KUL,SGN,1h42m,05:35,06:07,07:30,Landed 14:49,yellow,2026-03-18 07:49,102.0
18/03,VJ825,SGN,KUL,1h43m,02:40,03:14,04:35,Landed 12:57,yellow,2026-03-18 04:57,103.0
18/03,VJ381,UIH,SGN,0h48m,00:30,01:02,01:35,Landed 08:50,green,2026-03-18 01:50,48.0
17/03,VJ380,SGN,UIH,0h46m,22:50,23:24,00:01,Landed 07:10,green,2026-03-18 00:10,46.0
17/03,VJ1832,VTE,SGN,1h42m,11:45,12:01,13:45,Landed 20:43,green,2026-03-17 13:43,102.0
17/03,VJ1831,SGN,VTE,1h44m,09:00,09:21,10:45,Landed 18:05,yellow,2026-03-17 11:05,104.0
17/03,VJ826,KUL,SGN,1h37m,05:35,05:59,07:30,Landed 14:36,green,2026-03-17 07:36,97.0
17/03,VJ825,SGN,KUL,1h36m,02:40,03:14,04:35,Landed 12:50,green,2026-03-17 04:50,96.0
16/03,VJ221,VII,SGN,1h27m,11:35,13:06,13:25,Landed 21:33,red,2026-03-16 14:33,87.0
16/03,VJ1216,SGN,VII,1h25m,09:15,11:03,11:05,Landed 19:28,red,2026-03-16 12:28,85.0
16/03,VJ328,PQC,SGN,0h57m,07:30,08:42,08:35,Landed 16:39,red,2026-03-16 09:39,57.0
16/03,VJ347,SGN,PQC,0h43m,05:50,06:41,07:00,Landed 14:24,yellow,2026-03-16 07:24,43.0
16/03,VJ125,HAN,SGN,1h59m,01:40,01:59,03:50,Landed 10:58,green,2026-03-16 03:58,119.0
15/03,VJ442,PQC,HAN,1h48m,01:40,02:10,03:45,Landed 10:58,green,2026-03-15 03:58,108.0
14/03,VJ443,HAN,PQC,1h49m,23:00,23:12,01:05,Landed 08:01,green,2026-03-15 01:01,109.0
14/03,VJ7713,PKX,HAN,3h26m,17:20,18:17,21:10,Landed 04:43,yellow,2026-03-14 21:43,206.0
14/03,VJ7712,HAN,PKX,3h13m,13:05,13:28,16:20,Landed 00:41,yellow,2026-03-14 16:41,193.0
14/03,VJ953,HIJ,HAN,4h21m,04:00,04:48,08:50,Landed 16:09,yellow,2026-03-14 09:09,261.0
13/03,VJ952,HAN,HIJ,4h8m,23:05,23:25,03:00,Landed 12:33,yellow,2026-03-14 03:33,248.0
13/03,VJ522,DAD,HAN,1h1m,15:40,16:01,17:01,Landed 00:02,green,2026-03-13 17:02,61.0
13/03,VJ501,HAN,DAD,1h7m,13:15,14:05,14:35,Landed 22:12,yellow,2026-03-13 15:12,67.0
13/03,VJ516,DAD,HAN,0h58m,11:15,12:05,12:35,Landed 20:03,yellow,2026-03-13 13:03,58.0
13/03,VJ515,HAN,DAD,1h3m,09:25,10:08,10:45,Landed 18:11,yellow,2026-03-13 11:11,63.0
13/03,VJ198,SGN,HAN,1h46m,06:00,06:24,08:10,Landed 15:10,green,2026-03-13 08:10,106.0
13/03,VJ395,PXU,SGN,0h48m,03:00,03:01,04:10,Landed 10:49,green,2026-03-13 03:49,48.0
13/03,VJ394,SGN,PXU,0h41m,01:20,01:34,02:30,Landed 09:15,green,2026-03-13 02:15,41.0
12/03,VJ621,DAD,SGN,1h2m,23:25,23:32,00:50,Landed 07:34,green,2026-03-13 00:34,62.0
12/03,VJ723,HPH,DAD,1h1m,12:00,13:39,13:15,Landed 21:40,red,2026-03-12 14:40,61.0
12/03,VJ722,DAD,HPH,1h0m,10:10,11:28,11:30,Landed 19:28,red,2026-03-12 12:28,60.0
12/03,VJ704,VCA,DAD,1h2m,08:00,09:12,09:30,Landed 17:14,yellow,2026-03-12 10:14,62.0
