DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ1458,PQC,HAN,2h38m,12:50,13:20,14:55,Delayed 22:58,red,2026-05-02 15:58,158.0
02/05,VJ1457,HAN,PQC,1h51m,10:10,10:26,12:15,Landed 19:17,green,2026-05-02 12:17,111.0
02/05,VJ772,CXR,HAN,1h37m,07:05,07:48,08:55,Landed 16:25,yellow,2026-05-02 09:25,97.0
02/05,VJ5925,KIX,CXR,4h55m,01:14,01:14,06:09,Landed 13:09,red,2026-05-02 06:09,295.0
01/05,VJ7860,HAN,KIX,4h14m,19:33,19:33,23:47,Landed 08:47,red,2026-05-01 23:47,254.0
01/05,VJ442,PQC,HAN,1h44m,10:00,10:08,12:05,Landed 18:52,green,2026-05-01 11:52,104.0
01/05,VJ441,HAN,PQC,1h48m,07:00,06:59,09:05,Landed 15:47,green,2026-05-01 08:47,108.0
01/05,VJ450,PQC,HAN,1h47m,02:10,02:17,04:15,Landed 11:04,green,2026-05-01 04:04,107.0
30/04,VJ449,HAN,PQC,1h47m,23:30,23:38,01:35,Landed 08:25,green,2026-05-01 01:25,107.0
30/04,VJ168,SGN,HAN,1h52m,16:00,16:07,18:10,Landed 00:59,green,2026-04-30 17:59,112.0
30/04,VJ806,BKK,SGN,1h14m,12:55,13:30,14:25,Landed 21:44,yellow,2026-04-30 14:44,74.0
30/04,VJ805,SGN,BKK,1h22m,10:15,10:40,11:45,Landed 19:02,yellow,2026-04-30 12:02,82.0
30/04,VJ247,THD,SGN,1h52m,07:15,07:31,09:15,Landed 16:23,green,2026-04-30 09:23,112.0
30/04,VJ246,SGN,THD,1h32m,04:45,05:16,06:45,Landed 13:48,green,2026-04-30 06:48,92.0
30/04,VJ129,HAN,SGN,1h51m,01:45,01:53,03:55,Landed 10:44,green,2026-04-30 03:44,111.0
29/04,VJ120,SGN,HAN,1h45m,22:00,22:13,00:10,Landed 06:58,green,2026-04-29 23:58,105.0
29/04,VJ377,VCL,SGN,1h2m,13:15,14:20,14:35,Landed 22:22,red,2026-04-29 15:22,62.0
29/04,VJ376,SGN,VCL,1h2m,11:25,12:46,12:45,Landed 20:48,red,2026-04-29 13:48,62.0
29/04,VJ147,HAN,SGN,1h59m,08:45,09:42,10:55,Landed 18:41,red,2026-04-29 11:41,119.0
29/04,VJ138,SGN,HAN,1h54m,06:05,06:38,08:15,Landed 15:32,yellow,2026-04-29 08:32,114.0
29/04,VJ373,VCL,SGN,1h0m,04:10,04:21,05:30,Landed 12:21,green,2026-04-29 05:21,60.0
29/04,VJ372,SGN,VCL,0h59m,02:20,02:43,03:40,Landed 10:42,green,2026-04-29 03:42,59.0
29/04,VJ1381,UIH,SGN,,00:15,,01:20,Estimated dep 07:14*,green,2026-04-29 00:14,
28/04,VJ1380,SGN,UIH,0h46m,22:35,22:45,23:45,Landed 06:31,green,2026-04-28 23:31,46.0
28/04,VJ353,BMV,SGN,0h43m,12:25,12:23,13:25,Landed 20:06,green,2026-04-28 13:06,43.0
28/04,VJ352,SGN,BMV,0h41m,10:55,11:05,11:55,Landed 18:46,green,2026-04-28 11:46,41.0
28/04,VJ375,VCL,SGN,,07:45,,09:05,Landed 16:00,green,2026-04-28 09:00,
28/04,VJ374,SGN,VCL,1h1m,05:55,06:17,07:15,Landed 14:18,green,2026-04-28 07:18,61.0
28/04,VJ301,HUI,SGN,1h6m,00:25,00:27,01:50,Landed 08:33,green,2026-04-28 01:33,66.0
27/04,VJ302,SGN,HUI,1h20m,22:30,22:33,23:55,Landed 06:53,green,2026-04-27 23:53,80.0
