DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ7317,ENH,HAN,2h13m,09:55,09:55,12:08,Landed 19:08,red,2026-05-02 12:08,133.0
02/05,VJ7316,HAN,ENH,9h42m,07:00,07:00,08:42,Landed 16:42,red,2026-05-02 16:42,582.0
02/05,VJ198,SGN,HAN,1h46m,03:30,03:49,05:40,Landed 12:35,green,2026-05-02 05:35,106.0
01/05,VJ7238,HAN,PVG,2h46m,14:15,14:18,17:15,Landed 01:04,green,2026-05-01 17:04,166.0
01/05,VJ1516,DAD,HAN,1h18m,11:25,11:46,12:45,Landed 20:04,yellow,2026-05-01 13:04,78.0
01/05,VJ1513,HAN,DAD,1h11m,09:35,09:50,10:55,Landed 18:01,green,2026-05-01 11:01,71.0
01/05,VJ772,CXR,HAN,1h37m,07:05,07:21,08:55,Landed 15:58,green,2026-05-01 08:58,97.0
01/05,VJ775,HAN,CXR,1h36m,04:45,04:54,06:35,Landed 13:30,green,2026-05-01 06:30,96.0
30/04,VJ160,SGN,HAN,1h47m,13:30,14:49,15:40,Landed 23:36,red,2026-04-30 16:36,107.0
30/04,VJ328,PQC,SGN,0h47m,11:55,13:07,13:00,Landed 20:54,red,2026-04-30 13:54,47.0
30/04,VJ331,SGN,PQC,0h40m,10:20,11:37,11:20,Landed 19:17,red,2026-04-30 12:17,40.0
30/04,VJ145,HAN,SGN,1h51m,07:40,08:41,09:50,Landed 17:32,yellow,2026-04-30 10:32,111.0
30/04,VJ1981,FSZ,HAN,5h42m,01:30,01:55,07:00,Landed 14:37,yellow,2026-04-30 07:37,342.0
29/04,VJ1980,HAN,FSZ,13h30m,19:40,19:48,00:30,Landed 09:18,green,2026-04-30 09:18,810.0
29/04,VJ160,SGN,HAN,1h48m,13:30,14:51,15:40,Landed 23:39,red,2026-04-29 16:39,108.0
29/04,VJ328,PQC,SGN,0h45m,11:55,13:05,13:00,Landed 20:50,red,2026-04-29 13:50,45.0
29/04,VJ331,SGN,PQC,0h39m,10:20,11:31,11:20,Landed 19:10,red,2026-04-29 12:10,39.0
29/04,VJ145,HAN,SGN,1h50m,07:40,08:21,09:50,Landed 17:11,yellow,2026-04-29 10:11,110.0
28/04,VJ1435,HAN,UIH,1h21m,01:50,02:05,03:25,Landed 10:26,green,2026-04-28 03:26,81.0
28/04,VJ1508,DAD,HAN,1h8m,00:01,00:06,01:20,Landed 08:14,green,2026-04-28 01:14,68.0
27/04,VJ776,CXR,HAN,2h9m,11:20,12:55,13:10,Landed 22:04,red,2026-04-27 15:04,129.0
27/04,VJ773,HAN,CXR,1h34m,09:00,09:27,10:50,Landed 18:01,green,2026-04-27 11:01,94.0
27/04,VJ770,CXR,HAN,1h35m,01:05,01:20,02:55,Landed 09:55,green,2026-04-27 02:55,95.0
25/04,VJ952,HAN,HIJ,4h15m,23:15,23:29,03:30,Landed 12:44,green,2026-04-26 03:44,255.0
25/04,VJ7713,PKX,HAN,3h12m,17:20,18:01,20:55,Landed 04:13,yellow,2026-04-25 21:13,192.0
24/04,VJ213,VII,SGN,1h35m,10:35,10:42,12:25,Landed 19:17,green,2026-04-24 12:17,95.0
24/04,VJ129,HAN,SGN,1h44m,01:45,02:11,03:55,Landed 10:55,green,2026-04-24 03:55,104.0
23/04,VJ211,VII,SGN,,06:45,,08:35,,,,
22/04,VJ635,DAD,SGN,1h7m,08:20,08:57,09:40,Landed 17:04,yellow,2026-04-22 10:04,67.0
22/04,VJ373,VCL,SGN,0h54m,04:10,04:58,05:30,Landed 12:52,yellow,2026-04-22 05:52,54.0
21/04,VJ321,SGN,PQC,0h39m,01:50,02:18,02:55,Landed 09:57,green,2026-04-21 02:57,39.0
20/04,VJ121,HAN,SGN,1h48m,23:00,23:14,01:10,Landed 08:02,green,2026-04-21 01:02,108.0
20/04,VJ466,VCA,HAN,1h58m,12:40,12:57,14:50,Landed 21:55,green,2026-04-20 14:55,118.0
20/04,VJ465,HAN,VCA,1h54m,10:00,10:14,12:10,Landed 19:08,green,2026-04-20 12:08,114.0
20/04,VJ330,PQC,SGN,0h42m,03:30,03:45,04:30,Landed 11:27,green,2026-04-20 04:27,42.0
20/04,VJ321,SGN,PQC,0h39m,01:50,02:07,02:55,Landed 09:46,green,2026-04-20 02:46,39.0
19/04,VJ526,DAD,HAN,1h3m,14:30,14:54,15:50,Landed 22:57,green,2026-04-19 15:57,63.0
18/04,VJ952,HAN,HIJ,4h7m,23:15,23:35,03:30,Landed 12:42,green,2026-04-19 03:42,247.0
18/04,VJ7316,HAN,,,07:07,07:07,,,,,
17/04,VJ704,VCA,DAD,1h11m,13:00,13:14,14:30,Landed 21:25,green,2026-04-17 14:25,71.0
17/04,VJ480,VCA,VII,1h39m,08:20,08:38,10:10,Landed 17:17,green,2026-04-17 10:17,99.0
15/04,VJ824,KUL,DAD,2h21m,06:30,07:43,09:10,Landed 17:04,red,2026-04-15 10:04,141.0
15/04,VJ632,SGN,DAD,0h59m,00:30,00:58,01:50,Landed 08:57,green,2026-04-15 01:57,59.0
13/04,VJ716,PQC,DAD,1h22m,12:45,12:40,14:30,Landed 21:02,green,2026-04-13 14:02,82.0
13/04,VJ827,DAD,KUL,2h24m,02:50,03:02,05:30,Landed 13:26,green,2026-04-13 05:26,144.0
13/04,VJ632,SGN,DAD,1h1m,00:30,00:34,01:50,Landed 08:35,green,2026-04-13 01:35,61.0
12/04,VJ717,DAD,PQC,1h22m,10:25,10:26,12:10,Landed 18:48,green,2026-04-12 11:48,82.0
12/04,VJ827,DAD,KUL,2h29m,02:50,03:10,05:30,Landed 13:39,green,2026-04-12 05:39,149.0
12/04,VJ632,SGN,DAD,0h59m,00:30,00:27,01:50,Landed 08:26,green,2026-04-12 01:26,59.0
11/04,VJ621,DAD,SGN,0h57m,22:35,22:38,00:01,Landed 06:35,green,2026-04-11 23:35,57.0
11/04,VJ716,PQC,DAD,1h20m,12:45,13:10,14:30,Landed 21:30,green,2026-04-11 14:30,80.0
11/04,VJ632,SGN,DAD,1h1m,00:30,00:42,01:50,Landed 08:43,green,2026-04-11 01:43,61.0
10/04,VJ716,PQC,DAD,1h23m,12:45,12:45,14:30,Landed 21:08,green,2026-04-10 14:08,83.0
10/04,VJ824,KUL,DAD,2h18m,06:30,06:58,09:10,Landed 16:16,green,2026-04-10 09:16,138.0
10/04,VJ632,SGN,DAD,1h14m,00:30,00:47,01:50,Landed 09:01,green,2026-04-10 02:01,74.0
09/04,VJ632,SGN,DAD,1h9m,00:30,01:07,01:50,Landed 09:16,yellow,2026-04-09 02:16,69.0
08/04,VJ716,PQC,DAD,1h30m,12:45,12:39,14:30,Landed 21:09,green,2026-04-08 14:09,90.0
08/04,VJ827,DAD,KUL,2h22m,02:50,02:58,05:30,Landed 13:20,green,2026-04-08 05:20,142.0
08/04,VJ632,SGN,DAD,0h58m,00:30,00:49,01:50,Landed 08:47,green,2026-04-08 01:47,58.0
07/04,VJ621,DAD,SGN,1h0m,22:35,22:43,00:01,Landed 06:43,green,2026-04-07 23:43,60.0
05/04,VJ523,HAN,DAD,1h2m,12:40,12:54,14:00,Landed 20:56,green,2026-04-05 13:56,62.0
04/04,VJ3948,SGN,PKX,4h37m,11:05,11:15,16:05,Landed 23:52,green,2026-04-04 15:52,277.0
04/04,VJ133,HAN,SGN,1h41m,04:20,05:01,06:30,Landed 13:42,green,2026-04-04 06:42,101.0
03/04,VJ384,SGN,UIH,0h47m,09:35,09:46,10:45,Landed 17:33,green,2026-04-03 10:33,47.0
02/04,VJ3949,PKX,SGN,4h35m,17:05,17:23,22:00,Landed 04:58,green,2026-04-02 21:58,275.0
02/04,VJ247,THD,SGN,1h44m,07:15,07:12,09:15,Landed 15:56,green,2026-04-02 08:56,104.0
02/04,VJ246,SGN,THD,1h36m,04:45,04:52,06:45,Landed 13:28,green,2026-04-02 06:28,96.0
02/04,VJ383,UIH,SGN,0h46m,03:05,03:04,04:10,Landed 10:50,green,2026-04-02 03:50,46.0
02/04,VJ382,SGN,UIH,0h47m,01:25,01:29,02:35,Landed 09:16,green,2026-04-02 02:16,47.0
01/04,VJ806,BKK,SGN,1h18m,12:55,13:22,14:25,Landed 21:40,green,2026-04-01 14:40,78.0
01/04,VJ802,BKK,SGN,1h13m,04:30,04:58,06:00,Landed 13:11,green,2026-04-01 06:11,73.0
31/03,VJ3949,PKX,SGN,4h29m,17:05,17:44,22:00,Landed 05:13,green,2026-03-31 22:13,269.0
31/03,VJ3948,SGN,PKX,4h33m,11:05,11:14,16:05,Landed 23:47,green,2026-03-31 15:47,273.0
30/03,VJ3949,PKX,SGN,4h36m,17:05,17:45,22:00,Landed 05:21,yellow,2026-03-30 22:21,276.0
30/03,VJ3948,SGN,PKX,4h44m,11:05,11:20,16:05,Landed 00:04,green,2026-03-30 16:04,284.0
30/03,VJ145,,SGN,0h29m,09:14,09:14,09:43,Landed 16:43,red,2026-03-30 09:43,29.0
30/03,VJ450,PQC,HAN,1h55m,02:10,02:26,04:15,Landed 11:21,green,2026-03-30 04:21,115.0
30/03,VJ449,,PQC,1h27m,00:06,00:06,01:33,Landed 08:33,red,2026-03-30 01:33,87.0
