DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
28/03,VJ865,ICN,SGN,5h8m,22:00,22:08,03:30,Landed 10:16,green,2026-03-29 03:16,308.0
28/03,VJ864,SGN,ICN,4h45m,15:15,15:31,20:25,Landed 05:16,green,2026-03-28 20:16,285.0
28/03,VJ1831,SGN,VTE,1h40m,09:00,09:16,10:45,Landed 17:56,green,2026-03-28 10:56,100.0
28/03,VJ373,VCL,SGN,0h59m,06:40,06:56,08:00,Landed 14:55,green,2026-03-28 07:55,59.0
28/03,VJ372,SGN,VCL,0h58m,04:50,05:17,06:10,Landed 13:15,green,2026-03-28 06:15,58.0
24/03,VJ165,HAN,SGN,1h53m,11:30,11:51,13:40,Landed 20:44,green,2026-03-24 13:44,113.0
21/03,VJ976,PQC,ICN,4h58m,13:45,14:07,19:00,Landed 04:05,green,2026-03-21 19:05,298.0
21/03,VJ445,HAN,PQC,1h50m,10:40,10:57,12:45,Landed 19:47,green,2026-03-21 12:47,110.0
20/03,VJ952,HAN,HIJ,3h48m,23:05,23:16,03:00,Landed 12:04,green,2026-03-21 03:04,228.0
20/03,VJ522,DAD,HAN,1h1m,15:40,15:56,17:01,Landed 23:57,green,2026-03-20 16:57,61.0
20/03,VJ501,HAN,DAD,1h4m,13:15,14:06,14:35,Landed 22:10,yellow,2026-03-20 15:10,64.0
20/03,VJ462,VCA,HAN,1h51m,06:30,06:49,08:40,Landed 15:40,green,2026-03-20 08:40,111.0
20/03,VJ480,VCA,VII,1h37m,01:45,01:49,03:35,Landed 10:26,green,2026-03-20 03:26,97.0
19/03,VJ461,HAN,VCA,1h56m,22:30,22:45,00:40,Landed 07:41,green,2026-03-20 00:41,116.0
19/03,VJ7712,HAN,PKX,3h8m,13:05,13:13,16:20,Landed 00:21,green,2026-03-19 16:21,188.0
19/03,VJ446,PQC,HAN,1h46m,08:05,08:33,10:10,Landed 17:19,green,2026-03-19 10:19,106.0
19/03,VJ811,SGN,SIN,1h36m,01:50,02:12,04:05,Landed 11:48,green,2026-03-19 03:48,96.0
18/03,VJ645,DAD,SGN,1h1m,13:45,14:13,15:10,Landed 22:14,green,2026-03-18 15:14,61.0
18/03,VJ719,DAD,PQC,,01:25,,03:10,Landed 10:14,green,2026-03-18 03:14,
17/03,VJ648,SGN,DAD,0h57m,11:15,11:46,12:35,Landed 19:43,green,2026-03-17 12:43,57.0
17/03,VJ359,BMV,SGN,0h41m,09:45,09:56,10:45,Landed 17:37,green,2026-03-17 10:37,41.0
17/03,VJ358,SGN,BMV,0h30m,08:15,08:32,09:15,Landed 16:02,green,2026-03-17 09:02,30.0
16/03,VJ3949,PKX,SGN,4h37m,17:05,17:48,22:10,Landed 05:25,green,2026-03-16 22:25,277.0
16/03,VJ3948,SGN,PKX,4h32m,11:05,11:58,16:05,Landed 00:30,yellow,2026-03-16 16:30,272.0
15/03,VJ225,VII,SGN,1h33m,13:20,13:37,15:20,Landed 22:10,green,2026-03-15 15:10,93.0
15/03,VJ220,SGN,VII,1h22m,10:50,11:28,12:50,Landed 19:50,green,2026-03-15 12:50,82.0
15/03,VJ802,BKK,SGN,1h15m,04:45,05:18,06:10,Landed 13:33,yellow,2026-03-15 06:33,75.0
15/03,VJ801,SGN,BKK,1h15m,02:15,02:45,03:45,Landed 11:00,green,2026-03-15 04:00,75.0
14/03,VJ825,SGN,KUL,1h38m,02:40,03:17,04:35,Landed 12:55,yellow,2026-03-14 04:55,98.0
13/03,VJ380,SGN,UIH,0h50m,22:50,23:21,00:01,Landed 07:11,green,2026-03-14 00:11,50.0
13/03,VJ812,SIN,SGN,1h33m,11:30,12:05,13:35,Landed 20:38,green,2026-03-13 13:38,93.0
13/03,VJ983,PQC,SIN,1h45m,08:45,09:16,10:30,Landed 19:01,yellow,2026-03-13 11:01,105.0
13/03,VJ441,HAN,PQC,1h53m,05:25,05:42,07:30,Landed 14:35,green,2026-03-13 07:35,113.0
13/03,VJ431,HAN,UIH,1h11m,00:10,00:45,01:45,Landed 08:56,green,2026-03-13 01:56,71.0
12/03,VJ1926,AMD,HAN,3h54m,18:40,18:16,23:20,Landed 05:10,green,2026-03-12 22:10,234.0
12/03,VJ1925,HAN,AMD,4h54m,12:00,12:08,17:40,Landed 22:32,green,2026-03-12 17:02,294.0
12/03,VJ446,PQC,HAN,1h43m,08:05,08:23,10:10,Landed 17:06,green,2026-03-12 10:06,103.0
12/03,VJ984,SIN,PQC,1h23m,05:05,05:08,06:45,Landed 13:31,green,2026-03-12 06:31,83.0
12/03,VJ811,SGN,SIN,1h41m,01:50,02:25,04:05,Landed 12:06,green,2026-03-12 04:06,101.0
11/03,VJ644,SGN,DAD,0h52m,15:40,16:15,17:01,Landed 00:07,green,2026-03-11 17:07,52.0
11/03,VJ433,HAN,UIH,1h16m,08:25,08:50,10:00,Landed 17:06,green,2026-03-11 10:06,76.0
11/03,VJ138,SGN,HAN,1h47m,05:30,06:16,07:40,Landed 15:03,yellow,2026-03-11 08:03,107.0
10/03,VJ285,HPH,SGN,1h35m,16:25,17:07,18:25,Landed 01:42,yellow,2026-03-10 18:42,95.0
10/03,VJ284,SGN,HPH,1h35m,13:55,14:49,15:55,Landed 23:24,yellow,2026-03-10 16:24,95.0
17/03,VJ649,DAD,SGN,,13:05,,14:30,Scheduled*,,,
