DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ518,DAD,HAN,1h29m,13:45,14:09,15:05,Landed 22:38,yellow,2026-05-02 15:38,89
02/05,VJ521,HAN,DAD,1h4m,11:45,12:07,13:05,Landed 20:11,green,2026-05-02 13:11,64
02/05,VJ530,DAD,HAN,1h4m,07:55,08:07,09:15,Landed 16:11,green,2026-05-02 09:11,64
02/05,VJ507,HAN,DAD,1h4m,04:10,04:53,05:30,Landed 12:57,yellow,2026-05-02 05:57,64
02/05,VJ524,DAD,HAN,1h4m,02:20,02:45,03:40,Landed 10:49,green,2026-05-02 03:49,64
02/05,VJ503,HAN,DAD,0h58m,00:30,00:37,01:50,Landed 08:35,green,2026-05-02 01:35,58
01/05,VJ1500,DAD,HAN,1h1m,22:40,22:39,00:00,Landed 06:40,green,2026-05-01 23:40,61
30/04,VJ1523,HAN,DAD,1h0m,07:10,07:38,08:30,Landed 15:38,green,2026-04-30 08:38,60
30/04,VJ564,HUI,HAN,1h7m,04:05,04:49,05:20,Landed 12:56,yellow,2026-04-30 05:56,67
30/04,VJ563,HAN,HUI,0h57m,02:20,02:56,03:35,Landed 10:53,yellow,2026-04-30 03:53,57
30/04,VJ514,DAD,HAN,1h3m,00:30,00:51,01:50,Landed 08:54,green,2026-04-30 01:54,63
29/04,VJ501,HAN,DAD,1h4m,22:40,22:54,00:00,Landed 06:58,green,2026-04-29 23:58,64
29/04,VJ1562,HUI,HAN,1h4m,14:00,14:51,15:15,Landed 22:55,yellow,2026-04-29 15:55,64
29/04,VJ1561,HAN,HUI,0h54m,12:15,13:06,13:30,Landed 21:00,yellow,2026-04-29 14:00,54
29/04,VJ772,CXR,HAN,1h39m,07:05,07:57,08:55,Landed 16:36,yellow,2026-04-29 09:36,99
29/04,VJ731,HPH,CXR,1h29m,04:10,04:10,06:45,Landed 12:39,green,2026-04-29 05:39,89
29/04,VJ730,CXR,HPH,1h33m,01:15,01:26,03:40,Landed 09:59,green,2026-04-29 02:59,93
27/04,VJ733,HPH,CXR,1h29m,12:40,13:37,14:30,Landed 22:06,yellow,2026-04-27 15:06,89
27/04,VJ732,CXR,HPH,1h47m,10:20,10:26,12:10,Landed 19:13,green,2026-04-27 12:13,107
22/04,VJ787,HAN,CXR,1h36m,06:10,06:23,07:55,Landed 14:59,green,2026-04-22 07:59,96
22/04,VJ506,DAD,HAN,1h7m,03:55,04:15,05:15,Landed 12:22,green,2026-04-22 05:22,67
22/04,VJ505,HAN,DAD,1h3m,02:05,02:14,03:25,Landed 10:17,green,2026-04-22 03:17,63
21/04,VJ518,DAD,HAN,1h3m,13:45,14:39,15:05,Landed 22:42,yellow,2026-04-21 15:42,63
