DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ131,HAN,SGN,1h45m,03:10,03:31,05:20,Landed 12:16,green,2026-05-02 05:16,105.0
02/05,VJ126,SGN,HAN,1h45m,00:30,00:42,02:40,Landed 09:27,green,2026-05-02 02:27,105.0
29/04,VJ629,DAD,SGN,,03:50,,05:15,Estimated dep 11:16*,yellow,2026-04-29 04:16,
29/04,VJ630,SGN,DAD,0h57m,02:00,02:22,03:20,Landed 10:19,green,2026-04-29 03:19,57.0
29/04,VJ625,DAD,SGN,1h4m,00:10,00:14,01:30,Landed 08:18,green,2026-04-29 01:18,64.0
27/04,VJ634,SGN,DAD,0h59m,03:45,03:54,05:05,Landed 11:53,green,2026-04-27 04:53,59.0
26/04,VJ633,DAD,SGN,1h5m,07:50,07:59,09:10,Landed 16:04,green,2026-04-26 09:04,65.0
26/04,VJ634,SGN,DAD,0h57m,03:45,05:00,05:05,Landed 12:57,red,2026-04-26 05:57,57.0
26/04,VJ627,DAD,SGN,1h9m,01:55,02:21,03:15,Landed 10:30,green,2026-04-26 03:30,69.0
26/04,VJ628,SGN,DAD,0h59m,00:05,00:26,01:25,Landed 08:25,green,2026-04-26 01:25,59.0
25/04,VJ163,HAN,SGN,1h40m,14:25,15:10,16:35,Landed 23:50,green,2026-04-25 16:50,100.0
25/04,VJ134,SGN,HAN,2h10m,04:20,05:33,06:30,Landed 14:43,red,2026-04-25 07:43,130.0
25/04,VJ129,HAN,SGN,1h46m,01:45,02:13,03:55,Landed 10:59,green,2026-04-25 03:59,106.0
24/04,VJ124,SGN,HAN,1h46m,23:05,23:16,01:15,Landed 08:02,green,2026-04-25 01:02,106.0
24/04,VJ1651,DAD,SGN,1h3m,15:30,15:36,16:55,Landed 23:39,green,2026-04-24 16:39,63.0
24/04,VJ509,HAN,DAD,0h57m,06:05,10:36,07:25,Landed 18:33,red,2026-04-24 11:33,57.0
23/04,VJ140,SGN,HAN,1h48m,07:10,07:24,09:20,Landed 16:12,green,2026-04-23 09:12,108.0
22/04,VJ629,DAD,SGN,1h27m,03:50,05:05,05:15,Landed 13:32,red,2026-04-22 06:32,87.0
22/04,VJ630,SGN,DAD,1h20m,02:00,02:41,03:20,Landed 11:01,yellow,2026-04-22 04:01,80.0
22/04,VJ625,DAD,SGN,1h6m,00:10,00:19,01:30,Landed 08:25,green,2026-04-22 01:25,66.0
21/04,VJ636,SGN,DAD,1h3m,06:00,06:43,07:20,Landed 14:46,yellow,2026-04-21 07:46,63.0
21/04,VJ629,DAD,SGN,1h2m,03:50,04:38,05:15,Landed 12:40,yellow,2026-04-21 05:40,62.0
21/04,VJ630,SGN,DAD,1h3m,02:00,02:34,03:20,Landed 10:37,yellow,2026-04-21 03:37,63.0
20/04,VJ123,HAN,SGN,1h44m,22:30,22:43,00:40,Landed 07:27,green,2026-04-21 00:27,104.0
20/04,VJ506,DAD,HAN,1h7m,03:55,04:20,05:15,Landed 12:27,green,2026-04-20 05:27,67.0
20/04,VJ505,HAN,DAD,1h3m,02:05,02:22,03:25,Landed 10:25,green,2026-04-20 03:25,63.0
