DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ1782,CXR,HAN,1h35m,06:10,06:27,08:00,Landed 15:02,green,2026-05-02 08:02,95.0
01/05,VJ5806,,CXR,9h37m,13:59,13:59,,Estimated 06:36,,2026-05-01 23:36,577.0
01/05,VJ5805,CXR,CSY,12h36m,01:36,01:36,11:12,Landed 14:12,red,2026-05-01 14:12,756.0
30/04,VJ68,NQZ,CXR,7h26m,15:49,15:49,23:15,Landed 06:15,red,2026-04-30 23:15,446.0
30/04,VJ67,CXR,NQZ,14h3m,05:59,05:59,14:02,Landed 20:02,red,2026-04-30 20:02,843.0
29/04,VJ5061,OVB,CXR,6h58m,00:05,00:05,07:03,Landed 14:03,red,2026-04-29 07:03,418.0
28/04,VJ5060,CXR,OVB,14h8m,14:20,14:20,21:28,Landed 04:28,red,2026-04-29 04:28,848.0
27/04,VJ5061,OVB,CXR,7h14m,22:56,22:56,06:10,Landed 13:10,red,2026-04-28 06:10,434.0
27/04,VJ5060,CXR,OVB,14h8m,12:34,12:34,19:42,Landed 02:42,red,2026-04-28 02:42,848.0
27/04,VJ68,NQZ,CXR,7h34m,03:04,03:04,10:38,Landed 17:38,red,2026-04-27 10:38,454.0
26/04,VJ67,,NQZ,13h1m,17:52,17:52,00:53,Landed 06:53,red,2026-04-27 06:53,781.0
26/04,VJ36,SGN,CXR,0h45m,13:35,13:35,14:20,Landed 21:20,red,2026-04-26 14:20,45.0
26/04,VJ86,SYD,SGN,8h29m,00:15,00:41,09:05,Landed 16:10,green,2026-04-26 09:10,509.0
25/04,VJ85,SGN,SYD,7h31m,12:55,13:12,21:20,Landed 07:43,yellow,2026-04-25 20:43,451.0
25/04,VJ86,SYD,SGN,8h27m,00:15,01:17,09:05,Landed 16:44,yellow,2026-04-25 09:44,507.0
24/04,VJ85,SGN,SYD,7h29m,12:55,13:20,21:20,Landed 07:49,yellow,2026-04-24 20:49,449.0
24/04,VJ133,HAN,SGN,1h39m,04:20,04:41,06:30,Landed 13:20,green,2026-04-24 06:20,99.0
24/04,VJ1780,CXR,HAN,1h40m,00:20,00:35,02:10,Landed 09:15,green,2026-04-24 02:15,100.0
23/04,VJ68,NQZ,CXR,7h8m,15:48,15:48,22:56,Landed 05:56,red,2026-04-23 22:56,428.0
23/04,VJ67,CXR,NQZ,14h14m,06:02,06:02,14:16,Landed 20:16,red,2026-04-23 20:16,854.0
23/04,VJ1781,HAN,CXR,1h32m,02:10,02:35,04:00,Landed 11:07,green,2026-04-23 04:07,92.0
22/04,VJ1780,CXR,HAN,1h47m,04:25,04:50,06:15,Landed 13:37,yellow,2026-04-22 06:37,107.0
21/04,VJ5063,KJA,CXR,6h29m,15:53,15:53,22:22,Landed 05:22,red,2026-04-21 22:22,389.0
21/04,VJ5062,CXR,KJA,14h4m,06:45,06:45,13:49,Landed 20:49,red,2026-04-21 20:49,844.0
21/04,VJ1781,HAN,CXR,1h32m,02:10,02:23,04:00,Landed 10:55,green,2026-04-21 03:55,92.0
20/04,VJ1502,DAD,HAN,1h4m,03:10,03:32,04:30,Landed 11:36,green,2026-04-20 04:36,64.0
19/04,VJ56,NQZ,DAD,6h54m,18:24,18:24,01:18,Landed 08:18,red,2026-04-20 01:18,414.0
19/04,VJ55,DAD,NQZ,13h40m,09:12,09:12,16:52,Landed 22:52,red,2026-04-19 22:52,820.0
19/04,VJ1501,HAN,DAD,0h59m,05:30,06:08,06:50,Landed 14:07,yellow,2026-04-19 07:07,59.0
18/04,VJ972,DEL,HAN,3h48m,18:35,18:43,22:40,Landed 05:31,green,2026-04-18 22:31,228.0
18/04,VJ971,HAN,DEL,4h23m,12:40,12:53,17:25,Landed 22:46,green,2026-04-18 17:16,263.0
18/04,VJ1780,CXR,HAN,,01:30,,03:20,Landed 10:19,green,2026-04-18 03:19,
17/04,VJ5806,KZN,CXR,8h54m,15:00,15:00,,Landed 06:54,red,2026-04-17 23:54,534.0
17/04,VJ5805,CXR,KZN,8h54m,02:41,02:41,,Estimated 11:35,,2026-04-17 11:35,534.0
16/04,VJ5063,KJA,CXR,6h25m,15:46,15:46,22:11,Landed 05:11,red,2026-04-16 22:11,385.0
16/04,VJ5062,CXR,KJA,13h45m,07:03,07:03,,Landed 20:48,red,2026-04-16 20:48,825.0
14/04,VJ5806,KZN,CXR,9h11m,14:40,14:40,23:51,Landed 06:51,red,2026-04-14 23:51,551.0
14/04,VJ5805,CXR,KZN,9h57m,02:28,02:28,12:25,Landed 12:25 (UTC),red,2026-04-14 12:25,597.0
13/04,VJ1781,HAN,CXR,1h42m,22:20,22:57,00:10,Landed 07:39,yellow,2026-04-14 00:39,102.0
13/04,VJ1780,CXR,HAN,1h45m,00:20,01:22,02:10,Landed 10:07,red,2026-04-13 03:07,105.0
12/04,VJ5063,KJA,CXR,6h48m,16:27,16:27,,Landed 06:15,red,2026-04-12 23:15,408.0
12/04,VJ5062,CXR,KJA,6h48m,06:45,06:45,,Estimated 13:33,,2026-04-12 13:33,408.0
10/04,VJ5806,KZN,CXR,9h2m,14:29,14:29,23:31,Landed 06:31,red,2026-04-10 23:31,542.0
10/04,VJ5805,CXR,KZN,9h3m,02:32,02:32,,Estimated 11:35,,2026-04-10 11:35,543.0
09/04,VJ5063,KJA,CXR,,15:56,15:56,,,,,
09/04,VJ5062,CXR,KJA,,06:49,06:49,,,,,
07/04,VJ5063,KJA,CXR,6h31m,15:45,15:45,22:16,Landed 05:16,red,2026-04-07 22:16,391.0
07/04,VJ5062,CXR,KJA,13h37m,06:52,06:52,13:29,Landed 20:29,red,2026-04-07 20:29,817.0
06/04,VJ1781,HAN,CXR,1h35m,22:20,22:34,00:10,Landed 07:09,green,2026-04-07 00:09,95.0
06/04,VJ160,SGN,HAN,1h45m,13:30,13:53,15:40,Landed 22:38,green,2026-04-06 15:38,105.0
05/04,VJ896,DEL,SGN,4h25m,18:35,19:30,23:35,Landed 06:55,yellow,2026-04-05 23:55,265.0
05/04,VJ895,SGN,DEL,4h54m,12:25,13:05,17:25,Landed 23:29,yellow,2026-04-05 17:59,294.0
05/04,VJ86,SYD,SGN,8h47m,00:15,00:27,09:05,Landed 16:14,green,2026-04-05 09:14,527.0
04/04,VJ85,SGN,SYD,7h19m,12:55,13:29,21:20,Landed 07:48,yellow,2026-04-04 20:48,439.0
04/04,VJ86,SYD,SGN,8h47m,00:15,02:58,09:05,Landed 18:45,red,2026-04-04 11:45,527.0
03/04,VJ85,SGN,SYD,8h12m,12:55,16:54,21:20,Landed 12:06,red,2026-04-04 01:06,492.0
03/04,VJ86,SYD,SGN,8h40m,00:15,00:29,09:05,Landed 16:09,green,2026-04-03 09:09,520.0
02/04,VJ85,SGN,SYD,8h21m,12:55,13:20,21:20,Landed 08:41,yellow,2026-04-02 21:41,501.0
02/04,VJ86,SYD,SGN,8h23m,00:15,00:47,09:05,Landed 16:10,green,2026-04-02 09:10,503.0
01/04,VJ85,SGN,SYD,8h19m,12:55,13:04,21:20,Landed 08:23,green,2026-04-01 21:23,499.0
01/04,VJ143,HAN,SGN,1h44m,07:05,07:51,09:15,Landed 16:35,yellow,2026-04-01 09:35,104.0
01/04,VJ1780,CXR,HAN,1h42m,04:25,04:45,06:15,Landed 13:27,green,2026-04-01 06:27,102.0
31/03,VJ5063,KJA,CXR,6h13m,15:49,15:49,22:02,Landed 05:02,red,2026-03-31 22:02,373.0
31/03,VJ1781,HAN,CXR,1h35m,02:10,02:29,04:00,Landed 11:04,green,2026-03-31 04:04,95.0
30/03,VJ126,SGN,HAN,1h43m,00:30,01:50,02:40,Landed 10:33,red,2026-03-30 03:33,103.0
29/03,VJ896,DEL,SGN,4h13m,18:35,19:42,23:35,Landed 06:55,yellow,2026-03-29 23:55,253.0
29/03,VJ895,SGN,DEL,5h12m,12:25,12:55,17:25,Landed 23:37,yellow,2026-03-29 18:07,312.0
29/03,VJ1326,PQC,SGN,0h40m,03:10,04:05,04:15,Landed 11:45,yellow,2026-03-29 04:45,40.0
28/03,VJ64,NQZ,PQC,7h52m,17:50,17:50,01:42,Landed 08:42,red,2026-03-29 01:42,472.0
28/03,VJ63,PQC,NQZ,13h50m,08:16,08:16,16:06,Landed 22:06,red,2026-03-28 22:06,830.0
28/03,VJ327,SGN,PQC,0h39m,05:10,05:54,06:10,Landed 13:33,yellow,2026-03-28 06:33,39.0
27/03,VJ84,BNE,SGN,7h53m,13:40,14:15,22:05,Landed 05:08,green,2026-03-27 22:08,473.0
27/03,VJ83,SGN,BNE,7h54m,03:40,04:29,12:10,Landed 22:23,green,2026-03-27 12:23,474.0
27/03,VJ603,CXR,SGN,0h44m,01:00,01:26,02:05,Landed 09:10,green,2026-03-27 02:10,44.0
26/03,VJ5063,KJA,CXR,6h33m,15:43,15:43,22:16,Landed 05:16,red,2026-03-26 22:16,393.0
26/03,VJ5062,CXR,KCY,13h40m,06:24,06:24,,Landed 20:04,red,2026-03-26 20:04,820.0
26/03,VJ602,SGN,CXR,0h44m,02:30,02:41,03:40,Landed 10:25,green,2026-03-26 03:25,44.0
25/03,VJ169,HAN,SGN,1h45m,11:00,11:15,13:10,Landed 20:00,green,2026-03-25 13:00,105.0
25/03,VJ146,SGN,HAN,1h42m,07:50,08:19,10:00,Landed 17:01,green,2026-03-25 10:01,102.0
25/03,VJ133,HAN,SGN,1h44m,04:40,04:54,06:50,Landed 13:38,green,2026-03-25 06:38,104.0
25/03,VJ772,CXR,HAN,1h32m,01:50,02:13,03:40,Landed 10:45,green,2026-03-25 03:45,92.0
24/03,VJ5806,KZN,CXR,9h18m,14:29,14:29,23:47,Landed 06:47,red,2026-03-24 23:47,558.0
24/03,VJ5805,CXR,KZN,12h58m,02:40,02:40,12:38,Landed 15:38,red,2026-03-24 15:38,778.0
23/03,VJ773,HAN,CXR,1h32m,22:45,23:18,00:35,Landed 07:50,green,2026-03-24 00:50,92.0
23/03,VJ164,SGN,HAN,1h39m,14:10,15:21,16:20,Landed 00:00,yellow,2026-03-23 17:00,99.0
23/03,VJ133,HAN,SGN,1h45m,04:40,05:06,06:50,Landed 13:51,green,2026-03-23 06:51,105.0
23/03,VJ772,CXR,HAN,1h29m,01:50,02:12,03:40,Landed 10:41,green,2026-03-23 03:41,89.0
22/03,VJ5063,KJA,CXR,6h51m,15:44,15:44,22:35,Landed 05:35,red,2026-03-22 22:35,411.0
22/03,VJ5062,CXR,KCY,13h26m,06:37,06:37,,Landed 20:03,red,2026-03-22 20:03,806.0
21/03,VJ5063,KJA,CXR,6h38m,16:36,16:36,23:14,Landed 06:14,red,2026-03-21 23:14,398.0
21/03,VJ5062,CXR,KCY,13h59m,07:55,07:55,,Landed 21:54,red,2026-03-21 21:54,839.0
20/03,VJ5806,,CXR,10h28m,14:25,14:25,,Estimated 07:53,,2026-03-21 00:53,628.0
20/03,VJ5805,CXR,,10h28m,01:42,01:42,12:10,Landed 12:10 (UTC),red,2026-03-20 12:10,628.0
19/03,VJ5063,KJA,CXR,6h31m,15:40,15:40,,Landed 05:11,red,2026-03-19 22:11,391.0
19/03,VJ5062,CXR,KCY,13h50m,06:28,06:28,,Landed 20:18,red,2026-03-19 20:18,830.0
19/03,VJ773,HAN,CXR,1h40m,01:55,02:25,03:50,Landed 11:05,green,2026-03-19 04:05,100.0
18/03,VJ164,SGN,HAN,1h41m,14:10,14:21,16:20,Landed 23:02,green,2026-03-18 16:02,101.0
18/03,VJ169,HAN,SGN,1h51m,11:00,11:28,13:10,Landed 20:19,green,2026-03-18 13:19,111.0
18/03,VJ146,SGN,HAN,1h40m,07:50,08:11,10:00,Landed 16:51,green,2026-03-18 09:51,100.0
18/03,VJ133,HAN,SGN,1h45m,04:40,05:12,06:50,Landed 13:57,green,2026-03-18 06:57,105.0
18/03,VJ772,CXR,HAN,1h36m,01:50,02:10,03:40,Landed 10:46,green,2026-03-18 03:46,96.0
17/03,VJ5806,KZN,CXR,,14:28,14:28,,,,,
17/03,VJ5805,CXR,KZN,,02:21,02:21,,,,,
16/03,VJ773,HAN,CXR,1h34m,22:45,23:05,00:35,Landed 07:39,green,2026-03-17 00:39,94.0
16/03,VJ164,SGN,HAN,1h41m,14:10,14:53,16:20,Landed 23:34,green,2026-03-16 16:34,101.0
16/03,VJ169,HAN,SGN,1h46m,11:00,11:41,13:10,Landed 20:27,yellow,2026-03-16 13:27,106.0
16/03,VJ146,SGN,HAN,1h41m,07:50,08:03,10:00,Landed 16:44,green,2026-03-16 09:44,101.0
16/03,VJ133,HAN,SGN,1h47m,04:40,05:10,06:50,Landed 13:57,green,2026-03-16 06:57,107.0
16/03,VJ772,CXR,HAN,1h32m,01:50,02:18,03:40,Landed 10:50,green,2026-03-16 03:50,92.0
15/03,VJ5063,KJA,CXR,6h17m,15:39,15:39,21:56,Landed 04:56,red,2026-03-15 21:56,377.0
15/03,VJ5062,CXR,KCY,13h55m,06:36,06:36,13:31,Landed 20:31,red,2026-03-15 20:31,835.0
14/03,VJ5063,KJA,CXR,6h55m,16:38,16:38,,Estimated 06:33,,2026-03-14 23:33,415.0
14/03,VJ5062,CXR,KCY,13h37m,07:33,07:33,14:10,Landed 21:10,red,2026-03-14 21:10,817.0
13/03,VJ5806,,CXR,,14:24,14:24,,,,,
13/03,VJ5805,CXR,,,01:45,01:45,,,,,
12/03,VJ5063,KJA,CXR,,17:27,17:27,,,,,
12/03,VJ5062,CXR,KJA,,06:30,06:30,,,,,
12/03,VJ773,HAN,CXR,1h33m,01:55,02:16,03:50,Landed 10:49,green,2026-03-12 03:49,93.0
11/03,VJ196,SGN,HAN,1h41m,12:10,13:16,14:20,Landed 21:57,yellow,2026-03-11 14:57,101.0
11/03,VJ195,HAN,SGN,1h42m,09:00,10:00,11:10,Landed 18:42,yellow,2026-03-11 11:42,102.0
11/03,VJ933,NRT,HAN,5h52m,00:30,01:15,07:00,Landed 14:07,green,2026-03-11 07:07,352.0
10/03,VJ932,HAN,NRT,4h19m,17:55,18:18,23:00,Landed 07:37,green,2026-03-10 22:37,259.0
10/03,VJ196,SGN,HAN,1h38m,12:10,12:27,14:20,Landed 21:05,green,2026-03-10 14:05,98.0
